affect;likableness
55,5;35,5
-1;49
-17,5;77,5
35;51,5
30,5;61,5
39,5;48,5
32;55
8,5;63
60;75,5
-4,5;56,5
24,5;71
60;70
72,5;80
-17,5;80,5
5;30,5
23,5;50
47;69
25,5;52,5
100;90
22;95,5
57,5;25
0;69,5
37,5;91,5
11,5;46,5
65;100
25;96,5
71,5;66,5
7,5;100
86;100
48;88,5
54,5;60,5
81;100
32,5;87,5
65;68,5
35;60,5
38,5;78,5
-1,5;81
-3;73,5
45,5;50
3,5;78,5
12;75
40;80,5
37;65,5
42;71
45,5;80
63;46
30;60
40;37
85;75
26,5;81
82,5;50
21,5;45,5
37,5;66
9,5;34
55;52,5
70;97,5
39,5;61
2,5;100
30;99,5
54,5;88,5
6,5;72
30;80
55;73
13,5;77,5
20,5;75
28,5;76
-7;80
-4,5;69,5
-15;71
30,5;57,5
-12,5;82
23;90,5
-13,5;95,5
30;76
4;100
-16;70,5
10;75
1;60,5
-25;60
-3,5;93
-5;80
24,5;95
-6,5;90
-11,5;39
5;87,5
-2,5;94
-64,5;83
0;100
66,5;100
-0,5;91,5
19,5;76
50;100
7,5;95
-5,5;76
14,5;75
34;86
29;87,5
17;94
72;75,5
39;77,5
41;80
22,5;82
66;80
14;74
-5;99
42;66
-4;59,5
1;89,5
40;50
32,5;92,5
65;85
14,5;100
38,5;88,5
-7,5;35,5
60;87,5
47,5;98
48,5;85
32,5;100
13,5;84
22;98
19;60,5
70;100
95;80
6;68
35;82,5
47,5;84
2,5;84,5
20,5;87,5
28;78
48,5;62,5
28,5;89
26;82,5
41;79,5
44;77,5
21;84,5
22,5;70,5
-5;63,5
-29,5;73,5
25;65
44;57
37,5;75
15,5;75
7,5;61,5
-7,5;48
52,5;87,5
37,5;80
60,5;86,5
25;100
-10;82,5
-4,5;84,5
77,5;22
80;80
62;64
18;29,5
56,5;83
14;77
1;60
24;67,5
71;59,5
-3,5;72,5
22,5;68
45,5;50,5
55,5;75
68;47
20;59,5
13;81
20;55
13,5;40,5
100;30
20;71
90;55
