ID;highA;lowA
sub-001;64,64;52,28
sub-002;50,50;29,39
sub-003;78,19;21,39
sub-004;55,97;39,50
sub-005;57,89;33,11
sub-006;64,94;35,25
sub-007;62,47;52,56
sub-008;78,39;68,75
sub-009;61,92;32,72
sub-010;72,31;42,97
sub-011;55,81;35,14
sub-012;71,08;48,44
sub-013;67,83;43,50
sub-014;79,81;41,22
sub-015;63,33;60,14
sub-016;79,31;54,97
sub-017;64,72;56,61
sub-018;55,61;37,00
sub-019;44,72;39,03
sub-020;71,72;54,42
sub-021;82,50;33,61
sub-022;89,11;72,11
sub-023;92,53;65,36
sub-024;56,19;54,92
sub-025;73,19;27,78
sub-026;89,44;36,53
sub-027;79,25;33,50
sub-028;82,64;70,14
sub-029;53,08;49,86
sub-030;56,33;52,19
