ID;highL;lowL
sub-001;81,14;34,08
sub-002;84,39;11,67
sub-003;91,75;22,06
sub-004;82,97;24,75
sub-005;85,44;11,47
sub-006;87,72;12,22
sub-007;82,33;12,42
sub-008;83,67;17,69
sub-009;83,81;20,42
sub-010;83,11;17,06
sub-011;87,92;11,67
sub-012;92,19;16,86
sub-013;88,22;15,78
sub-014;82,86;12,97
sub-015;92,08;26,00
sub-016;72,22;15,75
sub-017;68,36;16,22
sub-018;76,03;20,58
sub-019;75,97;20,83
sub-020;87,97;8,44
sub-021;85,56;31,81
sub-022;89,42;4,72
sub-023;83,17;8,72
sub-024;70,83;29,22
sub-025;85,42;11,81
sub-026;89,47;3,78
sub-027;83,42;8,94
sub-028;96,39;0,14
sub-029;92,56;9,44
sub-030;87,78;4,86
