ID;AffectiveDesirable;AffectiveUndesirable;MentalDesirable;MentalUndesirable;class;;
sub-001;93,67;35,61;71,00;33,56;affect;;
sub-002;82,22;18,78;46,67;12,11;affect;;
sub-003;76,39;80,00;13,33;29,44;affect;;
sub-004;66,72;45,22;46,94;32,06;affect;;
sub-005;70,61;45,17;41,00;25,22;affect;;
sub-006;72,94;56,94;45,22;25,28;affect;;
sub-007;57,06;67,89;47,44;57,67;affect;;
sub-008;85,61;71,17;70,61;66,89;affect;;
sub-009;74,22;49,61;45,33;20,11;affect;;
sub-010;80,94;63,67;36,00;49,94;affect;;
sub-011;62,50;49,11;39,72;30,56;affect;;
sub-012;91,28;50,89;58,61;38,28;affect;;
sub-013;80,56;55,11;57,44;29,56;affect;;
sub-014;77,00;82,61;37,94;44,50;affect;;
sub-015;70,67;56,00;72,72;47,56;affect;;
sub-016;83,61;75,00;57,39;52,56;affect;;
sub-017;82,50;46,94;74,89;38,33;affect;;
sub-018;48,61;62,61;42,83;31,17;affect;;
sub-019;85,00;4,44;77,22;0,83;affect;;
sub-020;73,61;69,83;56,11;52,72;affect;;
sub-021;94,17;70,83;50,83;16,39;affect;;
sub-022;90,44;87,78;70,33;73,89;affect;;
sub-023;96,00;89,06;75,22;55,50;affect;;
sub-024;56,28;56,11;60,11;49,72;affect;;
sub-025;80,83;65,56;31,94;23,61;affect;;
sub-026;87,78;91,11;38,61;34,44;affect;;
sub-027;72,61;85,89;34,00;33,00;affect;;
sub-028;91,94;73,33;65,28;75,00;affect;;
sub-029;78,39;27,78;77,11;22,61;affect;;
sub-030;85,67;27,00;75,17;29,22;affect;;
sub-001;80,06;26,83;82,22;41,33;likableness;;
sub-002;83,22;10,00;85,56;13,33;likableness;;
sub-003;90,28;21,50;93,22;22,61;likableness;;
sub-004;82,67;23,56;83,28;25,94;likableness;;
sub-005;84,11;11,39;86,78;11,56;likableness;;
sub-006;86,33;11,44;89,11;13,00;likableness;;
sub-007;81,67;9,56;83,00;15,28;likableness;;
sub-008;86,17;15,33;81,17;20,06;likableness;;
sub-009;84,33;19,83;83,28;21,00;likableness;;
sub-010;81,28;14,56;84,94;19,56;likableness;;
sub-011;86,28;11,22;89,56;12,11;likableness;;
sub-012;92,33;12,83;92,06;20,89;likableness;;
sub-013;87,00;15,89;89,44;15,67;likableness;;
sub-014;83,06;13,72;82,67;12,22;likableness;;
sub-015;91,06;32,39;93,11;19,61;likableness;;
sub-016;72,67;9,78;71,78;21,72;likableness;;
sub-017;74,61;17,11;62,11;15,33;likableness;;
sub-018;78,39;17,56;73,67;23,61;likableness;;
sub-019;81,11;10,56;70,83;31,11;likableness;;
sub-020;87,89;8,17;88,06;8,72;likableness;;
sub-021;86,39;24,17;84,72;39,44;likableness;;
sub-022;86,61;1,11;92,22;8,33;likableness;;
sub-023;78,72;6,78;87,61;10,67;likableness;;
sub-024;72,61;31,17;69,06;27,28;likableness;;
sub-025;86,67;13,33;84,17;10,28;likableness;;
sub-026;91,83;3,50;87,11;4,06;likableness;;
sub-027;85,39;4,50;81,44;13,39;likableness;;
sub-028;96,11;0,00;96,67;0,28;likableness;;
sub-029;90,33;11,56;94,78;7,33;likableness;;
sub-030;89,28;3,78;86,28;5,94;likableness;;
