;Aburrido/a;Afable;Agradecido/a;Animado/a;Bondadoso/a;Carinoso/a;Codicioso/a;Compasivo/a;Comprensivo/a;Concienzudo/a;Condescendiente;Cooperativo/a;Cruel;Despiadado;Egoista;Empatico/a;Entusiasta;Envidioso/a;Exaltado/a;Farsante;Generoso/a;Hostil;Indulgente;Ingenioso/a;Insensible;Inteligente;Irresponsable;Leal;Maleducado/a;Neurotico/a;Pesimista;Prejuicioso/a;Resentido/a;Sensible;Sincero/a;Vago/a;class
sub-001;29,5;85;94,5;94;84,5;99;40;95;87,5;65;0,5;80;5;0,5;17,5;97;94;44,5;55,5;49;83,5;35;85;43,5;15;25;34,5;85;36;59,5;85,5;15,5;54,5;100;84,5;45;affect
sub-002;30;29;81;100;80;100;0;80;70;30;30;30;0;0;0;80;100;0;40;0;70;60;20;30;0;50;9;50;0;69;20;10;10;90;70;0;affect
sub-003;82,5;65;35;100;7,5;95;2,5;100;45;0;27,5;0;92,5;80;38;100;100;95;100;5;15;75;55;0;75;0;0;0;22,5;65;100;39,5;85;85;5;0;affect
sub-004;28,5;63,5;91;90,5;41;56;26;55;77;46,5;42,5;50;29,5;28;37;66,5;66;53,5;56;32,5;33;59;32;32;66;42,5;22;36;34,5;24;45;21,5;62,5;71;73,5;27,5;affect
sub-005;29,5;60;45;75;54;65;10;76,5;54,5;39,5;37;30;5;9,5;20;91,5;83;30;85;10;50;75;60;14,5;0;25;3;35;49,5;85;80;24,5;75;85,5;60,5;5,5;affect
sub-006;11,5;51;49;79;58;87,5;10,5;70,5;50,5;24;13,5;40;63,5;59,5;56,5;82,5;84,5;71,5;87;21;70,5;19;55,5;20;20,5;20;50;69;23,5;81;54,5;21;61,5;94,5;57,5;14,5;affect
sub-007;27,5;59,5;60,5;54,5;65;47,5;62;58,5;61,5;36;63,5;45;83;83;57,5;68;53,5;57,5;66;75,5;64;78,5;50;26;53,5;25;51,5;54,5;57;77;60,5;67,5;67;46,5;65;42;affect
sub-008;65;73,5;74,5;81,5;85;83,5;77,5;95;86;68;67;63;82,5;76;71;96;87,5;40,5;81,5;62,5;73,5;73,5;70,5;62;83;72,5;60,5;67;66;77;64,5;69;68,5;94;73;57;affect
sub-009;5,5;65,5;58;54,5;79,5;88;12,5;90,5;69,5;7,5;13;60;42;12,5;19,5;100;54;60;85,5;13;90;40;65;13,5;14;7,5;28;75;9,5;74,5;65;47;80;78;20;6;affect
sub-010;64;59,5;79,5;78,5;75,5;88,5;76;82;48;36,5;21,5;40;80;30,5;85,5;91;85,5;79;88,5;22;70;94;37;20;13;17,5;14,5;30,5;20,5;91,5;84;57;85;88,5;24,5;16;affect
sub-011;31,5;56;38,5;62;56,5;65;26,5;63;74,5;15,5;35;36,5;31;43,5;40,5;64;77;31;75;24;52,5;52,5;55,5;18,5;31,5;21,5;15;44,5;29,5;82,5;56,5;43;56;80,5;38,5;12,5;affect
sub-012;17,5;77,5;79,5;90;84,5;100;39,5;100;67;62;21;74;26;37;54,5;95;95;65;80;68,5;75;37;69;18,5;11;20;27;70,5;31,5;81;67;50;70;100;71,5;19;affect
sub-013;2,5;75;72;80;86,5;91;35;95,5;93,5;20,5;56;50;46;40;40;70;60;70;31;22,5;80;25,5;89,5;38,5;60,5;10;30,5;70;40;62,5;80;50;50;95;65;20;affect
sub-014;56,5;39;89,5;76;36,5;90;47,5;92,5;46;22,5;83,5;46;73;71;24,5;91;92;91,5;89,5;32,5;61,5;74,5;59;10;81,5;11,5;36,5;37,5;47;94,5;74;56;85;86,5;47,5;25,5;affect
