id;class;Afable;Agradecido;Animado;Bondadoso;Carinoso;Compasivo;Empatico;Entusiasta;Sensible;Average
sub-001;affect;85;94,5;94;84,5;99;95;97;94;100;93,67
sub-002;affect;29;81;100;80;100;80;80;100;90;82,22
sub-003;affect;65;35;100;7,5;95;100;100;100;85;76,39
sub-004;affect;63,5;91;90,5;41;56;55;66,5;66;71;66,72
sub-005;affect;60;45;75;54;65;76,5;91,5;83;85,5;70,61
sub-006;affect;51;49;79;58;87,5;70,5;82,5;84,5;94,5;72,94
sub-007;affect;59,5;60,5;54,5;65;47,5;58,5;68;53,5;46,5;57,06
sub-008;affect;73,5;74,5;81,5;85;83,5;95;96;87,5;94;85,61
sub-009;affect;65,5;58;54,5;79,5;88;90,5;100;54;78;74,22
sub-010;affect;59,5;79,5;78,5;75,5;88,5;82;91;85,5;88,5;80,94
sub-011;affect;56;38,5;62;56,5;65;63;64;77;80,5;62,50
sub-012;affect;77,5;79,5;90;84,5;100;100;95;95;100;91,28
sub-013;affect;75;72;80;86,5;91;95,5;70;60;95;80,56
sub-014;affect;39;89,5;76;36,5;90;92,5;91;92;86,5;77,00
sub-015;affect;75;55,5;94,5;60,5;60,5;65;95;84,5;45,5;70,67
sub-016;affect;79;83;70,5;67;90;87,5;98;82;95,5;83,61
sub-017;affect;90,5;90;85,5;76,5;80;75;85,5;79,5;80;82,50
sub-018;affect;45;50;46;45;25;53,5;44;65,5;63,5;48,61
sub-019;affect;100;85;70;95;90;100;100;35;90;85,00
sub-020;affect;68,5;67;65,5;77,5;90,5;74,5;63,5;83;72,5;73,61
sub-021;affect;85;85;90;95;100;100;100;92,5;100;94,17
sub-022;affect;80;95;95;79,5;89,5;95,5;95;84,5;100;90,44
sub-023;affect;93;97,5;93,5;92,5;89,5;98;100;100;100;96,00
sub-024;affect;62,5;46;45,5;48;60;67,5;57,5;60,5;59;56,28
sub-025;affect;77,5;62,5;75;77,5;92,5;85;90;67,5;100;80,83
sub-026;affect;67,5;95;72,5;65;92,5;100;97,5;100;100;87,78
sub-027;affect;75,5;49;30,5;53,5;94,5;89,5;93,5;75;92,5;72,61
sub-028;affect;95;87,5;100;100;100;100;95;62,5;87,5;91,94
sub-029;affect;95;41;94,5;90;88,5;74,5;80;65,5;76,5;78,39
sub-030;affect;88,5;83;85,5;92,5;83;77;86,5;87;88;85,67
sub-001;likableness;85;90,5;89,5;85,5;67,5;80;78;69,5;75;80,06
sub-002;likableness;89;100;100;100;100;80;80;80;20;83,22
sub-003;likableness;100;100;95,5;100;80;95;97;72,5;72,5;90,28
sub-004;likableness;80,5;89;85;89,5;93;71;75,5;74;86,5;82,67
sub-005;likableness;80,5;85;90;79,5;87,5;90;89,5;75;80;84,11
sub-006;likableness;93;93,5;91,5;87;93;80;82,5;80;76,5;86,33
sub-007;likableness;85;92,5;88,5;90;87;84;86,5;65;56,5;81,67
sub-008;likableness;87;86;88,5;95,5;87,5;85;89;75;82;86,17
sub-009;likableness;99,5;69,5;95;90,5;90,5;89,5;80;85;59,5;84,33
sub-010;likableness;84,5;86;75;87;72,5;80,5;88;80,5;77,5;81,28
sub-011;likableness;89;92;93,5;90,5;94;77,5;89;74,5;76,5;86,28
sub-012;likableness;100;100;95;100;95;87,5;100;67,5;86;92,33
sub-013;likableness;95;80,5;95,5;95;84,5;82,5;92,5;77,5;80;87,00
sub-014;likableness;92;82,5;84,5;86;89;66,5;84,5;72;90,5;83,06
sub-015;likableness;85,5;100;100;99,5;85;89,5;99,5;80;80,5;91,06
sub-016;likableness;75;73,5;78;76;70,5;81;79,5;51;69,5;72,67
sub-017;likableness;84;85;85;69,5;79;69,5;80;39,5;80;74,61
sub-018;likableness;95;70;75,5;89,5;74;90;80,5;70,5;60,5;78,39
sub-019;likableness;100;100;80;80;80;80;100;40;70;81,11
sub-020;likableness;99,5;96,5;94;96;81,5;85;93;82;63,5;87,89
sub-021;likableness;95;95;95;90;77,5;90;95;77,5;62,5;86,39
sub-022;likableness;100;80;95;100;75;90;100;80;59,5;86,61
sub-023;likableness;94;83,5;96,5;90;65,5;84,5;95,5;49,5;49,5;78,72
sub-024;likableness;78,5;64,5;72;58,5;80;72,5;79;79,5;69;72,61
sub-025;likableness;100;95;90;97,5;92,5;77,5;87,5;77,5;62,5;86,67
sub-026;likableness;96,5;100;95;100;87,5;95;97,5;70;85;91,83
sub-027;likableness;78,5;73;90,5;90;92,5;91;89;73;91;85,39
sub-028;likableness;100;100;100;100;100;100;100;75;90;96,11
sub-029;likableness;100;99,5;100;99;100;75,5;89,5;89,5;60;90,33
sub-030;likableness;98,5;93,5;93,5;98;88;87,5;83;71;90,5;89,28
