affect;likableness;category
85;85;AffectiveLikable
29;89;AffectiveLikable
65;100;AffectiveLikable
63.5;80.5;AffectiveLikable
60;80.5;AffectiveLikable
51;93;AffectiveLikable
59.5;85;AffectiveLikable
73.5;87;AffectiveLikable
65.5;99.5;AffectiveLikable
59.5;84.5;AffectiveLikable
56;89;AffectiveLikable
77.5;100;AffectiveLikable
75;95;AffectiveLikable
39;92;AffectiveLikable
75;85.5;AffectiveLikable
79;75;AffectiveLikable
90.5;84;AffectiveLikable
45;95;AffectiveLikable
100;100;AffectiveLikable
68.5;99.5;AffectiveLikable
85;95;AffectiveLikable
80;100;AffectiveLikable
93;94;AffectiveLikable
62.5;78.5;AffectiveLikable
77.5;100;AffectiveLikable
67.5;96.5;AffectiveLikable
75.5;78.5;AffectiveLikable
95;100;AffectiveLikable
95;100;AffectiveLikable
88.5;98.5;AffectiveLikable
94.5;90.5;AffectiveLikable
81;100;AffectiveLikable
35;100;AffectiveLikable
91;89;AffectiveLikable
45;85;AffectiveLikable
49;93.5;AffectiveLikable
60.5;92.5;AffectiveLikable
74.5;86;AffectiveLikable
58;69.5;AffectiveLikable
79.5;86;AffectiveLikable
38.5;92;AffectiveLikable
79.5;100;AffectiveLikable
72;80.5;AffectiveLikable
89.5;82.5;AffectiveLikable
55.5;100;AffectiveLikable
83;73.5;AffectiveLikable
90;85;AffectiveLikable
50;70;AffectiveLikable
85;100;AffectiveLikable
67;96.5;AffectiveLikable
85;95;AffectiveLikable
95;80;AffectiveLikable
97.5;83.5;AffectiveLikable
46;64.5;AffectiveLikable
62.5;95;AffectiveLikable
95;100;AffectiveLikable
49;73;AffectiveLikable
87.5;100;AffectiveLikable
41;99.5;AffectiveLikable
83;93.5;AffectiveLikable
94;89.5;AffectiveLikable
100;100;AffectiveLikable
100;95.5;AffectiveLikable
90.5;85;AffectiveLikable
75;90;AffectiveLikable
79;91.5;AffectiveLikable
54.5;88.5;AffectiveLikable
81.5;88.5;AffectiveLikable
54.5;95;AffectiveLikable
78.5;75;AffectiveLikable
62;93.5;AffectiveLikable
90;95;AffectiveLikable
80;95.5;AffectiveLikable
76;84.5;AffectiveLikable
94.5;100;AffectiveLikable
70.5;78;AffectiveLikable
85.5;85;AffectiveLikable
46;75.5;AffectiveLikable
70;80;AffectiveLikable
65.5;94;AffectiveLikable
90;95;AffectiveLikable
95;95;AffectiveLikable
93.5;96.5;AffectiveLikable
45.5;72;AffectiveLikable
75;90;AffectiveLikable
72.5;95;AffectiveLikable
30.5;90.5;AffectiveLikable
100;100;AffectiveLikable
94.5;100;AffectiveLikable
85.5;93.5;AffectiveLikable
84.5;85.5;AffectiveLikable
80;100;AffectiveLikable
7.5;100;AffectiveLikable
41;89.5;AffectiveLikable
54;79.5;AffectiveLikable
58;87;AffectiveLikable
65;90;AffectiveLikable
85;95.5;AffectiveLikable
79.5;90.5;AffectiveLikable
