Concept;Rating;Class
Condescendiente;0.5;Affect
Condescendiente;30;Affect
Condescendiente;27.5;Affect
Condescendiente;42.5;Affect
Condescendiente;37;Affect
Condescendiente;13.5;Affect
Condescendiente;63.5;Affect
Condescendiente;67;Affect
Condescendiente;13;Affect
Condescendiente;21.5;Affect
Condescendiente;35;Affect
Condescendiente;21;Affect
Condescendiente;56;Affect
Condescendiente;83.5;Affect
Condescendiente;85;Affect
Condescendiente;49.5;Affect
Condescendiente;25;Affect
Condescendiente;54.5;Affect
Condescendiente;0;Affect
Condescendiente;93;Affect
Condescendiente;7.5;Affect
Condescendiente;89.5;Affect
Condescendiente;87.5;Affect
Condescendiente;49.5;Affect
Condescendiente;42.5;Affect
Condescendiente;77.5;Affect
Condescendiente;88;Affect
Condescendiente;95;Affect
Condescendiente;25.5;Affect
Condescendiente;34.5;Affect
Condescendiente;17.5;Likableness
Condescendiente;20;Likableness
Condescendiente;22.5;Likableness
Condescendiente;7.5;Likableness
Condescendiente;15;Likableness
Condescendiente;15.5;Likableness
Condescendiente;8.5;Likableness
Condescendiente;19;Likableness
Condescendiente;24;Likableness
Condescendiente;17.5;Likableness
Condescendiente;11.5;Likableness
Condescendiente;4.5;Likableness
Condescendiente;0;Likableness
Condescendiente;8.5;Likableness
Condescendiente;0;Likableness
Condescendiente;7.5;Likableness
Condescendiente;10;Likableness
Condescendiente;15;Likableness
Condescendiente;20;Likableness
Condescendiente;1;Likableness
Condescendiente;15;Likableness
Condescendiente;0;Likableness
Condescendiente;6.5;Likableness
Condescendiente;33;Likableness
Condescendiente;2.5;Likableness
Condescendiente;1;Likableness
Condescendiente;7.5;Likableness
Condescendiente;0;Likableness
Condescendiente;0;Likableness
Condescendiente;2;Likableness
Cruel;5;Affect
Cruel;0;Affect
Cruel;92.5;Affect
Cruel;29.5;Affect
Cruel;5;Affect
Cruel;63.5;Affect
Cruel;83;Affect
Cruel;82.5;Affect
Cruel;42;Affect
Cruel;80;Affect
Cruel;31;Affect
Cruel;26;Affect
Cruel;46;Affect
Cruel;73;Affect
Cruel;64;Affect
Cruel;59.5;Affect
Cruel;70;Affect
Cruel;50;Affect
Cruel;0;Affect
Cruel;68.5;Affect
Cruel;100;Affect
Cruel;60;Affect
Cruel;90;Affect
Cruel;58;Affect
Cruel;75;Affect
Cruel;92.5;Affect
Cruel;94;Affect
Cruel;100;Affect
Cruel;10;Affect
Cruel;0;Affect
Cruel;9.5;Likableness
Cruel;0;Likableness
Cruel;5;Likableness
Cruel;13.5;Likableness
Cruel;4.5;Likableness
Cruel;1;Likableness
Cruel;2.5;Likableness
Cruel;1.5;Likableness
Cruel;15;Likableness
Cruel;9.5;Likableness
Cruel;10.5;Likableness
Cruel;18;Likableness
Cruel;15;Likableness
Cruel;12;Likableness
Cruel;0.5;Likableness
Cruel;10;Likableness
Cruel;10;Likableness
Cruel;0;Likableness
Cruel;30;Likableness
Cruel;3.5;Likableness
Cruel;5;Likableness
Cruel;0;Likableness
Cruel;1.5;Likableness
Cruel;23;Likableness
Cruel;10;Likableness
Cruel;2;Likableness
Cruel;5;Likableness
Cruel;0;Likableness
Cruel;15;Likableness
Cruel;0;Likableness
Despiadado/a;0.5;Affect
Despiadado/a;0;Affect
Despiadado/a;80;Affect
Despiadado/a;28;Affect
Despiadado/a;9.5;Affect
Despiadado/a;59.5;Affect
Despiadado/a;83;Affect
Despiadado/a;76;Affect
Despiadado/a;12.5;Affect
Despiadado/a;30.5;Affect
Despiadado/a;43.5;Affect
Despiadado/a;37;Affect
Despiadado/a;40;Affect
Despiadado/a;71;Affect
Despiadado/a;60;Affect
Despiadado/a;79;Affect
Despiadado/a;20;Affect
Despiadado/a;60;Affect
Despiadado/a;5;Affect
Despiadado/a;65;Affect
Despiadado/a;75;Affect
Despiadado/a;86;Affect
Despiadado/a;81;Affect
Despiadado/a;65;Affect
Despiadado/a;45;Affect
Despiadado/a;65;Affect
Despiadado/a;97;Affect
Despiadado/a;95;Affect
Despiadado/a;30.5;Affect
Despiadado/a;5.5;Affect
Despiadado/a;7;Likableness
Despiadado/a;0;Likableness
Despiadado/a;0;Likableness
Despiadado/a;25;Likableness
Despiadado/a;5;Likableness
Despiadado/a;9;Likableness
Despiadado/a;2.5;Likableness
Despiadado/a;0;Likableness
Despiadado/a;12.5;Likableness
Despiadado/a;10;Likableness
Despiadado/a;5;Likableness
Despiadado/a;12.5;Likableness
Despiadado/a;5;Likableness
Despiadado/a;11.5;Likableness
Despiadado/a;0.5;Likableness
Despiadado/a;0;Likableness
Despiadado/a;15.5;Likableness
Despiadado/a;0.5;Likableness
Despiadado/a;15;Likableness
Despiadado/a;24.5;Likableness
Despiadado/a;2.5;Likableness
Despiadado/a;0;Likableness
Despiadado/a;4;Likableness
Despiadado/a;32;Likableness
Despiadado/a;5;Likableness
Despiadado/a;7.5;Likableness
Despiadado/a;6;Likableness
Despiadado/a;0;Likableness
Despiadado/a;17.5;Likableness
Despiadado/a;3.5;Likableness
Envidioso/a;44.5;Affect
Envidioso/a;0;Affect
Envidioso/a;95;Affect
Envidioso/a;53.5;Affect
Envidioso/a;30;Affect
Envidioso/a;71.5;Affect
Envidioso/a;57.5;Affect
Envidioso/a;40.5;Affect
Envidioso/a;60;Affect
Envidioso/a;79;Affect
Envidioso/a;31;Affect
Envidioso/a;65;Affect
Envidioso/a;70;Affect
Envidioso/a;91.5;Affect
Envidioso/a;20;Affect
Envidioso/a;91;Affect
Envidioso/a;55.5;Affect
Envidioso/a;44.5;Affect
Envidioso/a;0;Affect
Envidioso/a;56;Affect
Envidioso/a;30;Affect
Envidioso/a;95;Affect
Envidioso/a;84;Affect
Envidioso/a;62.5;Affect
Envidioso/a;52.5;Affect
Envidioso/a;100;Affect
Envidioso/a;97.5;Affect
Envidioso/a;77.5;Affect
Envidioso/a;8.5;Affect
Envidioso/a;41;Affect
Envidioso/a;27;Likableness
Envidioso/a;0;Likableness
Envidioso/a;16;Likableness
Envidioso/a;37;Likableness
Envidioso/a;14.5;Likableness
Envidioso/a;5.5;Likableness
Envidioso/a;20;Likableness
Envidioso/a;27.5;Likableness
Envidioso/a;24.5;Likableness
Envidioso/a;17;Likableness
Envidioso/a;15.5;Likableness
Envidioso/a;17.5;Likableness
Envidioso/a;10;Likableness
Envidioso/a;13.5;Likableness
Envidioso/a;45.5;Likableness
Envidioso/a;6.5;Likableness
Envidioso/a;10.5;Likableness
Envidioso/a;20.5;Likableness
Envidioso/a;5;Likableness
Envidioso/a;14;Likableness
Envidioso/a;55;Likableness
Envidioso/a;0;Likableness
Envidioso/a;4;Likableness
Envidioso/a;30;Likableness
Envidioso/a;15;Likableness
Envidioso/a;5;Likableness
Envidioso/a;4;Likableness
Envidioso/a;0;Likableness
Envidioso/a;0;Likableness
Envidioso/a;1.5;Likableness
Exaltado/a;55.5;Affect
Exaltado/a;40;Affect
Exaltado/a;100;Affect
Exaltado/a;56;Affect
Exaltado/a;85;Affect
Exaltado/a;87;Affect
Exaltado/a;66;Affect
Exaltado/a;81.5;Affect
Exaltado/a;85.5;Affect
Exaltado/a;88.5;Affect
Exaltado/a;75;Affect
Exaltado/a;80;Affect
Exaltado/a;31;Affect
Exaltado/a;89.5;Affect
Exaltado/a;45;Affect
Exaltado/a;70;Affect
Exaltado/a;44.5;Affect
Exaltado/a;95;Affect
Exaltado/a;0;Affect
Exaltado/a;85.5;Affect
Exaltado/a;80;Affect
Exaltado/a;95;Affect
Exaltado/a;90.5;Affect
Exaltado/a;74.5;Affect
Exaltado/a;80;Affect
Exaltado/a;100;Affect
Exaltado/a;99.5;Affect
Exaltado/a;90;Affect
Exaltado/a;54.5;Affect
Exaltado/a;29;Affect
Exaltado/a;45;Likableness
Exaltado/a;20;Likableness
Exaltado/a;30;Likableness
Exaltado/a;22.5;Likableness
Exaltado/a;15;Likableness
Exaltado/a;12;Likableness
Exaltado/a;12;Likableness
Exaltado/a;7;Likableness
Exaltado/a;24.5;Likableness
Exaltado/a;14.5;Likableness
Exaltado/a;10;Likableness
Exaltado/a;5.5;Likableness
Exaltado/a;15;Likableness
Exaltado/a;11.5;Likableness
Exaltado/a;24.5;Likableness
Exaltado/a;15;Likableness
Exaltado/a;7.5;Likableness
Exaltado/a;19.5;Likableness
Exaltado/a;0;Likableness
Exaltado/a;5;Likableness
Exaltado/a;57.5;Likableness
Exaltado/a;0;Likableness
Exaltado/a;25;Likableness
Exaltado/a;48;Likableness
Exaltado/a;0;Likableness
Exaltado/a;8.5;Likableness
Exaltado/a;6.5;Likableness
Exaltado/a;0;Likableness
Exaltado/a;13.5;Likableness
Exaltado/a;19.5;Likableness
Insensible;15;Affect
Insensible;0;Affect
Insensible;75;Affect
Insensible;66;Affect
Insensible;0;Affect
Insensible;20.5;Affect
Insensible;53.5;Affect
Insensible;83;Affect
Insensible;14;Affect
Insensible;13;Affect
Insensible;31.5;Affect
Insensible;11;Affect
Insensible;60.5;Affect
Insensible;81.5;Affect
Insensible;65;Affect
Insensible;79.5;Affect
Insensible;44.5;Affect
Insensible;60;Affect
Insensible;0;Affect
Insensible;44;Affect
Insensible;92.5;Affect
Insensible;70;Affect
Insensible;100;Affect
Insensible;30;Affect
Insensible;80;Affect
Insensible;100;Affect
Insensible;38;Affect
Insensible;87.5;Affect
Insensible;29;Affect
Insensible;19;Affect
Insensible;35;Likableness
Insensible;10;Likableness
Insensible;10.5;Likableness
Insensible;28.5;Likableness
Insensible;9;Likableness
Insensible;17;Likableness
Insensible;11.5;Likableness
Insensible;22.5;Likableness
Insensible;23;Likableness
Insensible;13;Likableness
Insensible;20.5;Likableness
Insensible;32.5;Likableness
Insensible;42.5;Likableness
Insensible;15.5;Likableness
Insensible;40;Likableness
Insensible;15.5;Likableness
Insensible;16.5;Likableness
Insensible;29.5;Likableness
Insensible;10;Likableness
Insensible;6.5;Likableness
Insensible;22.5;Likableness
Insensible;0;Likableness
Insensible;8.5;Likableness
Insensible;25;Likableness
Insensible;22.5;Likableness
Insensible;5;Likableness
Insensible;0;Likableness
Insensible;0;Likableness
Insensible;20.5;Likableness
Insensible;1.5;Likableness
Neurotico/a;59.5;Affect
Neurotico/a;69;Affect
Neurotico/a;65;Affect
Neurotico/a;24;Affect
Neurotico/a;85;Affect
Neurotico/a;81;Affect
Neurotico/a;77;Affect
Neurotico/a;77;Affect
Neurotico/a;74.5;Affect
Neurotico/a;91.5;Affect
Neurotico/a;82.5;Affect
Neurotico/a;81;Affect
Neurotico/a;62.5;Affect
Neurotico/a;94.5;Affect
Neurotico/a;49.5;Affect
Neurotico/a;89.5;Affect
Neurotico/a;64.5;Affect
Neurotico/a;89.5;Affect
Neurotico/a;0;Affect
Neurotico/a;89;Affect
Neurotico/a;75;Affect
Neurotico/a;100;Affect
Neurotico/a;98;Affect
Neurotico/a;49;Affect
Neurotico/a;70;Affect
Neurotico/a;100;Affect
Neurotico/a;98.5;Affect
Neurotico/a;75;Affect
Neurotico/a;19.5;Affect
Neurotico/a;31;Affect
Neurotico/a;10;Likableness
Neurotico/a;10;Likableness
Neurotico/a;36;Likableness
Neurotico/a;28.5;Likableness
Neurotico/a;10.5;Likableness
Neurotico/a;5.5;Likableness
Neurotico/a;6;Likableness
Neurotico/a;17.5;Likableness
Neurotico/a;24.5;Likableness
Neurotico/a;12;Likableness
Neurotico/a;12;Likableness
Neurotico/a;7;Likableness
Neurotico/a;30;Likableness
Neurotico/a;11.5;Likableness
Neurotico/a;65.5;Likableness
Neurotico/a;13.5;Likableness
Neurotico/a;56;Likableness
Neurotico/a;5;Likableness
Neurotico/a;5;Likableness
Neurotico/a;4;Likableness
Neurotico/a;25;Likableness
Neurotico/a;5;Likableness
Neurotico/a;1;Likableness
Neurotico/a;31.5;Likableness
Neurotico/a;25;Likableness
Neurotico/a;0;Likableness
Neurotico/a;1;Likableness
Neurotico/a;0;Likableness
Neurotico/a;24.5;Likableness
Neurotico/a;4;Likableness
Pesimista;85.5;Affect
Pesimista;20;Affect
Pesimista;100;Affect
Pesimista;45;Affect
Pesimista;80;Affect
Pesimista;54.5;Affect
Pesimista;60.5;Affect
Pesimista;64.5;Affect
Pesimista;65;Affect
Pesimista;84;Affect
Pesimista;56.5;Affect
Pesimista;67;Affect
Pesimista;80;Affect
Pesimista;74;Affect
Pesimista;55.5;Affect
Pesimista;82.5;Affect
Pesimista;55;Affect
Pesimista;44.5;Affect
Pesimista;0;Affect
Pesimista;66;Affect
Pesimista;85;Affect
Pesimista;100;Affect
Pesimista;95.5;Affect
Pesimista;73;Affect
Pesimista;60;Affect
Pesimista;85;Affect
Pesimista;66;Affect
Pesimista;35;Affect
Pesimista;36.5;Affect
Pesimista;64;Affect
Pesimista;50.5;Likableness
Pesimista;20;Likableness
Pesimista;38.5;Likableness
Pesimista;25.5;Likableness
Pesimista;14;Likableness
Pesimista;24;Likableness
Pesimista;16;Likableness
Pesimista;27.5;Likableness
Pesimista;10.5;Likableness
Pesimista;24.5;Likableness
Pesimista;7.5;Likableness
Pesimista;9;Likableness
Pesimista;21;Likableness
Pesimista;22.5;Likableness
Pesimista;55;Likableness
Pesimista;9.5;Likableness
Pesimista;15.5;Likableness
Pesimista;39.5;Likableness
Pesimista;0;Likableness
Pesimista;11;Likableness
Pesimista;22.5;Likableness
Pesimista;0;Likableness
Pesimista;4.5;Likableness
Pesimista;28.5;Likableness
Pesimista;12.5;Likableness
Pesimista;2.5;Likableness
Pesimista;6;Likableness
Pesimista;0;Likableness
Pesimista;12.5;Likableness
Pesimista;2;Likableness
Resentido/a;54.5;Affect
Resentido/a;10;Affect
Resentido/a;85;Affect
Resentido/a;62.5;Affect
Resentido/a;75;Affect
Resentido/a;61.5;Affect
Resentido/a;67;Affect
Resentido/a;68.5;Affect
Resentido/a;80;Affect
Resentido/a;85;Affect
Resentido/a;56;Affect
Resentido/a;70;Affect
Resentido/a;50;Affect
Resentido/a;85;Affect
Resentido/a;60;Affect
Resentido/a;74.5;Affect
Resentido/a;43.5;Affect
Resentido/a;65.5;Affect
Resentido/a;35;Affect
Resentido/a;61.5;Affect
Resentido/a;92.5;Affect
Resentido/a;94.5;Affect
Resentido/a;75;Affect
Resentido/a;43.5;Affect
Resentido/a;85;Affect
Resentido/a;100;Affect
Resentido/a;94.5;Affect
Resentido/a;5;Affect
Resentido/a;36;Affect
Resentido/a;19;Affect
Resentido/a;40;Likableness
Resentido/a;10;Likableness
Resentido/a;35;Likableness
Resentido/a;24;Likableness
Resentido/a;15;Likableness
Resentido/a;13.5;Likableness
Resentido/a;7;Likableness
Resentido/a;15.5;Likableness
Resentido/a;20;Likableness
Resentido/a;13;Likableness
Resentido/a;8.5;Likableness
Resentido/a;9;Likableness
Resentido/a;4.5;Likableness
Resentido/a;17;Likableness
Resentido/a;60;Likableness
Resentido/a;10.5;Likableness
Resentido/a;12.5;Likableness
Resentido/a;28.5;Likableness
Resentido/a;10;Likableness
Resentido/a;4;Likableness
Resentido/a;12.5;Likableness
Resentido/a;5;Likableness
Resentido/a;6;Likableness
Resentido/a;29.5;Likableness
Resentido/a;27.5;Likableness
Resentido/a;0;Likableness
Resentido/a;4.5;Likableness
Resentido/a;0;Likableness
Resentido/a;0.5;Likableness
Resentido/a;0;Likableness
Average;35.61;Affect
Average;18.78;Affect
Average;80.00;Affect
Average;45.22;Affect
Average;45.17;Affect
Average;56.94;Affect
Average;67.89;Affect
Average;71.17;Affect
Average;49.61;Affect
Average;63.67;Affect
Average;49.11;Affect
Average;50.89;Affect
Average;55.11;Affect
Average;82.61;Affect
Average;56.00;Affect
Average;75.00;Affect
Average;46.94;Affect
Average;62.61;Affect
Average;4.44;Affect
Average;69.83;Affect
Average;70.83;Affect
Average;87.78;Affect
Average;89.06;Affect
Average;56.11;Affect
Average;65.56;Affect
Average;91.11;Affect
Average;85.89;Affect
Average;73.33;Affect
Average;27.78;Affect
Average;27.00;Affect
Average;26.83;Likableness
Average;10.00;Likableness
Average;21.50;Likableness
Average;23.56;Likableness
Average;11.39;Likableness
Average;11.45;Likableness
Average;9.56;Likableness
Average;15.33;Likableness
Average;19.83;Likableness
Average;14.56;Likableness
Average;11.22;Likableness
Average;12.83;Likableness
Average;15.88;Likableness
Average;13.72;Likableness
Average;32.39;Likableness
Average;9.78;Likableness
Average;17.11;Likableness
Average;17.56;Likableness
Average;10.56;Likableness
Average;8.17;Likableness
Average;24.17;Likableness
Average;1.11;Likableness
Average;6.78;Likableness
Average;31.17;Likableness
Average;13.33;Likableness
Average;3.50;Likableness
Average;4.50;Likableness
Average;0.00;Likableness
Average;11.56;Likableness
Average;3.78;Likableness
