Concept;Rating;Class
Comprensivo/a;87.5;Affect
Comprensivo/a;70;Affect
Comprensivo/a;45;Affect
Comprensivo/a;77;Affect
Comprensivo/a;54.5;Affect
Comprensivo/a;50.5;Affect
Comprensivo/a;61.5;Affect
Comprensivo/a;86;Affect
Comprensivo/a;69.5;Affect
Comprensivo/a;48;Affect
Comprensivo/a;74.5;Affect
Comprensivo/a;67;Affect
Comprensivo/a;93.5;Affect
Comprensivo/a;46;Affect
Comprensivo/a;90.5;Affect
Comprensivo/a;86.5;Affect
Comprensivo/a;75.5;Affect
Comprensivo/a;45;Affect
Comprensivo/a;95;Affect
Comprensivo/a;69;Affect
Comprensivo/a;95;Affect
Comprensivo/a;70.5;Affect
Comprensivo/a;100;Affect
Comprensivo/a;57;Affect
Comprensivo/a;70;Affect
Comprensivo/a;75;Affect
Comprensivo/a;95;Affect
Comprensivo/a;100;Affect
Comprensivo/a;28;Affect
Comprensivo/a;86;Affect
Comprensivo/a;81;Likableness
Comprensivo/a;80;Likableness
Comprensivo/a;100;Likableness
Comprensivo/a;84;Likableness
Comprensivo/a;89;Likableness
Comprensivo/a;89;Likableness
Comprensivo/a;83;Likableness
Comprensivo/a;78;Likableness
Comprensivo/a;90;Likableness
Comprensivo/a;87.5;Likableness
Comprensivo/a;89;Likableness
Comprensivo/a;95;Likableness
Comprensivo/a;96.5;Likableness
Comprensivo/a;85;Likableness
Comprensivo/a;100;Likableness
Comprensivo/a;76;Likableness
Comprensivo/a;70;Likableness
Comprensivo/a;83;Likableness
Comprensivo/a;75;Likableness
Comprensivo/a;84.5;Likableness
Comprensivo/a;87.5;Likableness
Comprensivo/a;91;Likableness
Comprensivo/a;90;Likableness
Comprensivo/a;79;Likableness
Comprensivo/a;92.5;Likableness
Comprensivo/a;99;Likableness
Comprensivo/a;93.5;Likableness
Comprensivo/a;100;Likableness
Comprensivo/a;94;Likableness
Comprensivo/a;87;Likableness
Concienzudo/a;65;Affect
Concienzudo/a;30;Affect
Concienzudo/a;0;Affect
Concienzudo/a;46.5;Affect
Concienzudo/a;39.5;Affect
Concienzudo/a;24;Affect
Concienzudo/a;36;Affect
Concienzudo/a;68;Affect
Concienzudo/a;7.5;Affect
Concienzudo/a;36.5;Affect
Concienzudo/a;15.5;Affect
Concienzudo/a;62;Affect
Concienzudo/a;20.5;Affect
Concienzudo/a;22.5;Affect
Concienzudo/a;65.5;Affect
Concienzudo/a;25;Affect
Concienzudo/a;80.5;Affect
Concienzudo/a;44;Affect
Concienzudo/a;55;Affect
Concienzudo/a;45;Affect
Concienzudo/a;30;Affect
Concienzudo/a;65;Affect
Concienzudo/a;54;Affect
Concienzudo/a;55.5;Affect
Concienzudo/a;17.5;Affect
Concienzudo/a;17.5;Affect
Concienzudo/a;5;Affect
Concienzudo/a;67.5;Affect
Concienzudo/a;76.5;Affect
Concienzudo/a;70.5;Affect
Concienzudo/a;79;Likableness
Concienzudo/a;80;Likableness
Concienzudo/a;97.5;Likableness
Concienzudo/a;79.5;Likableness
Concienzudo/a;85;Likableness
Concienzudo/a;86;Likableness
Concienzudo/a;87.5;Likableness
Concienzudo/a;81.5;Likableness
Concienzudo/a;78.5;Likableness
Concienzudo/a;82;Likableness
Concienzudo/a;95.5;Likableness
Concienzudo/a;100;Likableness
Concienzudo/a;87.5;Likableness
Concienzudo/a;82.5;Likableness
Concienzudo/a;90;Likableness
Concienzudo/a;93;Likableness
Concienzudo/a;80;Likableness
Concienzudo/a;49;Likableness
Concienzudo/a;75;Likableness
Concienzudo/a;95.5;Likableness
Concienzudo/a;95;Likableness
Concienzudo/a;100;Likableness
Concienzudo/a;79;Likableness
Concienzudo/a;73;Likableness
Concienzudo/a;87.5;Likableness
Concienzudo/a;85;Likableness
Concienzudo/a;79;Likableness
Concienzudo/a;95;Likableness
Concienzudo/a;100;Likableness
Concienzudo/a;93.5;Likableness
Cooperativo/a;80;Affect
Cooperativo/a;30;Affect
Cooperativo/a;0;Affect
Cooperativo/a;50;Affect
Cooperativo/a;30;Affect
Cooperativo/a;40;Affect
Cooperativo/a;45;Affect
Cooperativo/a;63;Affect
Cooperativo/a;60;Affect
Cooperativo/a;40;Affect
Cooperativo/a;36.5;Affect
Cooperativo/a;74;Affect
Cooperativo/a;50;Affect
Cooperativo/a;46;Affect
Cooperativo/a;39.5;Affect
Cooperativo/a;67.5;Affect
Cooperativo/a;85;Affect
Cooperativo/a;54.5;Affect
Cooperativo/a;65;Affect
Cooperativo/a;46.5;Affect
Cooperativo/a;62.5;Affect
Cooperativo/a;74;Affect
Cooperativo/a;82;Affect
Cooperativo/a;67.5;Affect
Cooperativo/a;40;Affect
Cooperativo/a;55;Affect
Cooperativo/a;34;Affect
Cooperativo/a;75;Affect
Cooperativo/a;98.5;Affect
Cooperativo/a;87.5;Affect
Cooperativo/a;79;Likableness
Cooperativo/a;80;Likableness
Cooperativo/a;97.5;Likableness
Cooperativo/a;79.5;Likableness
Cooperativo/a;85;Likableness
Cooperativo/a;86;Likableness
Cooperativo/a;87.5;Likableness
Cooperativo/a;81.5;Likableness
Cooperativo/a;78.5;Likableness
Cooperativo/a;82;Likableness
Cooperativo/a;95.5;Likableness
Cooperativo/a;100;Likableness
Cooperativo/a;87.5;Likableness
Cooperativo/a;82.5;Likableness
Cooperativo/a;90;Likableness
Cooperativo/a;93;Likableness
Cooperativo/a;80;Likableness
Cooperativo/a;49;Likableness
Cooperativo/a;75;Likableness
