Concept;Rating;Class
Aburrido/a;29.5;Affect
Aburrido/a;30;Affect
Aburrido/a;82.5;Affect
Aburrido/a;28.5;Affect
Aburrido/a;29.5;Affect
Aburrido/a;11.5;Affect
Aburrido/a;27.5;Affect
Aburrido/a;65;Affect
Aburrido/a;5.5;Affect
Aburrido/a;64;Affect
Aburrido/a;31.5;Affect
Aburrido/a;17.5;Affect
Aburrido/a;2.5;Affect
Aburrido/a;56.5;Affect
Aburrido/a;70;Affect
Aburrido/a;55.5;Affect
Aburrido/a;43.5;Affect
Aburrido/a;19.5;Affect
Aburrido/a;0;Affect
Aburrido/a;46.5;Affect
Aburrido/a;27.5;Affect
Aburrido/a;80;Affect
Aburrido/a;55.5;Affect
Aburrido/a;51;Affect
Aburrido/a;12.5;Affect
Aburrido/a;42.5;Affect
Aburrido/a;4;Affect
Aburrido/a;87.5;Affect
Aburrido/a;9;Affect
Aburrido/a;40.5;Affect
Aburrido/a;49.5;Likableness
Aburrido/a;40;Likableness
Aburrido/a;22.5;Likableness
Aburrido/a;29;Likableness
Aburrido/a;19;Likableness
Aburrido/a;44.5;Likableness
Aburrido/a;30;Likableness
Aburrido/a;24;Likableness
Aburrido/a;24;Likableness
Aburrido/a;28;Likableness
Aburrido/a;18;Likableness
Aburrido/a;30;Likableness
Aburrido/a;15;Likableness
Aburrido/a;11.5;Likableness
Aburrido/a;55;Likableness
Aburrido/a;25;Likableness
Aburrido/a;15;Likableness
Aburrido/a;42.5;Likableness
Aburrido/a;10;Likableness
Aburrido/a;4;Likableness
Aburrido/a;70;Likableness
Aburrido/a;30.5;Likableness
Aburrido/a;2.5;Likableness
Aburrido/a;32;Likableness
Aburrido/a;0;Likableness
Aburrido/a;0;Likableness
Aburrido/a;12;Likableness
Aburrido/a;0;Likableness
Aburrido/a;0;Likableness
Aburrido/a;10;Likableness
Codicioso/a;40;Affect
Codicioso/a;0;Affect
Codicioso/a;2.5;Affect
Codicioso/a;26;Affect
Codicioso/a;10;Affect
Codicioso/a;10.5;Affect
Codicioso/a;62;Affect
Codicioso/a;77.5;Affect
Codicioso/a;12.5;Affect
Codicioso/a;76;Affect
Codicioso/a;26.5;Affect
Codicioso/a;39.5;Affect
Codicioso/a;35;Affect
Codicioso/a;47.5;Affect
Codicioso/a;10;Affect
Codicioso/a;20;Affect
Codicioso/a;60;Affect
Codicioso/a;10;Affect
Codicioso/a;0;Affect
Codicioso/a;40.5;Affect
Codicioso/a;2.5;Affect
Codicioso/a;73.5;Affect
Codicioso/a;60;Affect
Codicioso/a;36.5;Affect
Codicioso/a;7.5;Affect
Codicioso/a;25;Affect
Codicioso/a;9.5;Affect
Codicioso/a;85;Affect
Codicioso/a;11;Affect
Codicioso/a;28.5;Affect
Codicioso/a;30;Likableness
Codicioso/a;0;Likableness
Codicioso/a;12.5;Likableness
Codicioso/a;20.5;Likableness
Codicioso/a;24.5;Likableness
Codicioso/a;15;Likableness
Codicioso/a;11.5;Likableness
Codicioso/a;12.5;Likableness
Codicioso/a;19.5;Likableness
Codicioso/a;7.5;Likableness
Codicioso/a;17;Likableness
Codicioso/a;19.5;Likableness
Codicioso/a;15;Likableness
Codicioso/a;11.5;Likableness
Codicioso/a;20;Likableness
Codicioso/a;27.5;Likableness
Codicioso/a;25;Likableness
Codicioso/a;33;Likableness
Codicioso/a;25;Likableness
Codicioso/a;15.5;Likableness
Codicioso/a;45;Likableness
Codicioso/a;34.5;Likableness
Codicioso/a;17.5;Likableness
Codicioso/a;30.5;Likableness
Codicioso/a;42.5;Likableness
Codicioso/a;2.5;Likableness
Codicioso/a;12;Likableness
Codicioso/a;0;Likableness
Codicioso/a;0;Likableness
Codicioso/a;5;Likableness
Egoista;17.5;Affect
Egoista;0;Affect
Egoista;38;Affect
Egoista;37;Affect
Egoista;20;Affect
Egoista;56.5;Affect
Egoista;57.5;Affect
Egoista;71;Affect
Egoista;19.5;Affect
Egoista;85.5;Affect
Egoista;40.5;Affect
Egoista;54.5;Affect
Egoista;40;Affect
Egoista;24.5;Affect
Egoista;45;Affect
Egoista;74.5;Affect
Egoista;55;Affect
Egoista;40;Affect
Egoista;0;Affect
Egoista;54.5;Affect
Egoista;10;Affect
Egoista;80.5;Affect
Egoista;69.5;Affect
Egoista;55.5;Affect
Egoista;30;Affect
Egoista;15;Affect
Egoista;39;Affect
Egoista;100;Affect
Egoista;39;Affect
Egoista;35.5;Affect
Egoista;58;Likableness
Egoista;0;Likableness
Egoista;31;Likableness
Egoista;41.5;Likableness
Egoista;7;Likableness
Egoista;3;Likableness
Egoista;24;Likableness
Egoista;17.5;Likableness
Egoista;30;Likableness
Egoista;8;Likableness
Egoista;9.5;Likableness
Egoista;37;Likableness
Egoista;7.5;Likableness
Egoista;19.5;Likableness
Egoista;30;Likableness
Egoista;0;Likableness
