AffectiveLikable;AffectiveUnlikable;NonaffectiveLikable;NonaffectiveUnlikable
85;0,5;87,5;29,5
29;30;70;30
65;27,5;45;82,5
63,5;42,5;77;28,5
60;37;54,5;29,5
51;13,5;50,5;11,5
59,5;63,5;61,5;27,5
73,5;67;86;65
65,5;13;69,5;5,5
59,5;21,5;48;64
56;35;74,5;31,5
77,5;21;67;17,5
75;56;93,5;2,5
39;83,5;46;56,5
75;85;90,5;70
79;49,5;86,5;55,5
90,5;25;75,5;43,5
45;54,5;45;19,5
100;0;95;0
68,5;93;69;46,5
85;7,5;95;27,5
80;89,5;70,5;80
93;87,5;100;55,5
62,5;49,5;57;51
77,5;42,5;70;12,5
67,5;77,5;75;42,5
75,5;88;95;4
95;95;100;87,5
95;25,5;28;9
88,5;34,5;86;40,5
94,5;5;65;40
81;0;30;0
35;92,5;0;2,5
91;29,5;46,5;26
45;5;39,5;10
49;63,5;24;10,5
60,5;83;36;62
74,5;82,5;68;77,5
58;42;7,5;12,5
79,5;80;36,5;76
38,5;31;15,5;26,5
79,5;26;62;39,5
72;46;20,5;35
89,5;73;22,5;47,5
55,5;64;65,5;10
83;59,5;25;20
90;70;80,5;60
50;50;44;10
85;0;55;0
67;68,5;45;40,5
85;100;30;2,5
95;60;65;73,5
97,5;90;54;60
46;58;55,5;36,5
62,5;75;17,5;7,5
95;92,5;17,5;25
49;94;5;9,5
87,5;100;67,5;85
41;10;76,5;11
83;0;70,5;28,5
94;0,5;80;17,5
100;0;30;0
100;80;0;38
90,5;28;50;37
75;9,5;30;20
79;59,5;40;56,5
54,5;83;45;57,5
81,5;76;63;71
54,5;12,5;60;19,5
78,5;30,5;40;85,5
62;43,5;36,5;40,5
90;37;74;54,5
80;40;50;40
76;71;46;24,5
94,5;60;39,5;45
70,5;79;67,5;74,5
85,5;20;85;55
46;60;54,5;40
70;5;65;0
65,5;65;46,5;54,5
90;75;62,5;10
95;86;74;80,5
93,5;81;82;69,5
45,5;65;67,5;55,5
75;45;40;30
72,5;65;55;15
30,5;97;34;39
100;95;75;100
94,5;30,5;98,5;39
85,5;5,5;87,5;35,5
84,5;44,5;83,5;49
80;0;70;0
7,5;95;15;5
41;53,5;33;32,5
54;30;50;10
58;71,5;70,5;21
65;57,5;64;75,5
85;40,5;73,5;62,5
79,5;60;90;13
75,5;79;70;22
56,5;31;52,5;24
84,5;65;75;68,5
86,5;70;80;22,5
36,5;91,5;61,5;32,5
60,5;20;69,5;65
67;91;88;14,5
76,5;55,5;85;56,5
45;44,5;40,5;23,5
95;0;95;0
77,5;56;65;45,5
95;30;75;10
79,5;95;80;75
92,5;84;87;55
48;62,5;50,5;43
77,5;52,5;40;25
65;100;65;12,5
53,5;97,5;18;85,5
100;77,5;100;75
90;8,5;89,5;11,5
92,5;41;84,5;11
99;55,5;85;35
100;40;20;60
95;100;55;75
56;56;32;59
65;85;60;75
87,5;87;55,5;19
47,5;66;50;78,5
83,5;81,5;70,5;73,5
88;85,5;65;40
88,5;88,5;37;94
65;75;55,5;52,5
100;80;69;37
91;31;89,5;25,5
90;89,5;59;74,5
60,5;45;75;71,5
90;70;75,5;71,5
80;44,5;72;33,5
25;95;44,5;69
90;0;55;0
90,5;85,5;57;76,5
100;80;95;50
89,5;95;89;90
89,5;90,5;63;64,5
60;74,5;52,5;66
92,5;80;62,5;62,5
92,5;100;47,5;90
94,5;99,5;85,5;98,5
100;90;95;100
88,5;54,5;50;11
83;29;71,5;48,5
95;15;43,5;34,5
80;0;30;9
100;75;0;0
55;66;32;22
76,5;0;14,5;3
70,5;20,5;20;50
58,5;53,5;26;51,5
95;83;62;60,5
90,5;14;13,5;28
82;13;20;14,5
63;31,5;18,5;15
100;11;18,5;27
95,5;60,5;38,5;30,5
92,5;81,5;10;36,5
65;65;60,5;80,5
87,5;79,5;58;76
75;44,5;56,5;25
53,5;60;40;26
100;0;90;5
74,5;44;45,5;36,5
100;92,5;0;5
95,5;70;45;74,5
98;100;70,5;36,5
67,5;30;68,5;47,5
85;80;5;15
100;100;5;17,5
89,5;38;33;8
100;87,5;5;37,5
74,5;29;100;30
77;19;61,5;35
97;59,5;25;36
80;69;50;0
100;65;0;22,5
66,5;24;42,5;34,5
91,5;85;25;49,5
82,5;81;20;23,5
68;77;25;57
96;77;72,5;66
100;74,5;7,5;9,5
91;91,5;17,5;20,5
64;82,5;21,5;29,5
95;81;20;31,5
70;62,5;10;40
91;94,5;11,5;47
95;49,5;74,5;25
98;89,5;25,5;80,5
85,5;64,5;81,5;20,5
44;89,5;35,5;32,5
100;0;60;0
63,5;89;32;61,5
100;75;0;10
95;100;49,5;46
100;98;80,5;42,5
57,5;49;56;53
90;70;20;22,5
97,5;100;5;20
93,5;98,5;1,5;1
95;75;2,5;90
80;19,5;93;11,5
86,5;31;73,5;30
94;85,5;85;15,5
100;20;50;10
100;100;0;39,5
66;45;36;21,5
83;80;35;24,5
84,5;54,5;69;21
53,5;60,5;54,5;67,5
87,5;64,5;67;69
54;65;75;47
85,5;84;30,5;57
77;56,5;44,5;43
95;67;70,5;50
60;80;70;50
92;74;37,5;56
84,5;55,5;79,5;36
82;82,5;66;31,5
79,5;55;73;30
65,5;44,5;50;20,5
35;0;95;0
83;66;72,5;64
92,5;85;60;27,5
84,5;100;80;95
100;95,5;83;62
60,5;73;67;56
67,5;60;20;37,5
100;85;67,5;70
75;66;22,5;50,5
62,5;35;100;95
65,5;36,5;85,5;39
87;64;72;18
