ID;LTL_em;IFG_em;Prec_em;ATL_em;aPFC_em;Ins_em;ACC_em;PCC_em;V1_em;LTL_ch;IFG_ch;Prec_ch;ATL_ch;aPFC_ch;Ins_ch;ACC_ch;PCC_ch;V1_ch
sub-001;0,458639132;0,426154191;0,396971884;0,448039873;0,382755743;0,418649775;0,387852481;0,391926772;0,375909127;0,304226352;0,308645724;0,315349568;0,329266472;0,292880963;0,311316985;0,300685725;0,306110764;0,294721929
sub-002;0,370922832;0,392698401;0,369734303;0,362863087;0,358904422;0,404331611;0,363268093;0,393311616;0,339198823;0,317406804;0,291119279;0,309674252;0,289381715;0,299112296;0,300951524;0,312097931;0,296151027;0,290753794
sub-003;0,531318225;0,449187952;0,555606252;0,409686327;0,522719602;0,417060166;0,506015692;0,396073514;0,406347528;0,277218645;0,300268585;0,319650767;0,311257958;0,277258105;0,334573787;0,311399651;0,334896665;0,294020473
sub-004;0,534596619;0,460981133;0,447045383;0,391011833;0,444906978;0,43612019;0,452964984;0,399206199;0,422915978;0,305850897;0,279272105;0,261594439;0,293935349;0,255690807;0,307073494;0,268596711;0,27483119;0,285165969
sub-005;0,475604167;0,405436064;0,430995258;0,401471046;0,419412414;0,394160698;0,421926431;0,400888183;0,381943755;0,280048198;0,274306904;0,3208443;0,287401663;0,301298192;0,323409702;0,316802308;0,285761747;0,298891382
sub-006;0,428528162;0,393895409;0,445246395;0,332275652;0,35771784;0,378916209;0,432679368;0,389953462;0,356655604;0,313954567;0,297385429;0,273757599;0,290333568;0,296466564;0,27982204;0,275605066;0,274041615;0,294502962
sub-007;0,511752791;0,466265377;0,45819937;0,397817071;0,416082904;0,42690119;0,489410838;0,442143522;0,344348534;0,25294434;0,278067696;0,22858596;0,272895004;0,25584104;0,294857839;0,267994252;0,227670661;0,257764193
sub-008;0,539800563;0,447804696;0,484316887;0,415843503;0,47589861;0,428420147;0,43696253;0,426852441;0,397014162;0,299479129;0,281068546;0,271587373;0,259559195;0,28501244;0,261186317;0,263414161;0,277382241;0,292223133
sub-009;0,552256008;0,463589562;0,473866303;0,429642863;0,457884852;0,44038843;0,448930723;0,382129913;0,395396388;0,287679896;0,298487755;0,284955422;0,313081575;0,297300335;0,305385637;0,270071982;0,306040651;0,300560601
sub-010;0,487377872;0,492303103;0,453435548;0,420028626;0,491988705;0,408104898;0,487546562;0,410159917;0,320160342;0,270152762;0,267198204;0,273257102;0,253445585;0,249693482;0,269450677;0,251931363;0,242537381;0,280028722
