ID;LTL_em;IFG_em;Prec_em;ATL_em;aPFC_em;Ins_em;ACC_em;PCC_em;V1_em;LTL_ch;IFG_ch;Prec_ch;ATL_ch;aPFC_ch;Ins_ch;ACC_ch;PCC_ch;V1_ch
sub-001;0,392854167;0,359510417;0,372371528;0,422079861;0,342288194;0,370965278;0,3468125;0,35625;0,349461806;0,286467823;0,245683892;0,296293203;0,286833195;0,265954099;0,302249864;0,25503742;0,296616643;0,293562682
sub-002;0,317815972;0,326305556;0,347381944;0,322364583;0,318211806;0,353375;0,324916667;0,354670139;0,304399306;0,281302362;0,258069886;0,282894017;0,2797574;0,297086756;0,302560167;0,270456102;0,269160372;0,325839504
sub-003;0,416138889;0,471364583;0,37284375;0,360666667;0,437520833;0,357215278;0,470003472;0,347506944;0,36728125;0,319039353;0,301376764;0,272128745;0,294491404;0,298468044;0,279600864;0,277584876;0,278209735;0,295427642
sub-004;0,454923611;0,399319444;0,397798611;0,351496528;0,390166667;0,377392361;0,406767361;0,352722222;0,383538194;0,316995165;0,305807904;0,300993646;0,311695231;0,308537978;0,306094564;0,322150712;0,301648234;0,309525993
sub-005;0,405034722;0,393868056;0,351423611;0,375524306;0,378881944;0,354805556;0,379645833;0,355996528;0,353270833;0,283093676;0,302029912;0,29153945;0,273267138;0,265706014;0,291891148;0,274176673;0,248740283;0,276484751
sub-006;0,395201389;0,330579861;0,31246875;0,329385417;0,300927083;0,401291667;0,313527778;0,355576389;0,342413194;0,327107967;0,259223987;0,272154341;0,272637161;0,271283795;0,268452254;0,288227222;0,288772734;0,267364885
sub-007;0,41534375;0,3885;0,391503472;0,352347222;0,357361111;0,35803125;0,414663194;0,398118056;0,310690972;0,277704473;0,307628084;0,316029704;0,308464748;0,273848583;0,326280491;0,304905372;0,340151566;0,296881998
sub-008;0,484444444;0,439368056;0,413020833;0,394996528;0,4518125;0,405149306;0,4088125;0,39284375;0,359503472;0,27949115;0,265379335;0,282537446;0,259223042;0,277329592;0,251470736;0,301968261;0,263224086;0,272142219
sub-009;0,413802083;0,383625;0,365079861;0,4143125;0,464607639;0,339204861;0,344722222;0,407961806;0,406392361;0,293975072;0,279861017;0,269394749;0,254969007;0,273253945;0,248422994;0,26210977;0,281099549;0,289480485
sub-010;0,393336806;0,380784722;0,400819444;0,378802083;0,409520833;0,344819444;0,437940972;0,354392361;0,280006944;0,240495813;0,268277713;0,267293306;0,275717327;0,266796489;0,267593917;0,25461527;0,260453884;0,281892404
sub-011;0,483302083;0,441965278;0,45125;0,418065972;0,463958333;0,459722222;0,501930556;0,4048125;0,36303125;0,313991451;0,288696264;0,308519641;0,294977742;0,296375604;0,301426224;0,310842198;0,292894232;0,294615513
sub-012;0,344322917;0,389173611;0,363569444;0,328114583;0,343857639;0,383774306;0,346850694;0,379600694;0,280409722;0,267457542;0,277363331;0,233060061;0,265151585;0,25821559;0,290671551;0,267921841;0,227841807;0,269461409
sub-013;0,376628472;0,359225694;0,344743056;0,298086806;0,261329861;0,333267361;0,312965278;0,352121528;0,322309028;0,316674858;0,286256554;0,293238403;0,300388733;0,266888306;0,276237758;0,269298267;0,27568124;0,282841042
sub-014;0,336916667;0,335246528;0,284302083;0,331072917;0,31990625;0,316541667;0,334680556;0,340774306;0,313246528;0,278009583;0,296332369;0,278013024;0,25690075;0,272368876;0,294083999;0,285111919;0,272993937;0,289992743
sub-015;0,360246528;0,362190972;0,314756944;0,334395833;0,360145833;0,319114583;0,352527778;0,357177083;0,29884375;0,257738846;0,303883043;0,27361854;0,28321772;0,289516655;0,326463593;0,278105263;0,283556649;0,30209603
