,z_vstackV1_BOLD__INTERS_bin,z_vstackantcingulate_BOLD__INTERS_bin,z_vstackatempole_BOLD__INTERS_bin,z_vstackinsula_BOLD__INTERS_bin,z_vstackl_apfc_BOLD__INTERS_bin,z_vstackl_inf_front_BOLD__INTERS_bin,z_vstackl_inferomiddletemp_BOLD__INTERS_bin,z_vstackposcingulate_BOLD__INTERS_bin,z_vstackprecun_BOLD__INTERS_bin
sub-001,0.29472192858820767,0.3006857253119712,0.329266472268964,0.3113169845105061,0.29288096316750806,0.30864572396964424,0.30422635227452505,0.3061107635443184,0.31534956829807326
sub-002,0.29075379447057187,0.3120979311386288,0.2893817146308841,0.3009515240204609,0.29911229643372494,0.2911192789307407,0.31740680415929584,0.2961510273594991,0.3096742520122919
sub-003,0.29402047288259914,0.3113996514744023,0.3112579580810478,0.33457378723159453,0.27725810549730817,0.30026858523536265,0.2772186446812692,0.33489666479699703,0.31965076728365766
sub-004,0.28516596913606884,0.26859671105933564,0.29393534898103,0.30707349359757996,0.25569080697818236,0.2792721052480189,0.30585089744142896,0.2748311904042801,0.2615944386916148
sub-005,0.29889138178174723,0.31680230760380257,0.28740166256777555,0.3234097021472436,0.301298191933574,0.27430690387501017,0.28004819792610486,0.28576174655908876,0.32084429966489764
sub-006,0.2945029615087755,0.27560506584592964,0.29033356824054496,0.2798220398095813,0.29646656407453753,0.2973854288015418,0.31395456702765673,0.27404161453164777,0.27375759852919324
sub-007,0.257764192710206,0.2679942519643516,0.27289500366742897,0.2948578391892345,0.2558410397280829,0.27806769642317813,0.2529443401744066,0.22767066128777094,0.22858596045888405
sub-008,0.29222313308692044,0.2634141605902403,0.25955919541883,0.261186317374025,0.28501244049416813,0.2810685461640612,0.29947912921334846,0.27738224077509793,0.27158737349767254
sub-009,0.30056060126658135,0.2700719822812846,0.3130815751247645,0.3053856373416174,0.29730033486262725,0.2984877548623395,0.28767989577790243,0.30604065093267746,0.2849554215625645
sub-010,0.2800287222006491,0.2519313627494691,0.2534455854223296,0.2694506766765903,0.2496934820439804,0.267198204158337,0.2701527615979443,0.24253738140781328,0.2732571023476339
sub-011,0.2765271066143159,0.2800268944787217,0.2768120514590614,0.288057245449272,0.2740096443792457,0.2982579712646158,0.27609522491167016,0.2478175801680785,0.28975822534792633
sub-012,0.28552806781627377,0.265357927878692,0.30206032201464095,0.2786522078880883,0.26678879444660175,0.27479316779565954,0.30881168711318213,0.2743159525966835,0.2954097512859971
sub-013,0.2722574583039699,0.3035360426764081,0.26378225180135484,0.24821982880537694,0.2750335282104385,0.2595026558896991,0.27762925289918644,0.25624601496694516,0.2852525612077107
sub-014,0.3139333834308917,0.33446933741784246,0.28156451798478377,0.3064678284985594,0.316059353621646,0.3049493511287531,0.30093693220769635,0.30893381489311716,0.2916618726419391
sub-015,0.3031894346886041,0.2985320396657606,0.27161463951331066,0.27230177307004544,0.2703390693839199,0.2700491207758649,0.29422754478817603,0.27748048831935873,0.28001853489810297
sub-016,0.32685936249059167,0.2731196936138796,0.28262864166103374,0.2968161683277962,0.29818147660755634,0.26065130421442717,0.2885479438427943,0.2656478165614378,0.2741457347561999
sub-017,0.28502906976744186,0.27153826470686937,0.28685912878188624,0.3166117451208813,0.2835983230501503,0.29728837976346284,0.3039811079470548,0.2902441297167211,0.30147305398551244
sub-018,0.30821372241638023,0.27528254783238176,0.27951908740945286,0.32190701509638386,0.2915727637073152,0.29984410430839004,0.2593862809394371,0.2892448751875662,0.27663569127439563
sub-019,0.2728233329977516,0.28353624042992814,0.27878922710733345,0.2717491119069192,0.265075200270383,0.2652824219892326,0.3340389238852694,0.2865508130665938,0.2743473234959946
sub-020,0.26589458898428997,0.29409570910816757,0.25973486646244126,0.27152349311817753,0.28640243800127524,0.26817288931076305,0.27505219494422156,0.2762334426370971,0.275518653550215
sub-021,0.284610101968906,0.30204222457129437,0.2837669229072884,0.34778399203233096,0.29568894330106954,0.3027551559735945,0.26899006078823356,0.31650244135709255,0.30458866069331186
sub-022,0.2828424252012292,0.25585895739550224,0.3004679267760663,0.29437025691178514,0.26516994218406176,0.24936497149952305,0.2837913125080899,0.28947367001769,0.29311353329210477
sub-023,0.3056124845991956,0.2800664451827242,0.29534455254970204,0.2682264625370937,0.32311442018667935,0.26840698753074166,0.29004691552449025,0.25541134529921905,0.27368715632835233
sub-024,0.2909017500587268,0.2841640778933138,0.2545994772116035,0.30020743145743145,0.27637070155757865,0.30323869329268,0.2843843932922006,0.2763098474061929,0.2810757372011525
sub-025,0.2747209877608549,0.2530376438806672,0.2828866500793411,0.271746145604119,0.25735436352130703,0.2703612117856304,0.24738680708365093,0.2647920232222558,0.27776330581563136
sub-026,0.28505675526024365,0.2674161824701692,0.2995888224916464,0.262999657227232,0.3053782964912533,0.27436488161155936,0.3157987384523929,0.3221450983494173,0.28826401772830346
sub-027,0.3123626212289003,0.29553493525669605,0.2767939240530603,0.29037482681585675,0.30182268820142577,0.2908488060481416,0.31002814092515085,0.3002026673953584,0.29921036420205854
sub-028,0.31509260857267507,0.3130210505625788,0.2983890878409151,0.3052970078094663,0.3083639551662807,0.3050851418791618,0.316607400535972,0.308592120780659,0.30191401437248616
sub-029,0.2566369077581702,0.2796873576773909,0.2571863029919508,0.27198596669111624,0.25633035983949604,0.25734693278297927,0.2631187887417123,0.2924761077792639,0.26368538253920315
sub-030,0.29800739358463607,0.2763238998911757,0.2771842775165035,0.28299930966043924,0.2831445086843758,0.27622625160000575,0.29279392165604795,0.2864076515031665,0.29523276188558584
