roi;accuracy;cateogry
1_LTL;0.446125101;semantic
1_LTL;0.524368155;semantic
1_LTL;0.394043809;semantic
1_LTL;0.418114617;semantic
1_LTL;0.567624981;semantic
1_LTL;0.458527255;semantic
1_LTL;0.452857932;semantic
1_LTL;0.450445816;semantic
1_LTL;0.359312741;semantic
1_LTL;0.374135857;semantic
1_LTL;0.393204841;semantic
1_LTL;0.374858471;semantic
1_LTL;0.450490724;semantic
1_LTL;0.475888366;semantic
1_LTL;0.473955271;semantic
1_LTL;0.332744763;semantic
1_LTL;0.456179099;semantic
1_LTL;0.502929921;semantic
1_LTL;0.358291419;semantic
1_LTL;0.430062926;semantic
1_LTL;0.401339354;semantic
1_LTL;0.519807248;semantic
1_LTL;0.541443486;semantic
1_LTL;0.464193857;semantic
1_LTL;0.380229767;semantic
1_LTL;0.433549437;semantic
1_LTL;0.464827335;semantic
1_LTL;0.457669236;semantic
1_LTL;0.393038137;semantic
1_LTL;0.470926688;semantic
2_IFG;0.410278812;semantic
2_IFG;0.436838624;semantic
2_IFG;0.430772612;semantic
2_IFG;0.369454515;semantic
2_IFG;0.429277712;semantic
2_IFG;0.428835434;semantic
2_IFG;0.523891856;semantic
2_IFG;0.418037728;semantic
2_IFG;0.45925123;semantic
2_IFG;0.385110474;semantic
2_IFG;0.373515987;semantic
2_IFG;0.419069937;semantic
2_IFG;0.506410309;semantic
2_IFG;0.361816715;semantic
2_IFG;0.446336033;semantic
2_IFG;0.400778681;semantic
2_IFG;0.329957051;semantic
2_IFG;0.389787053;semantic
2_IFG;0.440751083;semantic
2_IFG;0.453708467;semantic
2_IFG;0.439453508;semantic
2_IFG;0.465593496;semantic
2_IFG;0.438345772;semantic
2_IFG;0.413621753;semantic
2_IFG;0.487178022;semantic
2_IFG;0.387479723;semantic
2_IFG;0.355621421;semantic
2_IFG;0.41084901;semantic
2_IFG;0.444964972;semantic
2_IFG;0.447350551;semantic
3_Prec;0.402432121;semantic
3_Prec;0.42220943;semantic
3_Prec;0.48884575;semantic
3_Prec;0.417481139;semantic
3_Prec;0.462327444;semantic
3_Prec;0.521006162;semantic
3_Prec;0.45083298;semantic
3_Prec;0.43388829;semantic
3_Prec;0.377540717;semantic
3_Prec;0.418539884;semantic
3_Prec;0.494266036;semantic
3_Prec;0.445380032;semantic
3_Prec;0.395369962;semantic
3_Prec;0.387046971;semantic
3_Prec;0.400311228;semantic
3_Prec;0.440095151;semantic
3_Prec;0.411945179;semantic
3_Prec;0.485242205;semantic
3_Prec;0.462700318;semantic
3_Prec;0.465453328;semantic
3_Prec;0.421194232;semantic
3_Prec;0.399751236;semantic
3_Prec;0.366431375;semantic
3_Prec;0.459167538;semantic
3_Prec;0.447807118;semantic
3_Prec;0.385570443;semantic
3_Prec;0.359143995;semantic
3_Prec;0.517506042;semantic
3_Prec;0.401881655;semantic
3_Prec;0.400022726;semantic
4_ATL;0.398797957;intersection
4_ATL;0.412512656;intersection
4_ATL;0.424793014;intersection
4_ATL;0.487695827;intersection
4_ATL;0.41064148;intersection
4_ATL;0.423406302;intersection
4_ATL;0.371203214;intersection
4_ATL;0.309560553;intersection
4_ATL;0.364984786;intersection
4_ATL;0.387218439;intersection
4_ATL;0.466666531;intersection
4_ATL;0.408553928;intersection
4_ATL;0.300866729;intersection
4_ATL;0.444454651;intersection
4_ATL;0.391205745;intersection
4_ATL;0.461533385;intersection
4_ATL;0.380538681;intersection
4_ATL;0.516803841;intersection
4_ATL;0.43886902;intersection
4_ATL;0.446023717;intersection
4_ATL;0.386049464;intersection
4_ATL;0.355466964;intersection
4_ATL;0.433024147;intersection
4_ATL;0.477881339;intersection
4_ATL;0.377603316;intersection
4_ATL;0.468006293;intersection
4_ATL;0.404315544;intersection
4_ATL;0.404501981;intersection
4_ATL;0.384825375;intersection
4_ATL;0.399530777;intersection
5_aPFC;0.324667407;intersection
5_aPFC;0.483503712;intersection
5_aPFC;0.377551604;intersection
5_aPFC;0.38750626;intersection
5_aPFC;0.361986141;intersection
5_aPFC;0.365491704;intersection
5_aPFC;0.336229233;intersection
5_aPFC;0.266271746;intersection
5_aPFC;0.391267664;intersection
5_aPFC;0.428174739;intersection
5_aPFC;0.487153526;intersection
5_aPFC;0.385492875;intersection
5_aPFC;0.485197297;intersection
5_aPFC;0.412597709;intersection
5_aPFC;0.356833263;intersection
5_aPFC;0.437285665;intersection
5_aPFC;0.529719718;intersection
5_aPFC;0.432077672;intersection
5_aPFC;0.408760098;intersection
5_aPFC;0.410051549;intersection
5_aPFC;0.43501848;intersection
5_aPFC;0.366798125;intersection
5_aPFC;0.491574265;intersection
5_aPFC;0.413529215;intersection
5_aPFC;0.537394262;intersection
5_aPFC;0.39958385;intersection
5_aPFC;0.452204722;intersection
5_aPFC;0.380288964;intersection
5_aPFC;0.365916971;intersection
5_aPFC;0.414003473;intersection
6_Ins;0.442678735;social
6_Ins;0.455851133;social
6_Ins;0.420685272;social
6_Ins;0.396643723;social
6_Ins;0.410515601;social
6_Ins;0.421258192;social
6_Ins;0.409598384;social
6_Ins;0.391298283;social
6_Ins;0.402139537;social
6_Ins;0.348553819;social
