ID;a_LTL_em;a_IFG_em;a_Prec_em;a_ATL_em;a_aPFC_em;a_Ins_em;a_ACC_em;a_PCC_em;a_V1_em;a_LTL_ch;a_IFG_ch;a_Prec_ch;a_ATL_ch;a_aPFC_ch;a_Ins_ch;a_ACC_ch;a_PCC_ch;a_V1_ch;l_LTL_em;l_IFG_em;l_Prec_em;l_ATL_em;l_aPFC_em;l_Ins_em;l_ACC_em;l_PCC_em;l_V1_em;l_LTL_ch;l_IFG_ch;l_Prec_ch;l_ATL_ch;l_aPFC_ch;l_Ins_ch;l_ACC_ch;l_PCC_ch;l_V1_ch
sub-001;0,694594604;0,666926821;0,634202541;0,638010563;0,627926011;0,648708622;0,61360886;0,604466986;0,639935854;0,603767048;0,614125308;0,633916429;0,574545375;0,618651765;0,601318947;0,586196718;0,57218968;0,565017801;0,660678625;0,632921288;0,615501075;0,662952816;0,61232425;0,621607987;0,643237971;0,632079867;0,569572646;0,5701415;0,546505587;0,509635417;0,522290753;0,536791849;0,565983318;0,53048833;0,531046366;0,532525976
sub-002;0,602968702;0,586637199;0,586636204;0,553127713;0,561159025;0,588311231;0,591869526;0,584349588;0,553132715;0,484546482;0,488650957;0,508259694;0,476048708;0,5286836;0,519350776;0,541099406;0,485581378;0,506146345;0,59324414;0,609200641;0,595471322;0,550524082;0,607024944;0,600318483;0,598944408;0,59201235;0,590948244;0,501699285;0,551543688;0,534710858;0,494996069;0,517508477;0,551934094;0,528980232;0,556409744;0,537856344
sub-003;0,731378973;0,681395284;0,697513039;0,590202471;0,667982514;0,630819741;0,681075039;0,654895146;0,635991192;0,534038379;0,532987772;0,538404724;0,541926787;0,569934305;0,541581859;0,518483709;0,556275158;0,562428799;0,713081018;0,621865057;0,754944653;0,667844367;0,72609127;0,635600082;0,736715348;0,569074393;0,605410468;0,554018338;0,56854739;0,552313259;0,551892394;0,560772233;0,55767593;0,572663972;0,563000885;0,551516782
sub-004;0,660748852;0,623380359;0,619811688;0,58176908;0,62179197;0,653171282;0,58796217;0,625574429;0,650104601;0,539838009;0,541206031;0,546874093;0,545073319;0,545166876;0,534191316;0,508907518;0,536052848;0,565016969;0,785736949;0,728737513;0,679723689;0,619037954;0,675647008;0,650221187;0,722433077;0,642079934;0,575515251;0,46419643;0,471937223;0,440822538;0,473007967;0,461050297;0,448485611;0,463513456;0,440265546;0,453863265
sub-005;0,669699608;0,617989623;0,646610399;0,574812318;0,632874574;0,604009328;0,590302317;0,571245567;0,582147196;0,531052079;0,510280849;0,531757027;0,483999767;0,53101685;0,534690249;0,551495129;0,533802644;0,537716196;0,70517295;0,642884694;0,640039371;0,632062203;0,627304409;0,629968316;0,708815145;0,633540411;0,610698955;0,55778921;0,574403113;0,591742514;0,524076639;0,539691334;0,572587719;0,55621455;0,563767973;0,54229818
sub-006;0,604870997;0,619307697;0,65255226;0,592436693;0,573196017;0,642445069;0,615679453;0,625753665;0,585690674;0,52475243;0,503369705;0,550582248;0,542854086;0,509555393;0,552122685;0,543747071;0,531256495;0,532179025;0,730380361;0,657246507;0,703291696;0,57589319;0,638915773;0,594928811;0,662686748;0,6356263;0,593175759;0,577568787;0,519505165;0,550919314;0,529857604;0,509015756;0,512432001;0,543034763;0,5616682;0,535178197
sub-007;0,642829807;0,588359872;0,605973369;0,578342999;0,614573217;0,612311045;0,650300076;0,600448598;0,603748053;0,477767335;0,51854266;0,534886949;0,498027832;0,486635776;0,531236357;0,513664706;0,521552537;0,520739685;0,747631268;0,69615817;0,728323802;0,632383707;0,667130259;0,644520988;0,716620785;0,694923257;0,587762625;0,57670059;0,572965241;0,560867446;0,551354396;0,53542442;0,566231868;0,564501532;0,569384952;0,53838194
sub-008;0,689236802;0,610914407;0,653184009;0,582789004;0,63624258;0,627760994;0,628308996;0,61636183;0,576753369;0,515070709;0,486814463;0,494080706;0,487289106;0,524175719;0,516826966;0,51585213;0,508849022;0,524189373;0,739828294;0,725058102;0,687924154;0,603915929;0,704194551;0,648690432;0,63411232;0,625861307;0,581287883;0,569488212;0,582202366;0,553726074;0,532344572;0,553128302;0,564680083;0,565819266;0,563224544;0,556006361
sub-009;0,703396352;0,633775148;0,655676153;0,629170877;0,615222486;0,637516042;0,626801769;0,575631231;0,581497216;0,546296832;0,545770409;0,555876336;0,561447958;0,554885611;0,585842277;0,560379046;0,546275411;0,523071032;0,776874922;0,643757554;0,692659063;0,630220498;0,650646563;0,636044677;0,671928603;0,632671106;0,579525831;0,532164789;0,529185232;0,537061506;0,493720714;0,537968071;0,537151788;0,538969126;0,546301785;0,551021646
sub-010;0,659106822;0,683234428;0,669491066;0,593597249;0,691157985;0,626703689;0,617547545;0,635902889;0,578927123;0,561609637;0,564778397;0,584112571;0,56932842;0,55100757;0,561305943;0,550312354;0,563931649;0,556194617;0,681427638;0,627344403;0,644110609;0,621290816;0,672572166;0,608795037;0,719746063;0,649730376;0,533786372;0,526847443;0,510258865;0,518667618;0,497419475;0,506791632;0,547119187;0,536511649;0,522752947;0,525384642
sub-011;0,677903584;0,657298904;0,630335253;0,556100384;0,597440298;0,643482909;0,644976085;0,573397117;0,602049785;0,531311612;0,532194549;0,532413325;0,519167711;0,512321429;0,525688701;0,538925961;0,5435401;0,514542607;0,724885463;0,685896146;0,725468925;0,68352097;0,727928643;0,660983687;0,74748718;0,674760594;0,628936259;0,571497496;0,510183723;0,516301182;0,564941139;0,551145596;0,54266822;0,535465891;0,49343577;0,527770858
sub-012;0,637325371;0,620799382;0,616196268;0,567759037;0,597893471;0,638062758;0,610390963;0,60502044;0,558833588;0,586904578;0,579311053;0,596144989;0,559707817;0,573804395;0,565468451;0,541478942;0,521305224;0,535788552;0,598236949;0,581300214;0,641181189;0,60560888;0,583801481;0,609729777;0,612542771;0,58096749;0,527022343;0,527290653;0,477592265;0,47415045;0,483477689;0,488666519;0,505328886;0,501882156;0,514655511;0,497089538
sub-013;0,648394935;0,634607876;0,622746613;0,58578933;0,572949729;0,638438506;0,596579761;0,620546989;0,569467921;0,476775526;0,453771242;0,491361152;0,481983669;0,486561297;0,453571047;0,46902546;0,453993215;0,459668735;0,627626358;0,596999369;0,606356539;0,510644852;0,538179447;0,580242939;0,607726542;0,583312115;0,572851011;0,603542984;0,553837577;0,523701658;0,555347097;0,575113979;0,575776309;0,539482824;0,561711443;0,557984122
sub-014;0,670788388;0,604431307;0,632939765;0,586519326;0,602190794;0,636412288;0,64437187;0,655737184;0,595278555;0,517231676;0,504053445;0,551493284;0,505477477;0,512581473;0,545016275;0,524748533;0,508695921;0,555687982;0,569698959;0,542372554;0,586013571;0,57745183;0,570446284;0,582980168;0,601842705;0,609738997;0,56190554;0,572414039;0,564688585;0,598206041;0,548231324;0,576593347;0,577264433;0,56151783;0,538875148;0,587809436
sub-015;0,602937017;0,640280165;0,631924755;0,587488585;0,631789083;0,626675387;0,618164232;0,627011181;0,588887692;0,549163174;0,498383856;0,517696172;0,528532378;0,51170708;0,49974677;0,523557054;0,532083301;0,494333698;0,667159255;0,643663014;0,620994863;0,544335018;0,605106961;0,628901709;0,616986171;0,622735696;0,513123678;0,51440189;0,572134764;0,583238696;0,549476556;0,536006031;0,580741567;0,550824979;0,551067774;0,583751697
sub-016;0,635681831;0,629050894;0,610015554;0,604329797;0,61272482;0,615891694;0,607888178;0,572828645;0,613041233;0,526145327;0,513713819;0,530573063;0,496921532;0,532741013;0,532841755;0,549372666;0,54244711;0,47176919;0,652815438;0,653650416;0,619394341;0,615108472;0,617311008;0,624095589;0,616729212;0,574692494;0,58342143;0,5054965;0,500453721;0,527225391;0,472482931;0,526300665;0,503182525;0,525913923;0,499600294;0,519557514
sub-017;0,605489488;0,55188391;0,605860751;0,586760604;0,576175433;0,558485355;0,582986309;0,569103077;0,591916493;0,518137606;0,51707125;0,510734575;0,513465807;0,484328679;0,531181525;0,539076262;0,528638262;0,527808211;0,555215832;0,599265895;0,589120852;0,578099837;0,587994254;0,58025116;0,572860009;0,575622456;0,529401518;0,514738882;0,509381011;0,558739873;0,487005304;0,486413709;0,509290669;0,526257504;0,517065921;0,512550271
sub-018;0,616060519;0,666571568;0,61208314;0,607539887;0,594804784;0,596849616;0,606753275;0,626460773;0,574369511;0,583122279;0,576273178;0,529450238;0,545641257;0,553376023;0,54730654;0,557028278;0,528031379;0,565500632;0,664091745;0,693454047;0,634689005;0,607957616;0,681367092;0,604969538;0,739336595;0,57289867;0,559253519;0,556198949;0,555249417;0,539181287;0,489836475;0,60658753;0,546061087;0,549616915;0,546513762;0,558735655
sub-019;0,620128075;0,640925422;0,613912136;0,585808475;0,601969205;0,666332447;0,590779568;0,623631408;0,638466053;0,572001347;0,528409026;0,568452099;0,537368361;0,588760189;0,564842153;0,54681683;0,561144017;0,570730748;0,614721089;0,619093723;0,638760243;0,544159712;0,548887845;0,61238924;0,63290118;0,609867866;0,575851197;0,535712885;0,53505472;0,554771193;0,546206497;0,534999877;0,503188879;0,520495282;0,537034449;0,546884171
sub-020;0,644010711;0,665774635;0,633171976;0,599546456;0,662852066;0,621247743;0,645991792;0,618318922;0,599129103;0,573217583;0,585066284;0,565601504;0,564633624;0,589564371;0,552979488;0,569273513;0,570127622;0,583458647;0,673092639;0,616026214;0,661321966;0,64213337;0,60867239;0,627105663;0,61029002;0,648973053;0,579367857;0,569626272;0,566471185;0,544940011;0,570148129;0,56007589;0,595366041;0,561451247;0,543865581;0,505287167
sub-021;0,632748077;0,613724818;0,613944974;0,622876169;0,648525035;0,633253573;0,590105978;0,605723811;0,583265775;0,566460901;0,547557024;0,559691787;0,523058203;0,533646579;0,556981134;0,570448514;0,529799841;0,532093342;0,667069047;0,660007843;0,649786034;0,583400323;0,660878926;0,6081227;0,611268864;0,625057657;0,583870025;0,562972136;0,522312399;0,562396222;0,548190259;0,563916093;0,540311844;0,578452223;0,558394516;0,548182817
sub-022;0,605031971;0,616815348;0,61469416;0,588121511;0,560328236;0,620714316;0,575019695;0,628045969;0,597622074;0,546540078;0,526187962;0,524874587;0,521831347;0,529337408;0,545970289;0,495827498;0,532238178;0,510296718;0,690979777;0,650510807;0,679715801;0,654132006;0,651155704;0,63905975;0,707489135;0,64526098;0,598844407;0,515676368;0,528728057;0,508696569;0,503254564;0,48475389;0,520569232;0,506351193;0,500886054;0,525684988
sub-023;0,679149345;0,65770239;0,658535189;0,609343301;0,653182608;0,638891724;0,668122231;0,582876436;0,604284353;0,497279657;0,5004882;0,50880117;0,514128028;0,534561926;0,507663429;0,522981412;0,525929929;0,528452381;0,69530864;0,666105868;0,691487695;0,605834067;0,669797721;0,649174243;0,700750213;0,620554156;0,59612462;0,555708181;0,574154939;0,510929032;0,582902234;0,520489257;0,538525802;0,526028212;0,5397543;0,481936144
sub-024;0,617820996;0,616945851;0,601331409;0,589041167;0,582253236;0,611463414;0,622412355;0,594837866;0,607145532;0,540065491;0,524030612;0,549743704;0,536969507;0,514516052;0,540726071;0,52901465;0,494509488;0,526066953;0,682833413;0,636258976;0,62210513;0,612359134;0,64749529;0,662165165;0,664791189;0,628349464;0,588337866;0,49890931;0,473572241;0,487940917;0,476159728;0,483694769;0,483544509;0,508845609;0,449090318;0,477731365
sub-025;0,740664954;0,675328154;0,655628399;0,617479994;0,70378468;0,656714646;0,659470674;0,642808903;0,623344878;0,535498468;0,528236627;0,51351105;0,510844029;0,511688312;0,495777322;0,537204754;0,518105871;0,528023974;0,798100304;0,751036612;0,731445858;0,728251702;0,801533644;0,676248134;0,784515144;0,656230225;0,62252984;0,573490584;0,523538773;0,573801039;0,545534735;0,529338646;0,535620845;0,526471017;0,563457798;0,607726673
