a_meanSEM;a_meanSOC;l_meanSEM;l_meanSOC
0,665241322;0,622261489;0,636366996;0,632308608
0,592080702;0,588176782;0,599305368;0,597091747
0,703429099;0,655596642;0,696630243;0,647129941
0,634646966;0,62223596;0,731399384;0,671578066
0,644766543;0,588519071;0,662699005;0,657441291
0,625576985;0,627959396;0,696972855;0,63108062
0,612387683;0,621019906;0,724037747;0,68535501
0,651111739;0,62414394;0,717603517;0,636221353
0,664282551;0,613316347;0,704430513;0,646881462
0,670610772;0,626718041;0,650960883;0,659423825
0,655179247;0,620618704;0,712083511;0,694410487
0,624773674;0,61782472;0,606906117;0,601080013
0,635249808;0,618521752;0,610327422;0,590427199
0,636053153;0,645507114;0,566028361;0,59818729
0,625047312;0,623950267;0,643939044;0,622874525
0,624916093;0,598869506;0,641953398;0,605172432
0,587744716;0,57019158;0,58120086;0,576244542
0,631571742;0,610021221;0,664078266;0,639068268
0,624988544;0,626914474;0,624191685;0,618386095
0,647652441;0,628519486;0,65014694;0,628789579
0,62013929;0,609694454;0,658954308;0,614816407
0,612180493;0,60792666;0,673735462;0,663936622
0,665128975;0,629963464;0,684300734;0,656826204
0,612032752;0,609571212;0,64706584;0,651768606
0,690540502;0,652998074;0,760194258;0,705664501
0,644961298;0,604152434;0,634875716;0,624431831
0,694411653;0,682025289;0,769968953;0,721273004
0,690004103;0,630383207;0,690145984;0,652337256
0,627275712;0,606107303;0,663522985;0,645829297
0,637417767;0,645288304;0,613251065;0,61894008
