ID;a_LTL_em;a_IFG_em;a_Prec_em;a_ATL_em;a_aPFC_em;a_Ins_em;a_ACC_em;a_PCC_em;a_V1_em;a_LTL_ch;a_IFG_ch;a_Prec_ch;a_ATL_ch;a_aPFC_ch;a_Ins_ch;a_ACC_ch;a_PCC_ch;a_V1_ch;l_LTL_em;l_IFG_em;l_Prec_em;l_ATL_em;l_aPFC_em;l_Ins_em;l_ACC_em;l_PCC_em;l_V1_em;l_LTL_ch;l_IFG_ch;l_Prec_ch;l_ATL_ch;l_aPFC_ch;l_Ins_ch;l_ACC_ch;l_PCC_ch;l_V1_ch
sub-001;0,598855847;0,553800403;0,605554435;0,547871304;0,58906082;0,551606183;0,54750336;0,52358871;0,553657594;0,500284347;0,509647526;0,477016798;0,515339742;0,51092634;0,507822932;0,503880046;0,488445642;0,528194724;0,599751717;0,507334914;0,646268917;0,615292712;0,628355548;0,539788991;0,680704898;0,489066856;0,518019153;0,498254643;0,49288427;0,506151103;0,486432121;0,476979152;0,504200297;0,512142864;0,476293543;0,502230865
sub-002;0,642983871;0,626167675;0,58734543;0,609875672;0,596554099;0,613193884;0,580740927;0,584252352;0,599385081;0,516717669;0,507849233;0,549254344;0,511397856;0,521192696;0,558036521;0,515920024;0,51254995;0,559342229;0,594977412;0,539353408;0,546594982;0,604420238;0,543021642;0,550726802;0,571460573;0,564760367;0,513509309;0,575681263;0,532061631;0,522868029;0,548471746;0,560575371;0,568717545;0,527915678;0,543917329;0,553891022
sub-003;0,595554435;0,572409274;0,581617944;0,550971102;0,574872312;0,608701277;0,550596438;0,581339046;0,63374496;0,570146284;0,564881625;0,55168759;0,552571514;0,560040207;0,584532613;0,552303185;0,539371604;0,523562413;0,671291629;0,662609518;0,614228644;0,564760367;0,603662634;0,574573439;0,657356071;0,571353233;0,518644527;0,498584925;0,482754629;0,50975685;0,475443;0,504907698;0,496157634;0,509866886;0,4999813;0,516972237
sub-004;0,664872312;0,631651546;0,622093414;0,566419691;0,627138777;0,610383065;0,643481183;0,642357191;0,586965726;0,552225002;0,546294064;0,538438157;0,498416931;0,507829526;0,541408463;0,571615449;0,546355287;0,53231633;0,528466933;0,542985862;0,535426934;0,503568673;0,544361061;0,550018979;0,536332325;0,539865218;0,543737244;0,506602441;0,56905474;0,598384345;0,553542909;0,551007813;0,58745566;0,551928287;0,551017972;0,593733056
sub-005;0,546058468;0,558870968;0,562111895;0,526782594;0,531433132;0,563469422;0,560057124;0,583088038;0,52890961;0,537705913;0,563225987;0,549819759;0,531579164;0,56364222;0,540563169;0,509657656;0,531272864;0,560701463;0,618273347;0,562691346;0,571348566;0,559852275;0,560247411;0,570079152;0,644031885;0,550893257;0,536954587;0,502898089;0,556364183;0,53127197;0,493516916;0,522600742;0,539406702;0,543271599;0,553233465;0,522690218
sub-006;0,523449261;0,614361559;0,566659946;0,594919355;0,551367608;0,56500504;0,558141801;0,613101478;0,537699933;0,55500776;0,51692365;0,524241028;0,553199534;0,519045455;0,522920762;0,545547039;0,536919355;0,495532456;0,66130899;0,648134147;0,617657308;0,546428527;0,633901459;0,562910693;0,571371901;0,576645572;0,541563993;0,557501448;0,561449822;0,563301902;0,526601796;0,532811112;0,581315208;0,556227796;0,583132984;0,524424438
sub-007;0,637676411;0,564075941;0,616140793;0,542310148;0,580099126;0,60843582;0,605131048;0,61999496;0,589489247;0,572137317;0,517196635;0,510668905;0,497021153;0,539244119;0,524624593;0,528454553;0,500047023;0,502155972;0,585777268;0,562198203;0,585856606;0,55446193;0,582063919;0,519643257;0,65423076;0,581160083;0,474516814;0,532508076;0,531921025;0,533386004;0,543677262;0,528807317;0,532628015;0,53167527;0,535110611;0,533803627
sub-008;0,60139953;0,59921539;0,591935484;0,542293347;0,551236559;0,583785282;0,616659946;0,60171707;0,593850806;0,565162197;0,580611804;0,567916958;0,573754565;0,595368758;0,569774103;0,5793786;0,556978045;0,592352672;0,682974599;0,564092991;0,62060683;0,552343128;0,571749925;0,542159809;0,594660058;0,566375137;0,533381248;0,500016707;0,520023439;0,522026091;0,542756599;0,523311177;0,568221493;0,521810783;0,526252536;0,480639401
sub-009;0,596987567;0,608422379;0,597291667;0,515535954;0,576372648;0,601433132;0,589349798;0,573217406;0,51937332;0,579129953;0,555122917;0,576894573;0,559944613;0,555734663;0,579400118;0,543561778;0,517449383;0,514376778;0,659236858;0,572706653;0,632114011;0,512372125;0,571158776;0,517555568;0,609222546;0,56667849;0,513084615;0,544863905;0,533837115;0,552895737;0,537947062;0,522118329;0,524359302;0,515798332;0,533541446;0,530027996
sub-010;0,591354167;0,558652554;0,577138777;0,569786626;0,557333669;0,546925403;0,577155578;0,556313844;0,584569892;0,582637676;0,575283597;0,535836416;0,56638284;0,559197244;0,560488023;0,575106207;0,546752101;0,552091618;0,667371378;0,628469111;0,665840614;0,567633662;0,603692192;0,578391017;0,654011412;0,61831535;0,529123419;0,557611249;0,548884739;0,51225079;0,574124547;0,519120693;0,540219343;0,532489453;0,547699508;0,48715051
sub-011;0,557207661;0,562799059;0,553561828;0,551418011;0,51719254;0,563553427;0,540756048;0,585436828;0,568035954;0,544177156;0,538089224;0,548869561;0,5439533;0,519777722;0,553749646;0,535151541;0,498878134;0,521720401;0,666218638;0,61699771;0,670832711;0,630228557;0,667178477;0,606377253;0,687008413;0,627251033;0,582550839;0,571434561;0,574871771;0,54897507;0,513607962;0,548547771;0,55250784;0,557350248;0,570776087;0,564082125
sub-012;0,624966398;0,585215054;0,621466734;0,634630376;0,618029234;0,59094422;0,656528898;0,590539315;0,612315188;0,602888155;0,567652924;0,557532322;0,565024066;0,566708476;0,570694389;0,599631693;0,53748452;0,559258619;0,550088983;0,510466448;0,580609381;0,528356481;0,525000933;0,54626985;0,552648036;0,51982838;0,460727487;0,566967605;0,522672033;0,525803696;0,57000723;0,539060233;0,558772683;0,544762025;0,47590549;0,510352091
