ID;LTL_voxel;IFG_voxel;Prec_voxel;ATL_voxel;aPFC_voxel;Ins_voxel;ACC_voxel;PCC_voxel;V1_voxel;LTL_accuracy;IFG_accuracy;Prec_accuracy;ATL_accuracy;aPFC_accuracy;Ins_accuracy;ACC_accuracy;PCC_accuracy;V1_accuracy
sub-001;5080;3788;6613;1469;3443;5401;3313;2339;3498;0,694594604;0,666926821;0,634202541;0,638010563;0,627926011;0,648708622;0,61360886;0,604466986;0,639935854
sub-002;5010;3557;6342;1462;3175;5348;3319;2217;2925;0,602968702;0,586637199;0,586636204;0,553127713;0,561159025;0,588311231;0,591869526;0,584349588;0,553132715
sub-003;3443;2679;4795;942;2361;3976;2227;1858;2690;0,731378973;0,681395284;0,697513039;0,590202471;0,667982514;0,630819741;0,681075039;0,654895146;0,635991192
sub-004;3899;2638;4768;1104;2288;4202;2561;1976;2774;0,660748852;0,623380359;0,619811688;0,58176908;0,62179197;0,653171282;0,58796217;0,625574429;0,650104601
sub-005;4802;3478;5611;1430;3309;5161;2863;2136;2914;0,669699608;0,617989623;0,646610399;0,574812318;0,632874574;0,604009328;0,590302317;0,571245567;0,582147196
sub-006;5390;3552;6682;1525;3346;4837;3117;2477;2974;0,604870997;0,619307697;0,65255226;0,592436693;0,573196017;0,642445069;0,615679453;0,625753665;0,585690674
sub-007;4762;2517;4847;1178;2400;4373;3028;2014;2625;0,642829807;0,588359872;0,605973369;0,578342999;0,614573217;0,612311045;0,650300076;0,600448598;0,603748053
sub-008;4532;2995;6529;1518;3158;5193;3038;2179;2664;0,689236802;0,610914407;0,653184009;0,582789004;0,63624258;0,627760994;0,628308996;0,61636183;0,576753369
sub-009;4912;3264;5914;1524;2918;4928;2796;2085;2620;0,703396352;0,633775148;0,655676153;0,629170877;0,615222486;0,637516042;0,626801769;0,575631231;0,581497216
sub-010;4885;3986;6664;1631;3516;5572;3682;2846;3551;0,659106822;0,683234428;0,669491066;0,593597249;0,691157985;0,626703689;0,617547545;0,635902889;0,578927123
sub-011;4320;3812;5686;1304;2874;4869;3154;1899;2673;0,677903584;0,657298904;0,630335253;0,556100384;0,597440298;0,643482909;0,644976085;0,573397117;0,602049785
sub-012;5338;3396;7284;1607;3247;5782;2820;2281;2828;0,637325371;0,620799382;0,616196268;0,567759037;0,597893471;0,638062758;0,610390963;0,60502044;0,558833588
sub-013;6349;3465;6858;1847;3522;4715;2836;2524;3351;0,648394935;0,634607876;0,622746613;0,58578933;0,572949729;0,638438506;0,596579761;0,620546989;0,569467921
sub-014;3775;2683;5596;848;1813;4286;2342;1990;2788;0,670788388;0,604431307;0,632939765;0,586519326;0,602190794;0,636412288;0,64437187;0,655737184;0,595278555
sub-015;3492;3597;4886;1058;2850;4929;2444;1862;2497;0,602937017;0,640280165;0,631924755;0,587488585;0,631789083;0,626675387;0,618164232;0,627011181;0,588887692
sub-016;4453;2985;5434;1360;2537;4055;2589;2021;2546;0,635681831;0,629050894;0,610015554;0,604329797;0,61272482;0,615891694;0,607888178;0,572828645;0,613041233
sub-017;4323;3172;4992;1352;2408;4257;2423;1904;2837;0,605489488;0,55188391;0,605860751;0,586760604;0,576175433;0,558485355;0,582986309;0,569103077;0,591916493
sub-018;5254;3242;5814;1701;3477;4435;2736;1983;2837;0,616060519;0,666571568;0,61208314;0,607539887;0,594804784;0,596849616;0,606753275;0,626460773;0,574369511
sub-019;4953;3298;6381;1426;3059;5014;2962;1909;3137;0,620128075;0,640925422;0,613912136;0,585808475;0,601969205;0,666332447;0,590779568;0,623631408;0,638466053
sub-020;4356;2676;5133;1294;2758;4400;2617;1855;3414;0,644010711;0,665774635;0,633171976;0,599546456;0,662852066;0,621247743;0,645991792;0,618318922;0,599129103
sub-021;4184;3054;5043;1340;2649;4319;2147;1833;2571;0,632748077;0,613724818;0,613944974;0,622876169;0,648525035;0,633253573;0,590105978;0,605723811;0,583265775
sub-022;4503;3495;5929;1080;2247;4087;2975;2398;3247;0,605031971;0,616815348;0,61469416;0,588121511;0,560328236;0,620714316;0,575019695;0,628045969;0,597622074
sub-023;5177;3021;6013;1578;2920;4507;2748;1958;2822;0,679149345;0,65770239;0,658535189;0,609343301;0,653182608;0,638891724;0,668122231;0,582876436;0,604284353
sub-024;4372;2914;6036;1477;2714;4922;2476;2148;2602;0,617820996;0,616945851;0,601331409;0,589041167;0,582253236;0,611463414;0,622412355;0,594837866;0,607145532
sub-025;4655;3551;6280;1277;3140;4704;3093;2309;2646;0,740664954;0,675328154;0,655628399;0,617479994;0,70378468;0,656714646;0,659470674;0,642808903;0,623344878
sub-026;5591;3160;7107;1374;2920;5266;2796;2339;3083;0,632836623;0,675592269;0,626455001;0,601313723;0,612307109;0,59310919;0,603223752;0,616124359;0,575290331
sub-027;4505;3822;6308;966;2580;4679;2599;2070;3044;0,698490846;0,684079742;0,70066437;0,586546323;0,664704283;0,653169011;0,720935643;0,671971212;0,595040316
sub-028;6314;3572;6074;1931;4086;5258;3127;2460;2821;0,688940098;0,705668654;0,675403557;0,636623025;0,639546329;0,66284751;0,617395057;0,610907055;0,605214828
sub-029;5321;3327;5848;1553;3831;4581;2720;1856;2771;0,633414431;0,639296752;0,609115953;0,537115127;0,643474207;0,632931894;0,59983895;0,585551066;0,624424726
sub-030;5579;3913;6252;1853;4002;5143;3480;2332;3069;0,648583136;0,61570556;0,647964606;0,644505533;0,636395862;0,625295527;0,675199654;0,635369732;0,610143926
