ID;LTL;IFG;Prec;ATL;aPFC;Ins;ACC;PCC;V1
sub-001;5080;3788;6613;1469;3443;5401;3313;2339;3498
sub-002;5010;3557;6342;1462;3175;5348;3319;2217;2925
sub-003;3443;2679;4795;942;2361;3976;2227;1858;2690
sub-004;3899;2638;4768;1104;2288;4202;2561;1976;2774
sub-005;4802;3478;5611;1430;3309;5161;2863;2136;2914
sub-006;5390;3552;6682;1525;3346;4837;3117;2477;2974
sub-007;4762;2517;4847;1178;2400;4373;3028;2014;2625
sub-008;4532;2995;6529;1518;3158;5193;3038;2179;2664
sub-009;4912;3264;5914;1524;2918;4928;2796;2085;2620
sub-010;4885;3986;6664;1631;3516;5572;3682;2846;3551
sub-011;4320;3812;5686;1304;2874;4869;3154;1899;2673
sub-012;5338;3396;7284;1607;3247;5782;2820;2281;2828
sub-013;6349;3465;6858;1847;3522;4715;2836;2524;3351
sub-014;3775;2683;5596;848;1813;4286;2342;1990;2788
sub-015;3492;3597;4886;1058;2850;4929;2444;1862;2497
sub-016;4453;2985;5434;1360;2537;4055;2589;2021;2546
sub-017;4323;3172;4992;1352;2408;4257;2423;1904;2837
sub-018;5254;3242;5814;1701;3477;4435;2736;1983;2837
sub-019;4953;3298;6381;1426;3059;5014;2962;1909;3137
sub-020;4356;2676;5133;1294;2758;4400;2617;1855;3414
sub-021;4184;3054;5043;1340;2649;4319;2147;1833;2571
sub-022;4503;3495;5929;1080;2247;4087;2975;2398;3247
sub-023;5177;3021;6013;1578;2920;4507;2748;1958;2822
sub-024;4372;2914;6036;1477;2714;4922;2476;2148;2602
sub-025;4655;3551;6280;1277;3140;4704;3093;2309;2646
sub-026;5591;3160;7107;1374;2920;5266;2796;2339;3083
sub-027;4505;3822;6308;966;2580;4679;2599;2070;3044
sub-028;6314;3572;6074;1931;4086;5258;3127;2460;2821
sub-029;5321;3327;5848;1553;3831;4581;2720;1856;2771
sub-030;5579;3913;6252;1853;4002;5143;3480;2332;3069
