class;accuracy;roi
affective;0,586070228;SEM
affective;0,618832325;SEM
affective;0,583193884;SEM
affective;0,639539091;SEM
affective;0,555680444;SEM
affective;0,568156922;SEM
affective;0,605964382;SEM
affective;0,597516801;SEM
affective;0,600900538;SEM
affective;0,575715166;SEM
affective;0,557856183;SEM
affective;0,610549395;SEM
affective;0,638630712;SEM
affective;0,636260641;SEM
affective;0,616476255;SEM
affective;0,646434252;SEM
affective;0,570743167;SEM
affective;0,586891801;SEM
affective;0,583456541;SEM
affective;0,617540323;SEM
affective;0,575835573;SEM
affective;0,601456093;SEM
affective;0,610196573;SEM
affective;0,550733647;SEM
affective;0,629952957;SEM
affective;0,622455197;SEM
affective;0,61358927;SEM
affective;0,587138217;SEM
affective;0,592150538;SEM
affective;0,590322581;SEM
affective;0,540899418;SOC
affective;0,592729054;SOC
affective;0,580212254;SOC
affective;0,632073813;SOC
affective;0,568871528;SOC
affective;0,57874944;SOC
affective;0,611187276;SOC
affective;0,600720766;SOC
affective;0,588000112;SOC
affective;0,560131608;SOC
affective;0,563248768;SOC
affective;0,612670811;SOC
affective;0,59796875;SOC
affective;0,611272402;SOC
affective;0,593897289;SOC
affective;0,656475695;SOC
affective;0,580243616;SOC
affective;0,575351703;SOC
affective;0,590731967;SOC
affective;0,593018593;SOC
affective;0,593237007;SOC
affective;0,597893705;SOC
affective;0,595583557;SOC
affective;0,571078069;SOC
affective;0,58452789;SOC
affective;0,605742607;SOC
affective;0,584040099;SOC
affective;0,587119176;SOC
affective;0,590835573;SOC
affective;0,582427756;SOC
likableness;0,584451849;SEM
likableness;0,5603086;SEM
likableness;0,649376597;SEM
likableness;0,535626576;SEM
likableness;0,58410442;SEM
likableness;0,642366815;SEM
likableness;0,577944025;SEM
likableness;0,62255814;SEM
likableness;0,621352507;SEM
likableness;0,653893701;SEM
likableness;0,651349686;SEM
likableness;0,547054937;SEM
likableness;0,509561056;SEM
likableness;0,579300557;SEM
likableness;0,501948199;SEM
likableness;0,593936679;SEM
likableness;0,522492699;SEM
likableness;0,543997557;SEM
likableness;0,571661253;SEM
likableness;0,576552233;SEM
likableness;0,666476877;SEM
likableness;0,580838063;SEM
likableness;0,589346977;SEM
likableness;0,613678461;SEM
likableness;0,608994902;SEM
likableness;0,588505887;SEM
likableness;0,603587963;SEM
likableness;0,543806211;SEM
likableness;0,695288647;SEM
likableness;0,622234564;SEM
likableness;0,569853582;SOC
likableness;0,562315914;SOC
likableness;0,601094248;SOC
likableness;0,542072174;SOC
likableness;0,588334765;SOC
likableness;0,570309389;SOC
likableness;0,585011367;SOC
likableness;0,567731668;SOC
likableness;0,564485534;SOC
likableness;0,616905926;SOC
likableness;0,640212233;SOC
likableness;0,539582089;SOC
likableness;0,503897953;SOC
likableness;0,567301789;SOC
likableness;0,517402595;SOC
likableness;0,583856552;SOC
likableness;0,524695506;SOC
likableness;0,549522206;SOC
likableness;0,5363484;SOC
likableness;0,564278114;SOC
likableness;0,635889586;SOC
likableness;0,586118993;SOC
likableness;0,567440242;SOC
likableness;0,611910199;SOC
likableness;0,598384815;SOC
likableness;0,568565499;SOC
likableness;0,588034523;SOC
likableness;0,548274053;SOC
likableness;0,653046388;SOC
likableness;0,576963963;SOC
