ID;LTL_1;IFG_1;Prec_1;ATL_1;aPFC_1;Ins_1;ACC_1;PCC_1;V1_1;LTL_2;IFG_2;Prec_2;ATL_2;aPFC_2;Ins_2;ACC_2;PCC_2;V1_2
sub-001;0,694594604;0,666926821;0,634202541;0,638010563;0,627926011;0,648708622;0,61360886;0,604466986;0,639935854;0,603767048;0,614125308;0,633916429;0,574545375;0,618651765;0,601318947;0,586196718;0,57218968;0,565017801
sub-002;0,602968702;0,586637199;0,586636204;0,553127713;0,561159025;0,588311231;0,591869526;0,584349588;0,553132715;0,484546482;0,488650957;0,508259694;0,476048708;0,5286836;0,519350776;0,541099406;0,485581378;0,506146345
sub-003;0,731378973;0,681395284;0,697513039;0,590202471;0,667982514;0,630819741;0,681075039;0,654895146;0,635991192;0,534038379;0,532987772;0,538404724;0,541926787;0,569934305;0,541581859;0,518483709;0,556275158;0,562428799
sub-004;0,660748852;0,623380359;0,619811688;0,58176908;0,62179197;0,653171282;0,58796217;0,625574429;0,650104601;0,539838009;0,541206031;0,546874093;0,545073319;0,545166876;0,534191316;0,508907518;0,536052848;0,565016969
sub-005;0,669699608;0,617989623;0,646610399;0,574812318;0,632874574;0,604009328;0,590302317;0,571245567;0,582147196;0,531052079;0,510280849;0,531757027;0,483999767;0,53101685;0,534690249;0,551495129;0,533802644;0,537716196
sub-006;0,604870997;0,619307697;0,65255226;0,592436693;0,573196017;0,642445069;0,615679453;0,625753665;0,585690674;0,52475243;0,503369705;0,550582248;0,542854086;0,509555393;0,552122685;0,543747071;0,531256495;0,532179025
sub-007;0,642829807;0,588359872;0,605973369;0,578342999;0,614573217;0,612311045;0,650300076;0,600448598;0,603748053;0,477767335;0,51854266;0,534886949;0,498027832;0,486635776;0,531236357;0,513664706;0,521552537;0,520739685
sub-008;0,689236802;0,610914407;0,653184009;0,582789004;0,63624258;0,627760994;0,628308996;0,61636183;0,576753369;0,515070709;0,486814463;0,494080706;0,487289106;0,524175719;0,516826966;0,51585213;0,508849022;0,524189373
sub-009;0,703396352;0,633775148;0,655676153;0,629170877;0,615222486;0,637516042;0,626801769;0,575631231;0,581497216;0,546296832;0,545770409;0,555876336;0,561447958;0,554885611;0,585842277;0,560379046;0,546275411;0,523071032
sub-010;0,659106822;0,683234428;0,669491066;0,593597249;0,691157985;0,626703689;0,617547545;0,635902889;0,578927123;0,561609637;0,564778397;0,584112571;0,56932842;0,55100757;0,561305943;0,550312354;0,563931649;0,556194617
