ID;LTL;IFG;Prec;ATL;aPFC;Ins;ACC;PCC;V1;LTL_2;IFG_2;Prec_2;ATL_2;aPFC_2;Ins_2;ACC_2;PCC_2;V1_2
sub-001;0,660678625;0,632921288;0,615501075;0,662952816;0,61232425;0,621607987;0,643237971;0,632079867;0,569572646;0,5701415;0,546505587;0,509635417;0,522290753;0,536791849;0,565983318;0,53048833;0,531046366;0,532525976
sub-002;0,59324414;0,609200641;0,595471322;0,550524082;0,607024944;0,600318483;0,598944408;0,59201235;0,590948244;0,501699285;0,551543688;0,534710858;0,494996069;0,517508477;0,551934094;0,528980232;0,556409744;0,537856344
sub-003;0,713081018;0,621865057;0,754944653;0,667844367;0,72609127;0,635600082;0,736715348;0,569074393;0,605410468;0,554018338;0,56854739;0,552313259;0,551892394;0,560772233;0,55767593;0,572663972;0,563000885;0,551516782
sub-004;0,785736949;0,728737513;0,679723689;0,619037954;0,675647008;0,650221187;0,722433077;0,642079934;0,575515251;0,46419643;0,471937223;0,440822538;0,473007967;0,461050297;0,448485611;0,463513456;0,440265546;0,453863265
sub-005;0,70517295;0,642884694;0,640039371;0,632062203;0,627304409;0,629968316;0,708815145;0,633540411;0,610698955;0,55778921;0,574403113;0,591742514;0,524076639;0,539691334;0,572587719;0,55621455;0,563767973;0,54229818
sub-006;0,730380361;0,657246507;0,703291696;0,57589319;0,638915773;0,594928811;0,662686748;0,6356263;0,593175759;0,577568787;0,519505165;0,550919314;0,529857604;0,509015756;0,512432001;0,543034763;0,5616682;0,535178197
sub-007;0,747631268;0,69615817;0,728323802;0,632383707;0,667130259;0,644520988;0,716620785;0,694923257;0,587762625;0,57670059;0,572965241;0,560867446;0,551354396;0,53542442;0,566231868;0,564501532;0,569384952;0,53838194
sub-008;0,739828294;0,725058102;0,687924154;0,603915929;0,704194551;0,648690432;0,63411232;0,625861307;0,581287883;0,569488212;0,582202366;0,553726074;0,532344572;0,553128302;0,564680083;0,565819266;0,563224544;0,556006361
sub-009;0,776874922;0,643757554;0,692659063;0,630220498;0,650646563;0,636044677;0,671928603;0,632671106;0,579525831;0,532164789;0,529185232;0,537061506;0,493720714;0,537968071;0,537151788;0,538969126;0,546301785;0,551021646
sub-010;0,681427638;0,627344403;0,644110609;0,621290816;0,672572166;0,608795037;0,719746063;0,649730376;0,533786372;0,526847443;0,510258865;0,518667618;0,497419475;0,506791632;0,547119187;0,536511649;0,522752947;0,525384642
sub-011;0,724885463;0,685896146;0,725468925;0,68352097;0,727928643;0,660983687;0,74748718;0,674760594;0,628936259;0,571497496;0,510183723;0,516301182;0,564941139;0,551145596;0,54266822;0,535465891;0,49343577;0,527770858
sub-012;0,598236949;0,581300214;0,641181189;0,60560888;0,583801481;0,609729777;0,612542771;0,58096749;0,527022343;0,527290653;0,477592265;0,47415045;0,483477689;0,488666519;0,505328886;0,501882156;0,514655511;0,497089538
sub-013;0,627626358;0,596999369;0,606356539;0,510644852;0,538179447;0,580242939;0,607726542;0,583312115;0,572851011;0,603542984;0,553837577;0,523701658;0,555347097;0,575113979;0,575776309;0,539482824;0,561711443;0,557984122
sub-014;0,569698959;0,542372554;0,586013571;0,57745183;0,570446284;0,582980168;0,601842705;0,609738997;0,56190554;0,572414039;0,564688585;0,598206041;0,548231324;0,576593347;0,577264433;0,56151783;0,538875148;0,587809436
sub-015;0,667159255;0,643663014;0,620994863;0,544335018;0,605106961;0,628901709;0,616986171;0,622735696;0,513123678;0,51440189;0,572134764;0,583238696;0,549476556;0,536006031;0,580741567;0,550824979;0,551067774;0,583751697
sub-016;0,652815438;0,653650416;0,619394341;0,615108472;0,617311008;0,624095589;0,616729212;0,574692494;0,58342143;0,5054965;0,500453721;0,527225391;0,472482931;0,526300665;0,503182525;0,525913923;0,499600294;0,519557514
sub-017;0,555215832;0,599265895;0,589120852;0,578099837;0,587994254;0,58025116;0,572860009;0,575622456;0,529401518;0,514738882;0,509381011;0,558739873;0,487005304;0,486413709;0,509290669;0,526257504;0,517065921;0,512550271
sub-018;0,664091745;0,693454047;0,634689005;0,607957616;0,681367092;0,604969538;0,739336595;0,57289867;0,559253519;0,556198949;0,555249417;0,539181287;0,489836475;0,60658753;0,546061087;0,549616915;0,546513762;0,558735655
sub-019;0,614721089;0,619093723;0,638760243;0,544159712;0,548887845;0,61238924;0,63290118;0,609867866;0,575851197;0,535712885;0,53505472;0,554771193;0,546206497;0,534999877;0,503188879;0,520495282;0,537034449;0,546884171
sub-020;0,673092639;0,616026214;0,661321966;0,64213337;0,60867239;0,627105663;0,61029002;0,648973053;0,579367857;0,569626272;0,566471185;0,544940011;0,570148129;0,56007589;0,595366041;0,561451247;0,543865581;0,505287167
sub-021;0,667069047;0,660007843;0,649786034;0,583400323;0,660878926;0,6081227;0,611268864;0,625057657;0,583870025;0,562972136;0,522312399;0,562396222;0,548190259;0,563916093;0,540311844;0,578452223;0,558394516;0,548182817
sub-022;0,690979777;0,650510807;0,679715801;0,654132006;0,651155704;0,63905975;0,707489135;0,64526098;0,598844407;0,515676368;0,528728057;0,508696569;0,503254564;0,48475389;0,520569232;0,506351193;0,500886054;0,525684988
sub-023;0,69530864;0,666105868;0,691487695;0,605834067;0,669797721;0,649174243;0,700750213;0,620554156;0,59612462;0,555708181;0,574154939;0,510929032;0,582902234;0,520489257;0,538525802;0,526028212;0,5397543;0,481936144
sub-024;0,682833413;0,636258976;0,62210513;0,612359134;0,64749529;0,662165165;0,664791189;0,628349464;0,588337866;0,49890931;0,473572241;0,487940917;0,476159728;0,483694769;0,483544509;0,508845609;0,449090318;0,477731365
