,LTL,IFG,Prec,ATL,aPFC,Ins,ACC,PCC,V1
sub-001,0.6037670484350411,0.614125308426104,0.6339164286685706,0.5745453750655709,0.6186517650715937,0.6013189465912844,0.5861967175691165,0.5721896796254202,0.5650178012861612
sub-002,0.4845464820697019,0.488650957459007,0.5082596940956075,0.47604870762765505,0.5286835999684297,0.5193507759297232,0.5410994062696849,0.48558137768664084,0.5061463447686358
sub-003,0.5340383787752209,0.5329877724614567,0.5384047239310397,0.5419267866636287,0.5699343054606212,0.541581858687122,0.5184837092731829,0.5562751575909473,0.5624287992709046
sub-004,0.5398380085686588,0.541206030524916,0.5468740925397272,0.5450733190671271,0.5451668758944301,0.5341913160798609,0.5089075183502428,0.5360528475079558,0.5650169690417369
sub-005,0.5310520787262274,0.5102808491817779,0.5317570273723525,0.48399976657329596,0.5310168497223451,0.5346902489065801,0.5514951287532557,0.5338026438645633,0.5377161961275739
sub-006,0.5247524298551257,0.5033697047496791,0.5505822483036861,0.5428540864356012,0.5095553925464067,0.5521226847606822,0.5437470709293559,0.5312564948957761,0.5321790247977668
sub-007,0.47776733500417706,0.518542660414477,0.5348869485541812,0.4980278316759641,0.48663577626862853,0.5312363570215862,0.513664706120139,0.5215525372571213,0.5207396852345919
sub-008,0.5150707093044555,0.48681446262715616,0.4940807064452576,0.48728910623260463,0.524175718931911,0.5168269660336224,0.5158521303258146,0.5088490220649663,0.5241893727187845
sub-009,0.5462968318231477,0.5457704089283036,0.5558763361394939,0.5614479575005892,0.554885611464559,0.5858422766317504,0.5603790459053617,0.5462754107490949,0.5230710322815586
sub-010,0.5616096374364894,0.5647783974522629,0.5841125710018711,0.5693284202855297,0.5510075703366499,0.5613059430019334,0.5503123542955907,0.563931648825555,0.5561946173420159
sub-011,0.531311612364244,0.5321945488721804,0.5324133249791145,0.5191677109440267,0.5123214285714285,0.5256887009189641,0.5389259607351713,0.5435401002506266,0.5145426065162908
sub-012,0.586904577620522,0.579311053368716,0.5961449886972333,0.5597078173374612,0.5738043945648436,0.56546845053811,0.5414789424541746,0.5213052238439235,0.5357885522630104
sub-013,0.4767755262139088,0.4537712421297145,0.4913611518633983,0.4819836685208958,0.48656129653401803,0.453571046518736,0.469025459991442,0.45399321474417753,0.4596687348452433
sub-014,0.5172316756804292,0.5040534450160489,0.5514932842943272,0.5054774772328138,0.5125814730324263,0.5450162752081443,0.5247485328388051,0.5086959206581988,0.5556879815638167
sub-015,0.5491631740415465,0.49838385646656325,0.5176961720360659,0.5285323778634261,0.5117070804930158,0.4997467700530505,0.5235570544007077,0.53208330115672,0.49433369839163743
sub-016,0.5261453265516733,0.5137138188608777,0.5305730625583567,0.49692153177060294,0.5327410130718954,0.532841755123102,0.5493726657329598,0.5424471104231166,0.47176919013219326
sub-017,0.5181376059195608,0.5170712495524525,0.510734574531567,0.5134658073755818,0.4843286788399571,0.5311815252416756,0.539076262083781,0.5286382623224728,0.5278082110036998
sub-018,0.5831222793826671,0.5762731777845025,0.5294502380823057,0.5456412574263315,0.5533760226158793,0.5473065403446697,0.5570282776083655,0.5280313787564888,0.5655006323859184
sub-019,0.5720013467691486,0.5284090260096452,0.5684520987152566,0.5373683612847701,0.5887601887601889,0.5648421530774471,0.5468168300985639,0.5611440166393726,0.5707307484397267
sub-020,0.573217583432265,0.5850662841313813,0.5656015037593987,0.5646336235325154,0.5895643714549531,0.5529794881941696,0.5692735127291915,0.5701276216857935,0.5834586466165416
sub-021,0.5664609012132232,0.5475570238728135,0.5596917874007658,0.5230582025473666,0.5336465793122139,0.5569811337613196,0.5704485143339632,0.5297998412549496,0.5320933423874601
sub-022,0.5465400776793786,0.526187961924876,0.524874586717592,0.5218313467777972,0.5293374081578776,0.5459702893805422,0.49582749766573303,0.5322381778088633,0.5102967176262589
sub-023,0.49727965747702596,0.5004881996658312,0.5088011695906433,0.5141280284043442,0.534561925647452,0.5076634294068505,0.5229814118629907,0.5259299289891395,0.528452380952381
sub-024,0.5400654911087243,0.5240306122448981,0.5497437044993436,0.536969507101086,0.5145160520348491,0.5407260711302064,0.5290146497195369,0.4945094880057285,0.5260669530970283
sub-025,0.5354984683932053,0.5282366269208375,0.5135110503531556,0.5108440292650818,0.5116883116883117,0.49577732209311154,0.5372047543100175,0.5181058707374496,0.5280239740766057
sub-026,0.4930895787856738,0.4911802355350743,0.4528094429622443,0.5060500714150968,0.5073341957043145,0.4911593499878729,0.4838925270164659,0.482937181663837,0.505666720564853
sub-027,0.5729205571117337,0.5298543198955995,0.5184593632774747,0.505500761708192,0.5438213248262268,0.5411904284130806,0.5257476206857012,0.487931730196952,0.5100882653256233
sub-028,0.5707944862155387,0.5392155388471178,0.5412130325814536,0.500531328320802,0.5387593984962405,0.49488721804511276,0.5298020050125314,0.5026040100250626,0.4791854636591479
sub-029,0.5593146556868362,0.5488090762620838,0.5739775032820145,0.5531480486931617,0.5906182121971597,0.5846012352309345,0.5486894319131163,0.5422669769662251,0.56343686597446
sub-030,0.5955687830687831,0.5765942634363688,0.5592009537733221,0.5769219054580897,0.5644480123920913,0.5715508389028127,0.5997937552213868,0.5385534147869674,0.5416470864661654
