id;semantic;social;intersection
sub-001;0,665241322;0,632968287;0,622261489
sub-002;0,592080702;0,557143369;0,588176781
sub-003;0,703429099;0,629092492;0,655596642
sub-004;0,634646966;0,601780525;0,62223596
sub-005;0,644766543;0,603843446;0,588519071
sub-006;0,625576985;0,582816355;0,627959396
sub-007;0,612387683;0,596458108;0,621019906
sub-008;0,651111739;0,609515792;0,62414394
sub-009;0,664282551;0,622196682;0,613316347
sub-010;0,670610772;0,642377617;0,626718041
sub-011;0,655179247;0,576770341;0,620618704
sub-012;0,624773674;0,582826254;0,61782472
sub-013;0,635249808;0,57936953;0,618521752
sub-014;0,636053153;0,59435506;0,645507114
sub-015;0,625047312;0,609638834;0,623950267
sub-016;0,624916093;0,608527308;0,598869506
sub-017;0,587744716;0,581468018;0,570191581
sub-018;0,631571742;0,601172336;0,610021221
sub-019;0,624988544;0,59388884;0,626914474
sub-020;0,647652441;0,631199261;0,628519486
sub-021;0,62013929;0,635700602;0,609694454
sub-022;0,612180493;0,574224874;0,60792666
sub-023;0,665128975;0,631262954;0,629963464
sub-024;0,612032752;0,585647201;0,609571212
sub-025;0,690540502;0,660632337;0,652998074
sub-026;0,644961298;0,606810416;0,604152434
sub-027;0,694411653;0,625625303;0,682025288
sub-028;0,690004103;0,638084677;0,630383207
sub-029;0,627275712;0,590294667;0,606107303
sub-030;0,637417767;0,640450698;0,645288304
