id;semantic;social;interaction
sub-001;0,636366996;0,632308608;0,637638533
sub-002;0,599305367;0,597091747;0,578774513
sub-003;0,696630243;0,647129941;0,696967818
sub-004;0,731399384;0,671578066;0,647342481
sub-005;0,662699005;0,657441291;0,629683306
sub-006;0,696972855;0,63108062;0,607404482
sub-007;0,724037747;0,68535501;0,649756983
sub-008;0,717603517;0,636221353;0,65405524
sub-009;0,704430513;0,646881462;0,640433531
sub-010;0,650960883;0,659423826;0,646931491
sub-011;0,712083511;0,694410487;0,705724806
sub-012;0,606906117;0,601080012;0,594705181
sub-013;0,610327422;0,590427198;0,52441215
sub-014;0,566028361;0,59818729;0,573949057
sub-015;0,643939044;0,622874525;0,574720989
sub-016;0,641953399;0,605172432;0,61620974
sub-017;0,58120086;0,576244542;0,583047046
sub-018;0,664078266;0,639068268;0,644662354
sub-019;0,624191685;0,618386095;0,546523778
sub-020;0,650146939;0,628789579;0,62540288
sub-021;0,658954308;0,614816407;0,622139624
sub-022;0,673735462;0,663936622;0,652643855
sub-023;0,684300734;0,656826204;0,637815894
sub-024;0,64706584;0,651768606;0,629927212
sub-025;0,760194258;0,705664501;0,764892673
sub-026;0,634875716;0,624431832;0,591333664
sub-027;0,769968953;0,721273004;0,706394644
sub-028;0,690145984;0,652337256;0,623575228
sub-029;0,663522984;0,645829297;0,599519355
sub-030;0,613251065;0,618940081;0,593567029
