roi;accuracy;class
LTL;0,694594604;affect
LTL;0,648583136;affect
LTL;0,731378973;affect
LTL;0,660748852;affect
LTL;0,669699608;affect
LTL;0,604870997;affect
LTL;0,642829807;affect
LTL;0,689236802;affect
LTL;0,703396352;affect
LTL;0,659106822;affect
LTL;0,677903584;affect
LTL;0,637325371;affect
LTL;0,648394935;affect
LTL;0,670788388;affect
LTL;0,602968702;affect
LTL;0,602937017;affect
LTL;0,605489488;affect
LTL;0,616060519;affect
LTL;0,620128075;affect
LTL;0,644010711;affect
LTL;0,632748077;affect
LTL;0,605031971;affect
LTL;0,679149345;affect
LTL;0,617820996;affect
LTL;0,740664954;affect
LTL;0,632836623;affect
LTL;0,698490846;affect
LTL;0,688940098;affect
LTL;0,635681831;affect
LTL;0,633414431;affect
IFG;0,61570556;affect
IFG;0,705668654;affect
IFG;0,675592269;affect
IFG;0,675328154;affect
IFG;0,616945851;affect
IFG;0,65770239;affect
IFG;0,616815348;affect
IFG;0,613724818;affect
IFG;0,665774635;affect
IFG;0,640925422;affect
IFG;0,666571568;affect
IFG;0,55188391;affect
IFG;0,629050894;affect
IFG;0,640280165;affect
IFG;0,684079742;affect
IFG;0,604431307;affect
IFG;0,620799382;affect
IFG;0,657298904;affect
IFG;0,683234428;affect
IFG;0,633775148;affect
IFG;0,610914407;affect
IFG;0,588359872;affect
IFG;0,619307697;affect
IFG;0,617989623;affect
IFG;0,623380359;affect
IFG;0,681395284;affect
IFG;0,586637199;affect
IFG;0,666926821;affect
IFG;0,634607876;affect
IFG;0,639296752;affect
Prec;0,586636204;affect
Prec;0,647964606;affect
Prec;0,634202541;affect
Prec;0,609115953;affect
Prec;0,675403557;affect
Prec;0,70066437;affect
Prec;0,626455001;affect
Prec;0,655628399;affect
Prec;0,601331409;affect
Prec;0,658535189;affect
Prec;0,613944974;affect
Prec;0,633171976;affect
Prec;0,613912136;affect
Prec;0,61208314;affect
Prec;0,605860751;affect
Prec;0,61469416;affect
Prec;0,631924755;affect
Prec;0,610015554;affect
Prec;0,619811688;affect
Prec;0,646610399;affect
Prec;0,65255226;affect
Prec;0,605973369;affect
Prec;0,653184009;affect
Prec;0,697513039;affect
