;ROI;Classification accuracy;Class
0;LTL;0.598855847;affect
1;LTL;0.642983871;affect
2;LTL;0.595554435;affect
3;LTL;0.664872312;affect
4;LTL;0.546058468;affect
5;LTL;0.523449261;affect
6;LTL;0.637676411;affect
7;LTL;0.60139953;affect
8;LTL;0.596987567;affect
9;LTL;0.591354167;affect
10;LTL;0.557207661;affect
11;LTL;0.624966398;affect
12;LTL;0.631656586;affect
13;LTL;0.680877016;affect
14;LTL;0.586999328;affect
15;LTL;0.6496875;affect
16;LTL;0.561424731;affect
17;LTL;0.599638777;affect
18;LTL;0.597508401;affect
19;LTL;0.645322581;affect
20;LTL;0.545752688;affect
21;LTL;0.602757056;affect
22;LTL;0.629447245;affect
23;LTL;0.554109543;affect
24;LTL;0.622145497;affect
25;LTL;0.634831989;affect
26;LTL;0.656448253;affect
27;LTL;0.57546203;affect
28;LTL;0.583091398;affect
29;LTL;0.580824933;affect
30;IFG;0.553800403;affect
31;IFG;0.626167675;affect
32;IFG;0.572409274;affect
33;IFG;0.631651546;affect
34;IFG;0.558870968;affect
35;IFG;0.614361559;affect
36;IFG;0.564075941;affect
37;IFG;0.59921539;affect
38;IFG;0.608422379;affect
39;IFG;0.558652554;affect
40;IFG;0.562799059;affect
41;IFG;0.585215054;affect
42;IFG;0.663765121;affect
43;IFG;0.611478495;affect
44;IFG;0.650793011;affect
45;IFG;0.634438844;affect
46;IFG;0.571801075;affect
47;IFG;0.581207997;affect
48;IFG;0.584983199;affect
49;IFG;0.606972446;affect
50;IFG;0.566797715;affect
51;IFG;0.631454973;affect
52;IFG;0.611784274;affect
53;IFG;0.545374664;affect
54;IFG;0.661747312;affect
55;IFG;0.606223118;affect
56;IFG;0.56922379;affect
57;IFG;0.603244288;affect
58;IFG;0.61562836;affect
59;IFG;0.593870968;affect
60;Prec;0.605554435;affect
61;Prec;0.58734543;affect
62;Prec;0.581617944;affect
63;Prec;0.622093414;affect
64;Prec;0.562111895;affect
65;Prec;0.566659946;affect
66;Prec;0.616140793;affect
67;Prec;0.591935484;affect
68;Prec;0.597291667;affect
69;Prec;0.577138777;affect
70;Prec;0.553561828;affect
71;Prec;0.621466734;affect
72;Prec;0.62047043;affect
73;Prec;0.616426411;affect
74;Prec;0.611636425;affect
75;Prec;0.655176411;affect
76;Prec;0.579003696;affect
77;Prec;0.579828629;affect
78;Prec;0.567878024;affect
79;Prec;0.600325941;affect
80;Prec;0.614956317;affect
81;Prec;0.57015625;affect
82;Prec;0.589358199;affect
83;Prec;0.552716734;affect
84;Prec;0.605966062;affect
85;Prec;0.626310484;affect
86;Prec;0.615095766;affect
87;Prec;0.582708333;affect
88;Prec;0.577731855;affect
89;Prec;0.596271841;affect
90;ATL;0.547871304;affect
91;ATL;0.609875672;affect
92;ATL;0.550971102;affect
93;ATL;0.566419691;affect
94;ATL;0.526782594;affect
95;ATL;0.594919355;affect
