roi;accuracy;class
7_ACC;0.61360886;affect
9_V1;0.639935854;affect
1_LTL;0.694594604;affect
3_Prec;0.634202541;affect
8_PCC;0.604466986;affect
2_IFG;0.666926821;affect
6_Ins;0.648708622;affect
5_aPFC;0.627926011;affect
4_ATL;0.638010563;affect
7_ACC;0.591869526;affect
9_V1;0.553132715;affect
1_LTL;0.602968702;affect
3_Prec;0.586636204;affect
8_PCC;0.584349588;affect
2_IFG;0.586637199;affect
6_Ins;0.588311231;affect
5_aPFC;0.561159025;affect
4_ATL;0.553127713;affect
7_ACC;0.681075039;affect
9_V1;0.635991192;affect
1_LTL;0.731378973;affect
3_Prec;0.697513039;affect
8_PCC;0.654895146;affect
2_IFG;0.681395284;affect
6_Ins;0.630819741;affect
5_aPFC;0.667982514;affect
4_ATL;0.590202471;affect
7_ACC;0.58796217;affect
9_V1;0.650104601;affect
1_LTL;0.660748852;affect
3_Prec;0.619811688;affect
8_PCC;0.625574429;affect
2_IFG;0.623380359;affect
6_Ins;0.653171282;affect
5_aPFC;0.62179197;affect
4_ATL;0.58176908;affect
7_ACC;0.590302317;affect
9_V1;0.582147196;affect
1_LTL;0.669699608;affect
3_Prec;0.646610399;affect
8_PCC;0.571245567;affect
2_IFG;0.617989623;affect
6_Ins;0.604009328;affect
5_aPFC;0.632874574;affect
4_ATL;0.574812318;affect
7_ACC;0.615679453;affect
9_V1;0.585690674;affect
1_LTL;0.604870997;affect
3_Prec;0.65255226;affect
8_PCC;0.625753665;affect
2_IFG;0.619307697;affect
6_Ins;0.642445069;affect
5_aPFC;0.573196017;affect
4_ATL;0.592436693;affect
7_ACC;0.650300076;affect
9_V1;0.603748053;affect
1_LTL;0.642829807;affect
3_Prec;0.605973369;affect
8_PCC;0.600448598;affect
2_IFG;0.588359872;affect
6_Ins;0.612311045;affect
5_aPFC;0.614573217;affect
4_ATL;0.578342999;affect
7_ACC;0.628308996;affect
9_V1;0.576753369;affect
1_LTL;0.689236802;affect
3_Prec;0.653184009;affect
8_PCC;0.61636183;affect
2_IFG;0.610914407;affect
6_Ins;0.627760994;affect
5_aPFC;0.63624258;affect
4_ATL;0.582789004;affect
7_ACC;0.626801769;affect
9_V1;0.581497216;affect
1_LTL;0.703396352;affect
3_Prec;0.655676153;affect
8_PCC;0.575631231;affect
2_IFG;0.633775148;affect
6_Ins;0.637516042;affect
5_aPFC;0.615222486;affect
4_ATL;0.629170877;affect
7_ACC;0.617547545;affect
9_V1;0.578927123;affect
1_LTL;0.659106822;affect
3_Prec;0.669491066;affect
8_PCC;0.635902889;affect
2_IFG;0.683234428;affect
6_Ins;0.626703689;affect
5_aPFC;0.691157985;affect
4_ATL;0.593597249;affect
7_ACC;0.644976085;affect
9_V1;0.602049785;affect
1_LTL;0.677903584;affect
3_Prec;0.630335253;affect
8_PCC;0.573397117;affect
2_IFG;0.657298904;affect
6_Ins;0.643482909;affect
5_aPFC;0.597440298;affect
4_ATL;0.556100384;affect
7_ACC;0.610390963;affect
9_V1;0.558833588;affect
1_LTL;0.637325371;affect
3_Prec;0.616196268;affect
8_PCC;0.60502044;affect
2_IFG;0.620799382;affect
6_Ins;0.638062758;affect
5_aPFC;0.597893471;affect
4_ATL;0.567759037;affect
7_ACC;0.596579761;affect
9_V1;0.569467921;affect
1_LTL;0.648394935;affect
3_Prec;0.622746613;affect
8_PCC;0.620546989;affect
2_IFG;0.634607876;affect
6_Ins;0.638438506;affect
5_aPFC;0.572949729;affect
4_ATL;0.58578933;affect
7_ACC;0.64437187;affect
9_V1;0.595278555;affect
1_LTL;0.670788388;affect
3_Prec;0.632939765;affect
8_PCC;0.655737184;affect
2_IFG;0.604431307;affect
6_Ins;0.636412288;affect
5_aPFC;0.602190794;affect
4_ATL;0.586519326;affect
7_ACC;0.618164232;affect
9_V1;0.588887692;affect
1_LTL;0.602937017;affect
3_Prec;0.631924755;affect
8_PCC;0.627011181;affect
2_IFG;0.640280165;affect
6_Ins;0.626675387;affect
5_aPFC;0.631789083;affect
4_ATL;0.587488585;affect
7_ACC;0.607888178;affect
9_V1;0.613041233;affect
1_LTL;0.635681831;affect
3_Prec;0.610015554;affect
8_PCC;0.572828645;affect
2_IFG;0.629050894;affect
6_Ins;0.615891694;affect
5_aPFC;0.61272482;affect
4_ATL;0.604329797;affect
7_ACC;0.582986309;affect
9_V1;0.591916493;affect
1_LTL;0.605489488;affect
3_Prec;0.605860751;affect
8_PCC;0.569103077;affect
2_IFG;0.55188391;affect
6_Ins;0.558485355;affect
5_aPFC;0.576175433;affect
4_ATL;0.586760604;affect
7_ACC;0.606753275;affect
9_V1;0.574369511;affect
1_LTL;0.616060519;affect
3_Prec;0.61208314;affect
8_PCC;0.626460773;affect
2_IFG;0.666571568;affect
6_Ins;0.596849616;affect
5_aPFC;0.594804784;affect
4_ATL;0.607539887;affect
7_ACC;0.590779568;affect
9_V1;0.638466053;affect
1_LTL;0.620128075;affect
3_Prec;0.613912136;affect
8_PCC;0.623631408;affect
2_IFG;0.640925422;affect
6_Ins;0.666332447;affect
5_aPFC;0.601969205;affect
4_ATL;0.585808475;affect
7_ACC;0.645991792;affect
9_V1;0.599129103;affect
1_LTL;0.644010711;affect
3_Prec;0.633171976;affect
8_PCC;0.618318922;affect
2_IFG;0.665774635;affect
6_Ins;0.621247743;affect
5_aPFC;0.662852066;affect
4_ATL;0.599546456;affect
7_ACC;0.590105978;affect
9_V1;0.583265775;affect
1_LTL;0.632748077;affect
3_Prec;0.613944974;affect
8_PCC;0.605723811;affect
2_IFG;0.613724818;affect
6_Ins;0.633253573;affect
5_aPFC;0.648525035;affect
4_ATL;0.622876169;affect
7_ACC;0.575019695;affect
9_V1;0.597622074;affect
1_LTL;0.605031971;affect
3_Prec;0.61469416;affect
8_PCC;0.628045969;affect
2_IFG;0.616815348;affect
6_Ins;0.620714316;affect
5_aPFC;0.560328236;affect
4_ATL;0.588121511;affect
7_ACC;0.668122231;affect
9_V1;0.604284353;affect
1_LTL;0.679149345;affect
3_Prec;0.658535189;affect
8_PCC;0.582876436;affect
2_IFG;0.65770239;affect
6_Ins;0.638891724;affect
5_aPFC;0.653182608;affect
4_ATL;0.609343301;affect
7_ACC;0.622412355;affect
9_V1;0.607145532;affect
1_LTL;0.617820996;affect
3_Prec;0.601331409;affect
8_PCC;0.594837866;affect
2_IFG;0.616945851;affect
6_Ins;0.611463414;affect
5_aPFC;0.582253236;affect
4_ATL;0.589041167;affect
7_ACC;0.659470674;affect
9_V1;0.623344878;affect
1_LTL;0.740664954;affect
3_Prec;0.655628399;affect
8_PCC;0.642808903;affect
2_IFG;0.675328154;affect
6_Ins;0.656714646;affect
5_aPFC;0.70378468;affect
4_ATL;0.617479994;affect
7_ACC;0.603223752;affect
9_V1;0.575290331;affect
1_LTL;0.632836623;affect
3_Prec;0.626455001;affect
8_PCC;0.616124359;affect
2_IFG;0.675592269;affect
6_Ins;0.59310919;affect
5_aPFC;0.612307109;affect
4_ATL;0.601313723;affect
7_ACC;0.720935643;affect
9_V1;0.595040316;affect
1_LTL;0.698490846;affect
3_Prec;0.70066437;affect
8_PCC;0.671971212;affect
2_IFG;0.684079742;affect
6_Ins;0.653169011;affect
5_aPFC;0.664704283;affect
4_ATL;0.586546323;affect
7_ACC;0.617395057;affect
9_V1;0.605214828;affect
1_LTL;0.688940098;affect
3_Prec;0.675403557;affect
8_PCC;0.610907055;affect
2_IFG;0.705668654;affect
6_Ins;0.66284751;affect
5_aPFC;0.639546329;affect
4_ATL;0.636623025;affect
7_ACC;0.59983895;affect
9_V1;0.624424726;affect
1_LTL;0.633414431;affect
3_Prec;0.609115953;affect
8_PCC;0.585551066;affect
2_IFG;0.639296752;affect
6_Ins;0.632931894;affect
5_aPFC;0.643474207;affect
4_ATL;0.537115127;affect
7_ACC;0.675199654;affect
9_V1;0.610143926;affect
1_LTL;0.648583136;affect
3_Prec;0.647964606;affect
8_PCC;0.635369732;affect
2_IFG;0.61570556;affect
6_Ins;0.625295527;affect
5_aPFC;0.636395862;affect
4_ATL;0.644505533;affect
7_ACC;0.643237971;likableness
9_V1;0.569572646;likableness
1_LTL;0.660678625;likableness
3_Prec;0.615501075;likableness
8_PCC;0.632079867;likableness
2_IFG;0.632921288;likableness
6_Ins;0.621607987;likableness
5_aPFC;0.61232425;likableness
4_ATL;0.662952816;likableness
7_ACC;0.598944408;likableness
9_V1;0.590948244;likableness
1_LTL;0.59324414;likableness
3_Prec;0.595471322;likableness
8_PCC;0.59201235;likableness
2_IFG;0.609200641;likableness
6_Ins;0.600318483;likableness
5_aPFC;0.607024944;likableness
4_ATL;0.550524082;likableness
7_ACC;0.736715348;likableness
9_V1;0.605410468;likableness
1_LTL;0.713081018;likableness
3_Prec;0.754944653;likableness
8_PCC;0.569074393;likableness
2_IFG;0.621865057;likableness
6_Ins;0.635600082;likableness
5_aPFC;0.72609127;likableness
4_ATL;0.667844367;likableness
7_ACC;0.722433077;likableness
9_V1;0.575515251;likableness
1_LTL;0.785736949;likableness
3_Prec;0.679723689;likableness
8_PCC;0.642079934;likableness
2_IFG;0.728737513;likableness
6_Ins;0.650221187;likableness
5_aPFC;0.675647008;likableness
4_ATL;0.619037954;likableness
7_ACC;0.708815145;likableness
9_V1;0.610698955;likableness
1_LTL;0.70517295;likableness
3_Prec;0.640039371;likableness
8_PCC;0.633540411;likableness
2_IFG;0.642884694;likableness
6_Ins;0.629968316;likableness
5_aPFC;0.627304409;likableness
4_ATL;0.632062203;likableness
7_ACC;0.662686748;likableness
9_V1;0.593175759;likableness
1_LTL;0.730380361;likableness
3_Prec;0.703291696;likableness
8_PCC;0.6356263;likableness
2_IFG;0.657246507;likableness
6_Ins;0.594928811;likableness
5_aPFC;0.638915773;likableness
4_ATL;0.57589319;likableness
7_ACC;0.716620785;likableness
9_V1;0.587762625;likableness
1_LTL;0.747631268;likableness
3_Prec;0.728323802;likableness
8_PCC;0.694923257;likableness
2_IFG;0.69615817;likableness
6_Ins;0.644520988;likableness
5_aPFC;0.667130259;likableness
4_ATL;0.632383707;likableness
7_ACC;0.63411232;likableness
9_V1;0.581287883;likableness
1_LTL;0.739828294;likableness
3_Prec;0.687924154;likableness
8_PCC;0.625861307;likableness
2_IFG;0.725058102;likableness
6_Ins;0.648690432;likableness
5_aPFC;0.704194551;likableness
4_ATL;0.603915929;likableness
7_ACC;0.671928603;likableness
9_V1;0.579525831;likableness
1_LTL;0.776874922;likableness
3_Prec;0.692659063;likableness
8_PCC;0.632671106;likableness
2_IFG;0.643757554;likableness
6_Ins;0.636044677;likableness
5_aPFC;0.650646563;likableness
4_ATL;0.630220498;likableness
7_ACC;0.719746063;likableness
9_V1;0.533786372;likableness
1_LTL;0.681427638;likableness
3_Prec;0.644110609;likableness
8_PCC;0.649730376;likableness
2_IFG;0.627344403;likableness
6_Ins;0.608795037;likableness
5_aPFC;0.672572166;likableness
4_ATL;0.621290816;likableness
7_ACC;0.74748718;likableness
9_V1;0.628936259;likableness
1_LTL;0.724885463;likableness
3_Prec;0.725468925;likableness
8_PCC;0.674760594;likableness
2_IFG;0.685896146;likableness
6_Ins;0.660983687;likableness
5_aPFC;0.727928643;likableness
4_ATL;0.68352097;likableness
7_ACC;0.612542771;likableness
9_V1;0.527022343;likableness
1_LTL;0.598236949;likableness
3_Prec;0.641181189;likableness
8_PCC;0.58096749;likableness
2_IFG;0.581300214;likableness
6_Ins;0.609729777;likableness
5_aPFC;0.583801481;likableness
4_ATL;0.60560888;likableness
7_ACC;0.607726542;likableness
9_V1;0.572851011;likableness
1_LTL;0.627626358;likableness
3_Prec;0.606356539;likableness
8_PCC;0.583312115;likableness
2_IFG;0.596999369;likableness
6_Ins;0.580242939;likableness
5_aPFC;0.538179447;likableness
4_ATL;0.510644852;likableness
7_ACC;0.601842705;likableness
9_V1;0.56190554;likableness
1_LTL;0.569698959;likableness
3_Prec;0.586013571;likableness
8_PCC;0.609738997;likableness
2_IFG;0.542372554;likableness
6_Ins;0.582980168;likableness
5_aPFC;0.570446284;likableness
4_ATL;0.57745183;likableness
7_ACC;0.616986171;likableness
9_V1;0.513123678;likableness
1_LTL;0.667159255;likableness
3_Prec;0.620994863;likableness
8_PCC;0.622735696;likableness
2_IFG;0.643663014;likableness
6_Ins;0.628901709;likableness
5_aPFC;0.605106961;likableness
4_ATL;0.544335018;likableness
7_ACC;0.616729212;likableness
9_V1;0.58342143;likableness
1_LTL;0.652815438;likableness
3_Prec;0.619394341;likableness
8_PCC;0.574692494;likableness
2_IFG;0.653650416;likableness
6_Ins;0.624095589;likableness
5_aPFC;0.617311008;likableness
4_ATL;0.615108472;likableness
7_ACC;0.572860009;likableness
9_V1;0.529401518;likableness
1_LTL;0.555215832;likableness
3_Prec;0.589120852;likableness
8_PCC;0.575622456;likableness
2_IFG;0.599265895;likableness
6_Ins;0.58025116;likableness
5_aPFC;0.587994254;likableness
4_ATL;0.578099837;likableness
7_ACC;0.739336595;likableness
9_V1;0.559253519;likableness
1_LTL;0.664091745;likableness
3_Prec;0.634689005;likableness
8_PCC;0.57289867;likableness
