ROI;Classification accuracy;Class
LTL;0.598855847;affect
LTL;0.642983871;affect
LTL;0.595554435;affect
LTL;0.664872312;affect
LTL;0.546058468;affect
LTL;0.523449261;affect
LTL;0.637676411;affect
LTL;0.60139953;affect
LTL;0.596987567;affect
LTL;0.591354167;affect
LTL;0.557207661;affect
LTL;0.624966398;affect
LTL;0.631656586;affect
LTL;0.680877016;affect
LTL;0.586999328;affect
LTL;0.6496875;affect
LTL;0.561424731;affect
LTL;0.599638777;affect
LTL;0.597508401;affect
LTL;0.645322581;affect
LTL;0.545752688;affect
LTL;0.602757056;affect
LTL;0.629447245;affect
LTL;0.554109543;affect
LTL;0.622145497;affect
LTL;0.634831989;affect
LTL;0.656448253;affect
LTL;0.57546203;affect
LTL;0.583091398;affect
LTL;0.580824933;affect
IFG;0.553800403;affect
IFG;0.626167675;affect
IFG;0.572409274;affect
IFG;0.631651546;affect
IFG;0.558870968;affect
IFG;0.614361559;affect
IFG;0.564075941;affect
IFG;0.59921539;affect
IFG;0.608422379;affect
IFG;0.558652554;affect
IFG;0.562799059;affect
IFG;0.585215054;affect
IFG;0.663765121;affect
IFG;0.611478495;affect
IFG;0.650793011;affect
IFG;0.634438844;affect
IFG;0.571801075;affect
IFG;0.581207997;affect
IFG;0.584983199;affect
IFG;0.606972446;affect
IFG;0.566797715;affect
IFG;0.631454973;affect
IFG;0.611784274;affect
IFG;0.545374664;affect
IFG;0.661747312;affect
IFG;0.606223118;affect
IFG;0.56922379;affect
IFG;0.603244288;affect
IFG;0.61562836;affect
IFG;0.593870968;affect
Prec;0.605554435;affect
Prec;0.58734543;affect
Prec;0.581617944;affect
Prec;0.622093414;affect
Prec;0.562111895;affect
Prec;0.566659946;affect
Prec;0.616140793;affect
Prec;0.591935484;affect
Prec;0.597291667;affect
Prec;0.577138777;affect
Prec;0.553561828;affect
Prec;0.621466734;affect
Prec;0.62047043;affect
Prec;0.616426411;affect
Prec;0.611636425;affect
Prec;0.655176411;affect
Prec;0.579003696;affect
Prec;0.579828629;affect
Prec;0.567878024;affect
Prec;0.600325941;affect
Prec;0.614956317;affect
Prec;0.57015625;affect
Prec;0.589358199;affect
Prec;0.552716734;affect
Prec;0.605966062;affect
Prec;0.626310484;affect
Prec;0.615095766;affect
Prec;0.582708333;affect
Prec;0.577731855;affect
Prec;0.596271841;affect
ATL;0.547871304;affect
ATL;0.609875672;affect
ATL;0.550971102;affect
ATL;0.566419691;affect
ATL;0.526782594;affect
ATL;0.594919355;affect
ATL;0.542310148;affect
ATL;0.542293347;affect
ATL;0.515535954;affect
ATL;0.569786626;affect
ATL;0.551418011;affect
ATL;0.634630376;affect
ATL;0.604647177;affect
ATL;0.58328461;affect
ATL;0.563262769;affect
ATL;0.566357527;affect
ATL;0.588099798;affect
ATL;0.576313844;affect
ATL;0.63015121;affect
ATL;0.600712366;affect
ATL;0.549910954;affect
ATL;0.513886089;affect
ATL;0.534144825;affect
ATL;0.536004704;affect
ATL;0.577622648;affect
ATL;0.576806116;affect
ATL;0.544942876;affect
ATL;0.546377688;affect
ATL;0.562103495;affect
ATL;0.543842406;affect
aPFC;0.58906082;affect
aPFC;0.596554099;affect
aPFC;0.574872312;affect
aPFC;0.627138777;affect
aPFC;0.531433132;affect
aPFC;0.551367608;affect
aPFC;0.580099126;affect
aPFC;0.551236559;affect
aPFC;0.576372648;affect
aPFC;0.557333669;affect
aPFC;0.51719254;affect
aPFC;0.618029234;affect
aPFC;0.588066196;affect
aPFC;0.635477151;affect
aPFC;0.640875336;affect
aPFC;0.632316868;affect
aPFC;0.588383737;affect
aPFC;0.567903226;affect
aPFC;0.607054772;affect
aPFC;0.585453629;affect
aPFC;0.540171371;affect
aPFC;0.60594254;affect
aPFC;0.572362231;affect
aPFC;0.542587366;affect
aPFC;0.594470766;affect
aPFC;0.599768145;affect
aPFC;0.604200269;affect
aPFC;0.608765121;affect
aPFC;0.567557124;affect
aPFC;0.51765961;affect
Ins;0.551606183;affect
Ins;0.613193884;affect
Ins;0.608701277;affect
Ins;0.610383065;affect
Ins;0.563469422;affect
Ins;0.56500504;affect
Ins;0.60843582;affect
Ins;0.583785282;affect
Ins;0.601433132;affect
Ins;0.546925403;affect
Ins;0.563553427;affect
Ins;0.59094422;affect
Ins;0.627710013;affect
Ins;0.620732527;affect
Ins;0.596342406;affect
Ins;0.620540995;affect
Ins;0.582518481;affect
Ins;0.586043347;affect
Ins;0.601108871;affect
Ins;0.602293347;affect
Ins;0.60530914;affect
Ins;0.621814516;affect
Ins;0.627792339;affect
Ins;0.572118616;affect
Ins;0.575136089;affect
Ins;0.608271169;affect
Ins;0.58374664;affect
Ins;0.572825941;affect
Ins;0.629030578;affect
Ins;0.60077789;affect
ACC;0.54750336;affect
ACC;0.580740927;affect
ACC;0.550596438;affect
ACC;0.643481183;affect
ACC;0.560057124;affect
ACC;0.558141801;affect
ACC;0.605131048;affect
ACC;0.616659946;affect
ACC;0.589349798;affect
ACC;0.577155578;affect
ACC;0.540756048;affect
ACC;0.656528898;affect
ACC;0.593815524;affect
ACC;0.601838038;affect
ACC;0.581177755;affect
ACC;0.695297379;affect
ACC;0.572985551;affect
ACC;0.581611223;affect
ACC;0.581419691;affect
ACC;0.611493616;affect
ACC;0.593329973;affect
ACC;0.591224798;affect
ACC;0.60718582;affect
ACC;0.586947245;affect
ACC;0.582580645;affect
ACC;0.64124832;affect
ACC;0.591999328;affect
ACC;0.599912634;affect
ACC;0.560129368;affect
ACC;0.558728159;affect
PCC;0.52358871;affect
PCC;0.584252352;affect
PCC;0.581339046;affect
PCC;0.642357191;affect
PCC;0.583088038;affect
PCC;0.613101478;affect
PCC;0.61999496;affect
PCC;0.60171707;affect
PCC;0.573217406;affect
PCC;0.556313844;affect
PCC;0.585436828;affect
PCC;0.590539315;affect
PCC;0.572380712;affect
PCC;0.61124664;affect
PCC;0.604171707;affect
PCC;0.65358871;affect
PCC;0.585226815;affect
PCC;0.558400538;affect
PCC;0.589667339;affect
PCC;0.565268817;affect
PCC;0.581071909;affect
PCC;0.580641801;affect
PCC;0.551772513;affect
PCC;0.554168347;affect
PCC;0.595866935;affect
PCC;0.567708333;affect
PCC;0.576374328;affect
PCC;0.588618952;affect
PCC;0.583346774;affect
PCC;0.587777218;affect
V1;0.553657594;affect
V1;0.599385081;affect
V1;0.63374496;affect
V1;0.586965726;affect
V1;0.52890961;affect
V1;0.537699933;affect
V1;0.589489247;affect
V1;0.593850806;affect
V1;0.51937332;affect
V1;0.584569892;affect
V1;0.568035954;affect
V1;0.612315188;affect
V1;0.585446909;affect
V1;0.579946237;affect
V1;0.55374664;affect
V1;0.549042339;affect
V1;0.579784946;affect
V1;0.582515121;affect
V1;0.560329301;affect
