,ROI,Classification accuracy
0,LTL,0.570141499582289
1,LTL,0.5016992849771487
2,LTL,0.5540183383294839
3,LTL,0.4641964299068216
4,LTL,0.5577892098667722
5,LTL,0.5775687865925644
6,LTL,0.5767005898584845
7,LTL,0.5694882119514473
8,LTL,0.5321647892425326
9,LTL,0.5268474426807761
10,LTL,0.5714974962416044
11,LTL,0.5272906531033467
12,LTL,0.6035429843738951
13,LTL,0.5724140394846767
14,LTL,0.5144018901420218
15,LTL,0.5054964998703656
16,LTL,0.5147388820889433
17,LTL,0.5561989487889765
18,LTL,0.5357128851540616
19,LTL,0.5696262715612561
20,LTL,0.5629721362229102
21,LTL,0.5156763675981778
22,LTL,0.5557081807081808
23,LTL,0.49890931031281904
24,LTL,0.5734905840991368
25,LTL,0.5684753550543024
26,LTL,0.50203146946253
27,LTL,0.5541765598206041
28,LTL,0.5430209310938753
29,LTL,0.5032999164578111
30,IFG,0.5465055868838763
31,IFG,0.5515436876504988
32,IFG,0.5685473897161203
33,IFG,0.47193722263886484
34,IFG,0.5744031130457723
35,IFG,0.5195051653872482
36,IFG,0.572965241386294
37,IFG,0.5822023655953609
38,IFG,0.5291852315975123
39,IFG,0.5102588647544788
40,IFG,0.5101837226118517
41,IFG,0.47759226497616597
42,IFG,0.5538375769648894
43,IFG,0.5646885854988347
44,IFG,0.5721347639933166
45,IFG,0.5004537205081669
46,IFG,0.5093810106662005
47,IFG,0.5552494174031569
48,IFG,0.5350547201336675
49,IFG,0.5664711849652142
50,IFG,0.5223123986436681
51,IFG,0.5287280571056344
52,IFG,0.574154938628623
53,IFG,0.47357224078715304
54,IFG,0.5235387731481481
55,IFG,0.547485380116959
56,IFG,0.5176660015291306
57,IFG,0.5574088730598427
58,IFG,0.5373446169225072
59,IFG,0.48628747795414473
60,Prec,0.5096354166666667
61,Prec,0.5347108580274215
62,Prec,0.552313258636788
63,Prec,0.4408225380159692
64,Prec,0.5917425141801873
65,Prec,0.5509193140740589
66,Prec,0.5608674463937623
67,Prec,0.5537260737628386
68,Prec,0.5370615058889052
69,Prec,0.5186676181193726
70,Prec,0.5163011821269862
71,Prec,0.47415044965354564
72,Prec,0.5237016575992828
73,Prec,0.5982060414193378
74,Prec,0.5832386956975772
