ID;class;accuracy
sub-030;likableness_ch;12,5376137
sub-014;affect_co;9,15294
sub-029;affect_co;6,4063707
sub-030;affect_co;1,7937672
sub-028;likableness_co;8,1470115
sub-027;likableness_co;-1,7135366
sub-026;likableness_co;-0,9085117
sub-025;likableness_co;8,8763522
sub-023;likableness_co;0,0048104
sub-022;likableness_co;8,5921029
sub-021;likableness_co;16,1456506
sub-020;likableness_co;7,9969084
sub-019;likableness_co;1,3880571
sub-028;affect_co;-3,1329995
sub-029;likableness_ch;2,1301733
sub-029;likableness_co;4,6034414
sub-030;likableness_co;-1,4975217
sub-015;affect_co;0,5230137
sub-016;affect_co;4,3300489
sub-017;affect_co;4,8617163
sub-018;affect_co;3,6514204
sub-019;affect_co;11,2215899
sub-020;affect_co;5,1577992
sub-022;affect_co;2,2602625
sub-023;affect_co;4,7268097
sub-024;affect_co;2,8629566
sub-025;affect_co;3,590866
sub-026;affect_co;4,4328753
sub-027;affect_co;0,4255023
sub-018;likableness_co;-9,0432058
sub-012;affect_co;6,960631
sub-011;affect_co;0,7464711
sub-010;affect_co;0,3403786
sub-009;affect_co;-4,4408659
sub-008;affect_co;-3,1461218
sub-007;affect_co;4,5288995
sub-006;affect_co;4,1719821
sub-005;affect_co;-0,479657
sub-004;affect_co;6,800276
sub-003;affect_co;-0,1600412
sub-002;affect_co;9,8477816
sub-001;affect_co;3,2531562
sub-013;affect_co;13,6346687
sub-017;likableness_co;-5,6698421
sub-024;likableness_co;1,9620985
sub-015;likableness_co;3,7808889
sub-020;affect_ch;3,4912832
sub-021;affect_ch;9,9817966
sub-022;affect_ch;6,6290164
sub-016;likableness_co;0,8945606
sub-024;affect_ch;5,207166
sub-025;affect_ch;10,6635965
sub-026;affect_ch;9,5263652
sub-027;affect_ch;8,1045561
sub-028;affect_ch;13,6091697
sub-029;affect_ch;-1,6032922
sub-030;affect_ch;6,7583628
sub-001;likableness_ch;14,0662063
sub-002;likableness_ch;5,5528013
sub-003;likableness_ch;11,5951973
sub-004;likableness_ch;14,6029987
sub-019;affect_ch;4,8440114
sub-005;likableness_ch;10,7985564
sub-018;affect_ch;6,189863
sub-016;affect_ch;10,7408265
sub-001;affect_ch;6,3465188
sub-002;affect_ch;7,7079005
sub-003;affect_ch;4,8275684
sub-004;affect_ch;3,6695761
sub-005;affect_ch;9,0812551
sub-006;affect_ch;4,9582607
sub-007;affect_ch;8,0315167
sub-008;affect_ch;9,5499898
sub-009;affect_ch;6,7722919
sub-010;affect_ch;2,4268829
sub-011;affect_ch;3,6932673
sub-012;affect_ch;0,805122
sub-013;affect_ch;10,3805661
sub-014;affect_ch;8,1041849
sub-015;affect_ch;5,8956207
sub-017;affect_ch;7,3294797
sub-006;likableness_ch;4,6035586
sub-023;affect_ch;9,5215273
sub-008;likableness_ch;7,1571357
sub-028;likableness_ch;10,6113162
sub-001;likableness_co;12,8860591
sub-002;likableness_co;5,5948492
sub-003;likableness_co;8,9317367
sub-004;likableness_co;-4,9974236
sub-005;likableness_co;6,6335359
sub-006;likableness_co;1,9826731
sub-007;likableness_co;1,0784668
sub-008;likableness_co;0,9586529
sub-009;likableness_co;-2,5574937
sub-010;likableness_co;-0,6490885
sub-007;likableness_ch;8,1029311
sub-012;likableness_co;-4,1650749
sub-013;likableness_co;-6,9638777
sub-014;likableness_co;1,1721631
sub-027;likableness_ch;9,9739853
sub-026;likableness_ch;1,2879595
sub-011;likableness_co;11,6620595
sub-024;likableness_ch;13,6199406
sub-009;likableness_ch;13,6499784
sub-010;likableness_ch;12,3871341
sub-011;likableness_ch;11,8579831
sub-025;likableness_ch;18,2716967
sub-012;likableness_ch;12,2131191
sub-013;likableness_ch;-4,4702245
sub-014;likableness_ch;2,9220506
sub-015;likableness_ch;-0,5141538
sub-016;likableness_ch;14,2625541
sub-021;affect_co;-3,0031369
sub-018;likableness_ch;11,8121141
sub-019;likableness_ch;-0,2046785
sub-020;likableness_ch;7,1985241
sub-023;likableness_ch;2,2931833
sub-022;likableness_ch;15,0877442
sub-017;likableness_ch;9,1094533
sub-021;likableness_ch;3,5210064
