ID;class;accuracy
sub-011;likableness_ch;17,5712423
sub-010;likableness_ch;11,7085538
sub-009;likableness_ch;11,4572322
sub-008;likableness_ch;14,2855736
sub-007;likableness_ch;12,3192929
sub-004;likableness_ch;25,680029
sub-005;likableness_ch;6,8481581
sub-003;likableness_ch;5,3317667
sub-002;likableness_ch;5,7656953
sub-001;likableness_ch;8,6415701
sub-030;likableness_ch;14,0931389
sub-006;likableness_ch;13,7741342
sub-012;likableness_ch;10,3707949
sub-014;likableness_ch;-2,2316031
sub-015;likableness_ch;7,152825
sub-016;likableness_ch;15,3196695
sub-017;likableness_ch;8,9884884
sub-018;likableness_ch;13,820463
sub-019;likableness_ch;8,4039003
sub-021;likableness_ch;13,7695444
sub-022;likableness_ch;12,178275
sub-023;likableness_ch;9,1950929
sub-024;likableness_ch;16,2686735
sub-025;likableness_ch;22,7497839
sub-026;likableness_ch;7,0827468
sub-027;likableness_ch;22,4481921
sub-028;likableness_ch;11,7512362
sub-029;likableness_ch;13,8344273
sub-013;likableness_ch;4,3161792
sub-020;likableness_ch;4,9555029
sub-028;likableness_co;3,4521648
sub-027;likableness_co;9,1464352
sub-003;affect_ch;14,8407512
sub-002;affect_ch;9,7986242
sub-001;affect_ch;5,2801513
sub-030;likableness_co;2,8270224
sub-029;likableness_co;12,0107106
sub-001;likableness_co;1,4450644
sub-002;likableness_co;0,7291777
sub-003;likableness_co;17,9854889
sub-004;likableness_co;-2,6068878
sub-005;likableness_co;0,6327163
sub-004;affect_ch;8,2174328
sub-006;likableness_co;8,6684325
sub-008;likableness_co;4,4069552
sub-009;likableness_co;3,8869538
sub-010;likableness_co;7,9584372
sub-011;likableness_co;4,2125939
sub-012;likableness_co;-1,2205585
sub-013;likableness_co;-3,3973905
sub-030;affect_co;5,4646793
sub-029;affect_co;8,2232613
sub-028;affect_co;2,8190433
sub-027;affect_co;2,3055093
sub-007;likableness_co;3,0277178
sub-026;affect_co;10,4275936
sub-005;affect_ch;10,7708774
sub-007;affect_ch;6,9817212
sub-019;affect_ch;11,2516396
sub-020;affect_ch;8,0708351
sub-021;affect_ch;6,6167794
sub-022;affect_ch;9,0627386
sub-023;affect_ch;15,721419
sub-024;affect_ch;9,2915239
sub-025;affect_ch;14,7091527
sub-026;affect_ch;18,4412033
sub-027;affect_ch;15,4225422
sub-028;affect_ch;16,6453115
sub-006;affect_ch;11,5937992
sub-029;affect_ch;9,0487676
sub-016;affect_ch;11,5337075
sub-015;affect_ch;14,1896309
sub-014;affect_ch;10,0377862
sub-013;affect_ch;18,0836634
sub-012;affect_ch;4,1488329
sub-011;affect_ch;12,5104355
sub-010;affect_ch;11,8456031
sub-001;affect_co;4,4152877
sub-009;affect_ch;8,8004739
sub-008;affect_ch;12,4099944
sub-030;affect_ch;3,9111297
sub-018;affect_ch;9,029839
sub-025;affect_co;12,8998813
sub-023;affect_co;13,7073604
sub-003;affect_co;0,7527649
sub-002;affect_co;11,8318442
sub-014;likableness_co;5,8746972
sub-015;likableness_co;-0,2980128
sub-016;likableness_co;1,8511996
sub-024;affect_co;3,7640637
sub-018;likableness_co;-4,845672
sub-019;likableness_co;2,9529656
sub-020;likableness_co;1,3011331
sub-021;likableness_co;14,3205362
sub-022;likableness_co;7,2582502
sub-023;likableness_co;5,9497952
sub-024;likableness_co;4,9335818
sub-025;likableness_co;7,5263664
sub-026;likableness_co;1,0742566
sub-004;affect_co;8,5357482
sub-005;affect_co;-0,4355019
sub-017;likableness_co;-1,5962162
sub-007;affect_co;4,6879306
sub-006;affect_co;9,7437909
sub-021;affect_co;-4,0655205
sub-020;affect_co;8,3695169
sub-019;affect_co;6,6580166
sub-018;affect_co;4,0765579
sub-017;affect_co;7,3851783
sub-016;affect_co;14,3274151
sub-022;affect_co;9,3335287
sub-014;affect_co;9,6101097
sub-015;affect_co;8,9918147
sub-008;affect_co;1,8603586
sub-009;affect_co;5,3299462
sub-017;affect_ch;3,481266
sub-011;affect_co;2,4709835
sub-012;affect_co;1,756213
sub-013;affect_co;19,048756
sub-010;affect_co;-1,6631043
