ID;class;accuracy
sub-016;likableness_ch;12,0913064
sub-017;likableness_ch;7,0960491
sub-018;likableness_ch;5,8908451
sub-019;likableness_ch;10,9200361
sub-020;likableness_ch;3,1739622
sub-021;likableness_ch;6,7810856
sub-023;likableness_ch;11,0648441
sub-024;likableness_ch;17,8620656
sub-026;likableness_ch;10,286983
sub-027;likableness_ch;12,6043364
sub-028;likableness_ch;11,9083041
sub-029;likableness_ch;14,5260279
sub-022;likableness_ch;11,8490518
sub-025;likableness_ch;14,0627289
sub-001;likableness_co;3,5588694
sub-030;affect_co;7,8741601
sub-027;likableness_co;5,2539043
sub-026;likableness_co;4,4421901
sub-025;likableness_co;5,7413566
sub-024;likableness_co;2,5015325
sub-023;likableness_co;-1,3775236
sub-022;likableness_co;9,2048947
sub-021;likableness_co;8,0351175
sub-020;likableness_co;-0,3828963
sub-019;likableness_co;0,7599321
sub-018;likableness_co;-5,7805086
sub-017;likableness_co;-1,5092787
sub-016;likableness_co;-2,0479504
sub-028;likableness_co;1,9937192
sub-015;likableness_co;4,148771
sub-013;likableness_co;-4,4624548
sub-012;likableness_co;-1,2502833
sub-011;likableness_co;5,3869413
sub-010;likableness_co;3,8171674
sub-009;likableness_co;-0,6803734
sub-008;likableness_co;-2,6061684
sub-007;likableness_co;-1,2984758
sub-006;likableness_co;-1,8404515
sub-005;likableness_co;3,067245
sub-004;likableness_co;-3,7436681
sub-003;likableness_co;7,8415805
sub-002;likableness_co;-1,7990743
sub-014;likableness_co;2,9800817
sub-030;likableness_ch;13,7358294
sub-015;likableness_ch;4,8160142
sub-002;affect_co;5,5157363
sub-029;affect_co;6,5560244
sub-028;affect_co;1,3224982
sub-027;affect_co;1,7902661
sub-026;affect_co;5,6329607
sub-025;affect_co;2,928501
sub-023;affect_co;14,6170017
sub-022;affect_co;13,595192
sub-021;affect_co;2,6533642
sub-020;affect_co;5,0662792
sub-019;affect_co;7,4114736
sub-018;affect_co;4,5199636
sub-017;affect_co;3,0076985
sub-001;affect_co;4,3783251
sub-016;affect_co;11,1660043
sub-014;affect_co;9,950428
sub-013;affect_co;12,0436365
sub-012;affect_co;2,0249831
sub-011;affect_co;0,9803781
sub-010;affect_co;-1,356262
sub-009;affect_co;2,2033014
sub-008;affect_co;1,4011179
sub-007;affect_co;8,3811227
sub-006;affect_co;4,2084278
sub-005;affect_co;2,2906253
sub-004;affect_co;6,8974602
sub-003;affect_co;2,4168664
sub-015;affect_co;1,5135529
sub-024;affect_co;4,6748482
sub-014;likableness_ch;0,5715735
sub-012;likableness_ch;10,4400891
sub-027;affect_ch;11,1978583
sub-025;affect_ch;16,0937324
sub-024;affect_ch;7,0737343
sub-023;affect_ch;13,1228295
sub-022;affect_ch;7,4744027
sub-021;affect_ch;7,6272439
sub-020;affect_ch;6,8268255
sub-019;affect_ch;10,1490294
sub-018;affect_ch;4,9543076
sub-017;affect_ch;2,730383
sub-016;affect_ch;8,3049939
sub-015;affect_ch;12,6928617
sub-028;affect_ch;16,7960292
sub-014;affect_ch;9,1396013
sub-012;affect_ch;7,2594307
sub-011;affect_ch;11,7794208
sub-010;affect_ch;6,5397746
sub-009;affect_ch;5,1673765
sub-008;affect_ch;11,0934028
sub-007;affect_ch;8,1074688
sub-006;affect_ch;9,0322384
sub-005;affect_ch;6,9319079
sub-004;affect_ch;11,8979966
sub-003;affect_ch;8,9237882
sub-002;affect_ch;6,8960455
sub-001;affect_ch;4,7389675
sub-013;affect_ch;18,4867459
sub-029;affect_ch;4,8330659
sub-026;affect_ch;10,194984
sub-013;likableness_ch;0,446663
sub-011;likableness_ch;11,8315467
sub-010;likableness_ch;6,167585
sub-009;likableness_ch;9,8892889
sub-008;likableness_ch;8,4010349
sub-007;likableness_ch;7,828912
sub-006;likableness_ch;8,249681
sub-005;likableness_ch;5,7380597
sub-004;likableness_ch;20,1735576
sub-003;likableness_ch;7,7924152
sub-002;likableness_ch;4,8384389
sub-030;affect_ch;5,3744688
sub-029;likableness_co;4,3301967
sub-030;likableness_co;3,7196139
sub-001;likableness_ch;5,5624669
