ID;class;accuracy
sub-019;affect_co;7,8274399
sub-002;likableness_co;1,9296149
sub-001;likableness_co;10,1497074
sub-028;affect_ch;11,8145612
sub-029;affect_ch;7,4099775
sub-030;affect_ch;5,3014353
sub-030;affect_co;0,148094
sub-003;likableness_co;17,2706704
sub-029;affect_co;3,8703509
sub-028;affect_co;2,0159235
sub-027;affect_co;10,7707883
sub-026;affect_co;9,3050413
sub-025;affect_co;9,1445571
sub-024;affect_co;2,9587903
sub-023;affect_co;12,2713507
sub-022;affect_co;7,7877774
sub-021;affect_co;-4,1952582
sub-020;affect_co;9,7564185
sub-018;affect_co;7,8114942
sub-004;likableness_co;2,1864492
sub-011;likableness_co;9,4784077
sub-006;likableness_co;10,3807542
sub-024;affect_ch;7,7755505
sub-023;affect_ch;18,1869688
sub-022;affect_ch;5,8491893
sub-021;affect_ch;6,6287176
sub-020;affect_ch;7,0793128
sub-019;affect_ch;4,8126728
sub-018;affect_ch;3,293824
sub-017;affect_ch;8,7351882
sub-016;affect_ch;10,9536504
sub-015;affect_ch;5,3773843
sub-014;affect_ch;15,3556712
sub-013;affect_ch;17,1619409
sub-012;affect_ch;5,0420793
sub-011;affect_ch;14,6591972
sub-010;affect_ch;9,7497185
sub-009;affect_ch;15,709952
sub-008;affect_ch;17,4166093
sub-007;affect_ch;16,5062472
sub-006;affect_ch;8,0118567
sub-005;affect_ch;13,8647529
sub-004;affect_ch;12,0910843
sub-003;affect_ch;19,7340594
sub-002;affect_ch;11,842222
sub-025;affect_ch;20,5166486
sub-005;likableness_co;11,5375258
sub-026;affect_ch;13,9747044
sub-030;likableness_co;5,4859751
sub-007;likableness_co;5,3269192
sub-008;likableness_co;18,2957892
sub-009;likableness_co;11,4372953
sub-010;likableness_co;10,9760129
sub-017;affect_co;4,4916958
sub-012;likableness_co;-1,6878622
sub-013;likableness_co;-4,4011314
sub-014;likableness_co;7,2321046
sub-015;likableness_co;3,9150156
sub-016;likableness_co;1,3893912
sub-017;likableness_co;-8,1225265
sub-018;likableness_co;-2,596408
sub-019;likableness_co;4,6314317
sub-020;likableness_co;4,1529335
sub-021;likableness_co;16,7509185
sub-022;likableness_co;7,5020877
sub-023;likableness_co;-0,1304143
sub-024;likableness_co;4,132646
sub-025;likableness_co;11,4130722
sub-026;likableness_co;2,8066879
sub-027;likableness_co;5,3171388
sub-028;likableness_co;3,0699806
sub-029;likableness_co;16,211879
sub-027;affect_ch;12,5570289
sub-016;affect_co;13,6284404
sub-001;affect_ch;9,0827556
sub-014;affect_co;20,0959986
sub-029;likableness_ch;13,9831924
sub-028;likableness_ch;16,4034193
sub-027;likableness_ch;29,8556104
sub-026;likableness_ch;7,1948955
sub-025;likableness_ch;22,460972
sub-024;likableness_ch;18,3924103
sub-023;likableness_ch;13,9600459
sub-022;likableness_ch;17,5303409
sub-021;likableness_ch;10,4096911
sub-020;likableness_ch;10,3466367
sub-019;likableness_ch;7,9008204
sub-018;likableness_ch;10,7892796
sub-017;likableness_ch;4,047695
sub-016;likableness_ch;14,7318938
sub-015;likableness_ch;15,2757365
sub-014;likableness_ch;-0,271508
sub-013;likableness_ch;2,4083374
sub-012;likableness_ch;7,0946296
sub-001;likableness_ch;9,0537125
sub-011;likableness_ch;15,3387967
sub-010;likableness_ch;15,4580195
sub-009;likableness_ch;24,4710133
sub-008;likableness_ch;17,0340082
sub-007;likableness_ch;17,0930678
sub-002;likableness_ch;9,1544855
sub-003;likableness_ch;15,906268
sub-004;likableness_ch;32,1540519
sub-015;affect_co;1,3558124
sub-005;likableness_ch;14,738374
sub-006;likableness_ch;15,2811574
sub-002;affect_co;12,6266202
sub-030;likableness_ch;10,2810329
sub-001;affect_co;9,85715
sub-003;affect_co;2,5408151
sub-004;affect_co;11,264731
sub-005;affect_co;0,8352555
sub-007;affect_co;6,5539094
sub-006;affect_co;-3,1558499
sub-009;affect_co;1,7857614
sub-010;affect_co;0,8716491
sub-011;affect_co;1,3030505
sub-012;affect_co;2,2078243
sub-013;affect_co;13,7469139
sub-008;affect_co;3,6237333
