,ID,class,accuracy
0,sub-023,Ach,18.1869688
29,sub-024,Ach,7.7755505
28,sub-030,Ach,5.3014353
27,sub-029,Ach,7.4099775
26,sub-028,Ach,11.8145612
25,sub-001,Ach,9.0827556
24,sub-027,Ach,12.5570289
23,sub-026,Ach,13.9747044
22,sub-025,Ach,20.5166486
20,sub-002,Ach,11.8422220
19,sub-003,Ach,19.7340594
18,sub-004,Ach,12.0910843
17,sub-005,Ach,13.8647529
16,sub-006,Ach,8.0118567
15,sub-007,Ach,16.5062472
21,sub-011,Ach,14.6591972
13,sub-009,Ach,15.7099520
14,sub-008,Ach,17.4166093
2,sub-020,Ach,7.0793128
3,sub-019,Ach,4.8126728
4,sub-018,Ach,3.2938240
5,sub-017,Ach,8.7351882
6,sub-016,Ach,10.9536504
1,sub-021,Ach,6.6287176
8,sub-014,Ach,15.3556712
9,sub-013,Ach,17.1619409
10,sub-022,Ach,5.8491893
11,sub-012,Ach,5.0420793
12,sub-010,Ach,9.7497185
7,sub-015,Ach,5.3773843
47,sub-008,Aco,3.6237333
48,sub-021,Aco,-4.1952582
49,sub-022,Aco,7.7877774
50,sub-020,Aco,9.7564185
51,sub-023,Aco,12.2713507
52,sub-024,Aco,2.9587903
55,sub-026,Aco,9.3050413
54,sub-027,Aco,10.7707883
56,sub-029,Aco,3.8703509
57,sub-030,Aco,0.148094
58,sub-018,Aco,7.811494
46,sub-019,Aco,7.8274399
53,sub-025,Aco,9.1445571
45,sub-007,Aco,6.5539094
59,sub-028,Aco,2.015924
43,sub-016,Aco,13.6284404
30,sub-017,Aco,4.4916958
31,sub-012,Aco,2.2078243
32,sub-011,Aco,1.3030505
33,sub-010,Aco,0.8716491
35,sub-006,Aco,-3.1558499
36,sub-005,Aco,0.8352555
34,sub-009,Aco,1.7857614
38,sub-003,Aco,2.5408151
39,sub-001,Aco,9.8571500
40,sub-002,Aco,12.6266202
41,sub-015,Aco,1.3558124
42,sub-014,Aco,20.0959986
37,sub-004,Aco,11.2647310
44,sub-013,Aco,13.7469139
81,sub-007,Lch,17.093068
77,sub-011,Lch,15.338797
78,sub-014,Lch,-0.271508
79,sub-009,Lch,24.471013
80,sub-008,Lch,17.034008
89,sub-013,Lch,2.408337
84,sub-004,Lch,32.154052
85,sub-005,Lch,14.738374
86,sub-006,Lch,15.281157
87,sub-030,Lch,10.281033
88,sub-001,Lch,9.053713
76,sub-010,Lch,15.458020
83,sub-003,Lch,15.906268
75,sub-019,Lch,7.900820
82,sub-002,Lch,9.154486
73,sub-015,Lch,15.275736
60,sub-025,Lch,22.460972
61,sub-028,Lch,16.403419
62,sub-027,Lch,29.855610
63,sub-029,Lch,13.983192
74,sub-023,Lch,13.960046
65,sub-024,Lch,18.392410
64,sub-026,Lch,7.194896
67,sub-012,Lch,7.094630
68,sub-021,Lch,10.409691
69,sub-020,Lch,10.346637
70,sub-018,Lch,10.789280
71,sub-017,Lch,4.047695
72,sub-016,Lch,14.731894
66,sub-022,Lch,17.530341
106,sub-018,Lco,-2.596408
107,sub-019,Lco,4.631432
108,sub-020,Lco,4.152934
109,sub-021,Lco,16.750919
110,sub-022,Lco,7.502088
117,sub-029,Lco,16.2118790
112,sub-024,Lco,4.1326460
113,sub-025,Lco,11.4130722
114,sub-026,Lco,2.8066879
115,sub-027,Lco,5.3171388
116,sub-028,Lco,3.0699806
105,sub-011,Lco,9.478408
111,sub-023,Lco,-0.1304143
104,sub-016,Lco,1.389391
97,sub-009,Lco,11.437295
102,sub-014,Lco,7.232105
101,sub-013,Lco,-4.401131
100,sub-012,Lco,-1.687862
99,sub-006,Lco,10.380754
98,sub-010,Lco,10.976013
96,sub-008,Lco,18.295789
95,sub-007,Lco,5.326919
94,sub-004,Lco,2.186449
93,sub-030,Lco,5.485975
92,sub-002,Lco,1.929615
91,sub-001,Lco,10.149707
90,sub-003,Lco,17.270670
118,sub-005,Lco,11.5375258
103,sub-015,Lco,3.915016
119,sub-017,Lco,-8.1225265
