ID;class;accuracy
sub-029;likableness_ch;7,0947729
sub-013;likableness_ch;2,1600672
sub-030;likableness_ch;13,2481358
sub-029;likableness_co;9,4887475
sub-017;likableness_ch;5,8556535
sub-014;likableness_ch;7,0863849
sub-028;likableness_ch;6,7404157
sub-001;affect_co;3,5143068
sub-012;likableness_ch;6,6311979
sub-030;likableness_co;0,1955027
sub-011;likableness_ch;18,1324824
sub-004;likableness_ch;20,1814388
sub-009;likableness_ch;8,6369321
sub-008;likableness_ch;6,2636763
sub-007;likableness_ch;12,5538305
sub-006;likableness_ch;7,39581
sub-005;likableness_ch;6,9772438
sub-002;affect_co;7,1702402
sub-003;likableness_ch;0,6073508
sub-002;likableness_ch;3,5602606
sub-001;likableness_ch;10,1033501
sub-010;likableness_ch;12,6977429
sub-003;affect_co;4,1967442
sub-004;affect_co;9,6001904
sub-005;affect_co;5,1815174
sub-026;affect_co;3,8868265
sub-027;affect_co;3,9128553
sub-028;affect_co;2,7076421
sub-029;affect_co;1,7697872
sub-030;affect_co;8,202365
sub-027;likableness_ch;18,1907849
sub-026;likableness_ch;1,8524525
sub-025;likableness_ch;9,2772427
sub-024;likableness_ch;17,9259146
sub-023;likableness_ch;8,0799856
sub-022;likableness_ch;14,4374926
sub-021;likableness_ch;6,6663141
sub-020;likableness_ch;10,5107472
sub-019;likableness_ch;7,2833417
sub-018;likableness_ch;2,6384908
sub-025;affect_co;2,3125631
sub-024;affect_co;4,4328499
sub-023;affect_co;8,1904094
sub-022;affect_co;7,4095333
sub-006;affect_co;7,6182123
sub-007;affect_co;11,9947937
sub-008;affect_co;4,4739025
sub-009;affect_co;5,5768023
sub-010;affect_co;0,9561743
sub-011;affect_co;8,6558694
sub-012;affect_co;5,3054795
sub-016;likableness_ch;7,50922
sub-013;affect_co;10,2541415
sub-015;affect_co;5,4246582
sub-016;affect_co;13,1759414
sub-017;affect_co;6,5011673
sub-018;affect_co;2,4282831
sub-015;likableness_ch;7,1667922
sub-020;affect_co;3,768689
sub-021;affect_co;0,0951684
sub-014;affect_co;9,1658876
sub-019;affect_co;6,9781891
sub-006;affect_ch;9,449717
sub-002;affect_ch;9,876821
sub-029;affect_ch;4,3284089
sub-004;likableness_co;-1,1152754
sub-005;likableness_co;-0,2340208
sub-006;likableness_co;-0,6487412
sub-007;likableness_co;4,6049472
sub-008;likableness_co;4,0122601
sub-009;likableness_co;3,3137044
sub-010;likableness_co;7,0615842
sub-011;likableness_co;5,6474946
sub-012;likableness_co;4,392289
sub-013;likableness_co;-5,6386798
sub-014;likableness_co;2,3489363
sub-015;likableness_co;7,4376165
sub-002;likableness_co;2,0843038
sub-016;likableness_co;-5,9129976
sub-018;likableness_co;-2,6628014
sub-019;likableness_co;-2,61962
sub-020;likableness_co;6,1723472
sub-021;likableness_co;4,8117997
sub-022;likableness_co;3,5589714
sub-023;likableness_co;1,4015585
sub-024;likableness_co;3,9667258
sub-025;likableness_co;9,9704264
sub-026;likableness_co;-0,677287
sub-027;likableness_co;1,7253011
sub-028;likableness_co;2,7946898
sub-001;affect_ch;3,2277306
sub-030;affect_ch;9,6816317
sub-017;likableness_co;-4,3576274
sub-001;likableness_co;1,2773313
sub-003;likableness_co;7,1371933
sub-015;affect_ch;9,492788
sub-025;affect_ch;12,4703032
sub-024;affect_ch;10,0328378
sub-023;affect_ch;5,6946507
sub-022;affect_ch;9,5807791
sub-021;affect_ch;7,592397
sub-020;affect_ch;4,81913
sub-019;affect_ch;6,2487391
sub-018;affect_ch;9,8429394
sub-017;affect_ch;4,0464815
sub-016;affect_ch;3,0381535
sub-014;affect_ch;14,7041263
sub-013;affect_ch;16,6553774
sub-012;affect_ch;8,3715216
sub-011;affect_ch;2,9857017
sub-010;affect_ch;7,197124
sub-009;affect_ch;2,935582
sub-008;affect_ch;10,7512808
sub-007;affect_ch;7,8896061
sub-005;affect_ch;3,7442923
sub-004;affect_ch;8,9521581
sub-003;affect_ch;9,8619988
sub-026;affect_ch;13,3187177
sub-027;affect_ch;18,4039482
sub-028;affect_ch;10,8303045
