ID;class;accuracy
sub-027;likableness_ch;26,4849411
sub-006;likableness_co;5,4355406
sub-007;likableness_co;5,2470602
sub-008;likableness_co;9,8580739
sub-009;likableness_co;7,9218274
sub-010;likableness_co;15,3589824
sub-011;likableness_co;12,1857641
sub-012;likableness_co;5,4805685
sub-013;likableness_co;-4,310294
sub-014;likableness_co;6,1301925
sub-015;likableness_co;6,6291671
sub-016;likableness_co;0,4672239
sub-017;likableness_co;-2,5752382
sub-018;likableness_co;-0,0894614
sub-019;likableness_co;-0,2671093
sub-021;likableness_ch;8,7389812
sub-020;likableness_co;4,9726587
sub-021;likableness_co;14,7774742
sub-022;likableness_co;0,8887389
sub-023;likableness_co;0,2552071
sub-024;likableness_co;9,0277343
sub-025;likableness_co;14,7916257
sub-026;likableness_co;4,7391787
sub-027;likableness_co;4,0933727
sub-028;likableness_co;1,4242568
sub-022;likableness_ch;17,1019232
sub-005;likableness_co;4,0076596
sub-004;likableness_co;-6,2957411
sub-003;likableness_co;10,4471794
sub-002;likableness_co;2,3726953
sub-028;likableness_ch;10,2176803
sub-029;likableness_ch;10,2938077
sub-030;likableness_ch;13,5445711
sub-025;likableness_ch;15,7644819
sub-001;likableness_ch;10,5865658
sub-002;likableness_ch;6,0760464
sub-003;likableness_ch;20,2631394
sub-004;likableness_ch;23,8901151
sub-005;likableness_ch;4,8296857
sub-006;likableness_ch;15,2372382
sub-007;likableness_ch;16,7456356
sub-008;likableness_ch;13,419808
sub-026;likableness_ch;9,6280551
sub-009;likableness_ch;15,5597557
sub-011;likableness_ch;20,9167743
sub-024;likableness_ch;13,4164213
sub-012;likableness_ch;16,7030739
sub-013;likableness_ch;8,2654881
sub-014;likableness_ch;-1,219247
sub-015;likableness_ch;3,7756167
sub-016;likableness_ch;9,216895
sub-017;likableness_ch;3,0380979
sub-018;likableness_ch;9,5507718
sub-019;likableness_ch;8,398905
sub-020;likableness_ch;11,6381955
sub-001;likableness_co;14,0117814
sub-010;likableness_ch;12,5442991
sub-023;likableness_ch;18,0558663
sub-012;affect_co;6,3934412
sub-002;affect_co;3,8091086
sub-008;affect_ch;15,9103303
sub-009;affect_ch;9,9799817
sub-010;affect_ch;8,5378495
sub-011;affect_ch;9,7921928
sub-012;affect_ch;2,0051279
sub-013;affect_ch;13,1385461
sub-014;affect_ch;8,1446481
sub-015;affect_ch;11,4228583
sub-016;affect_ch;7,9442491
sub-017;affect_ch;9,5126176
sub-018;affect_ch;8,2632902
sub-001;affect_co;12,8537637
sub-020;affect_ch;6,7570472
sub-021;affect_ch;5,4253187
sub-022;affect_ch;8,9819573
sub-023;affect_ch;14,9734019
sub-024;affect_ch;5,1587705
sub-025;affect_ch;14,2117349
sub-026;affect_ch;17,3645558
sub-027;affect_ch;18,2205007
sub-028;affect_ch;13,4190524
sub-029;affect_ch;3,513845
sub-030;affect_ch;8,8763652
sub-029;affect_co;2,6708707
sub-030;affect_co;4,7599849
sub-029;likableness_co;14,6317334
sub-030;likableness_co;-0,9308731
sub-007;affect_ch;7,108642
sub-006;affect_ch;10,1970012
sub-019;affect_ch;4,5460037
sub-004;affect_ch;7,2937595
sub-006;affect_co;4,2418918
sub-005;affect_ch;11,4853372
sub-005;affect_co;1,2292136
sub-004;affect_co;8,3655257
sub-003;affect_co;2,9930354
sub-007;affect_co;10,5471888
sub-008;affect_co;2,4018526
sub-009;affect_co;2,0397094
sub-010;affect_co;4,1302361
sub-013;affect_co;11,9815991
sub-014;affect_co;9,1718842
sub-015;affect_co;3,9919992
sub-016;affect_co;14,4906009
sub-017;affect_co;4,0682079
sub-011;affect_co;0,4692267
sub-019;affect_co;5,2198192
sub-003;affect_ch;15,9108315
sub-018;affect_co;6,1879463
sub-001;affect_ch;0,0286112
sub-028;affect_co;0,2157547
sub-027;affect_co;9,0256148
sub-026;affect_co;7,7898844
sub-002;affect_ch;7,837651
sub-024;affect_co;4,2729652
sub-025;affect_co;7,3382149
sub-021;affect_co;-0,3884307
sub-020;affect_co;3,5055991
sub-023;affect_co;9,6141229
sub-022;affect_co;7,7147637
