ID;class;accuracy
sub-010;likableness_co;4,1972909
sub-001;likableness_co;1,5788288
sub-002;likableness_co;-4,0381713
sub-003;likableness_co;0,167229
sub-004;likableness_co;-4,9995812
sub-005;likableness_co;1,4264369
sub-006;likableness_co;1,7139555
sub-007;likableness_co;-5,9286813
sub-008;likableness_co;5,2741847
sub-009;likableness_co;-1,6943381
sub-011;likableness_co;1,8468714
sub-025;likableness_co;6,0689721
sub-013;likableness_co;-3,4198879
sub-014;likableness_co;-3,6516977
sub-015;likableness_co;1,8386716
sub-016;likableness_co;-5,1267782
sub-017;likableness_co;-5,6613893
sub-018;likableness_co;-1,3020876
sub-019;likableness_co;-2,71985
sub-020;likableness_co;-6,1011933
sub-022;likableness_co;-0,5591665
sub-023;likableness_co;-8,0950084
sub-024;likableness_co;1,2291798
sub-026;likableness_co;-1,240844
sub-027;likableness_co;-2,287469
sub-028;likableness_co;-1,8046921
sub-012;likableness_co;-4,9624604
sub-021;likableness_co;2,8292142
sub-030;likableness_ch;11,6610996
sub-029;affect_co;4,9020762
sub-002;likableness_ch;5,30919
sub-003;likableness_ch;5,3893686
sub-004;likableness_ch;12,1651986
sub-005;likableness_ch;6,8400775
sub-006;likableness_ch;5,7997562
sub-007;likableness_ch;4,9380685
sub-008;likableness_ch;2,5281522
sub-009;likableness_ch;2,8504185
sub-010;likableness_ch;0,840173
sub-011;likableness_ch;10,1165401
sub-012;likableness_ch;2,9932805
sub-013;likableness_ch;1,4866889
sub-001;likableness_ch;3,704667
sub-030;affect_co;5,1594247
sub-016;likableness_ch;6,3863916
sub-017;likableness_ch;1,6851247
sub-018;likableness_ch;0,0517864
sub-019;likableness_ch;2,8967026
sub-020;likableness_ch;7,408069
sub-021;likableness_ch;3,5687208
sub-022;likableness_ch;7,3159419
sub-023;likableness_ch;11,4188476
sub-024;likableness_ch;11,0606501
sub-025;likableness_ch;1,4803167
sub-026;likableness_ch;4,1688541
sub-027;likableness_ch;10,3968089
sub-015;likableness_ch;-7,0628019
sub-030;affect_ch;6,849684
sub-029;affect_ch;6,098786
sub-028;affect_ch;12,6029364
sub-001;affect_ch;7,4918053
sub-002;affect_ch;4,698637
sub-003;affect_ch;7,3562393
sub-004;affect_ch;8,5087632
sub-005;affect_ch;4,4431
sub-006;affect_ch;5,3511649
sub-007;affect_ch;8,3008368
sub-008;affect_ch;5,2563996
sub-009;affect_ch;5,8426184
sub-010;affect_ch;2,2732506
sub-011;affect_ch;8,7507178
sub-012;affect_ch;2,3045036
sub-013;affect_ch;10,9799186
sub-014;affect_ch;3,9590573
sub-015;affect_ch;9,4553994
sub-016;affect_ch;14,1272043
sub-017;affect_ch;6,4108282
sub-018;affect_ch;0,8868879
sub-019;affect_ch;6,7735305
sub-020;affect_ch;1,5670456
sub-021;affect_ch;5,1172433
sub-022;affect_ch;8,7325356
sub-023;affect_ch;7,5831972
sub-024;affect_ch;8,1078579
sub-025;affect_ch;9,5320904
sub-026;affect_ch;6,962361
sub-027;affect_ch;8,4952051
sub-028;likableness_ch;3,6523168
sub-029;likableness_ch;3,0172089
sub-014;likableness_ch;-2,5903896
sub-030;likableness_co;-1,7917325
sub-026;affect_co;8,7918778
sub-025;affect_co;-1,0375666
sub-024;affect_co;4,0007727
sub-023;affect_co;9,1716955
sub-021;affect_co;1,1104096
sub-020;affect_co;-2,197647
sub-019;affect_co;5,301836
sub-018;affect_co;7,7534284
sub-017;affect_co;3,2794743
sub-016;affect_co;2,6028679
sub-015;affect_co;0,5690222
sub-014;affect_co;7,9265827
sub-013;affect_co;9,2053594
sub-012;affect_co;5,3056569
sub-011;affect_co;4,6315553
sub-010;affect_co;3,2478274
sub-009;affect_co;0,4996542
sub-008;affect_co;0,1498134
sub-007;affect_co;8,7333275
sub-006;affect_co;4,2167477
sub-005;affect_co;-3,1791853
sub-004;affect_co;5,4649396
sub-003;affect_co;11,0182547
sub-002;affect_co;4,0042852
sub-001;affect_co;2,546287
sub-027;affect_co;4,1399107
sub-028;affect_co;1,0891063
sub-022;affect_co;9,7147428
sub-029;likableness_co;-1,5939047
