ID;class;accuracy
sub-005;affect_ch;10,1857724
sub-004;affect_ch;7,6625094
sub-003;affect_ch;9,8048209
sub-002;affect_ch;3,2475425
sub-001;affect_ch;0,9274246
sub-030;affect_co;-0,2838447
sub-029;affect_co;1,3395503
sub-001;likableness_ch;7,5532401
sub-002;likableness_ch;8,9516467
sub-003;likableness_ch;16,5319037
sub-004;likableness_ch;21,4596711
sub-005;likableness_ch;8,7613075
sub-006;likableness_ch;12,9900017
sub-007;likableness_ch;13,1705839
sub-008;likableness_ch;15,1066249
sub-009;likableness_ch;11,2678492
sub-010;likableness_ch;16,5780534
sub-011;likableness_ch;17,6783047
sub-012;likableness_ch;9,5134962
sub-006;affect_ch;6,3640624
sub-007;affect_ch;12,7937441
sub-029;affect_ch;5,2855995
sub-009;affect_ch;6,0336875
sub-030;affect_ch;7,194785
sub-027;affect_ch;12,0882958
sub-026;affect_ch;10,4972913
sub-025;affect_ch;19,2096368
sub-024;affect_ch;6,7737184
sub-023;affect_ch;11,8620682
sub-022;affect_ch;3,0990828
sub-013;likableness_ch;-3,6934532
sub-021;affect_ch;11,4878456
sub-028;affect_ch;10,0786931
sub-020;affect_ch;7,3287695
sub-018;affect_ch;4,1428761
sub-017;affect_ch;9,1846754
sub-016;affect_ch;7,9983807
sub-015;affect_ch;12,0082003
sub-014;affect_ch;8,9609321
sub-013;affect_ch;8,6388432
sub-012;affect_ch;2,4089076
sub-011;affect_ch;8,5118869
sub-010;affect_ch;14,0150415
sub-019;affect_ch;1,3209016
sub-008;affect_ch;11,2066861
sub-001;likableness_co;15,1376396
sub-016;likableness_ch;9,1010343
sub-021;likableness_co;17,590591
sub-022;likableness_co;12,4810406
sub-023;likableness_co;4,7469843
sub-024;likableness_co;5,7443774
sub-025;likableness_co;7,5446704
sub-026;likableness_co;-2,3172697
sub-020;likableness_co;0,1006316
sub-027;likableness_co;7,1506352
sub-029;likableness_co;15,5613755
sub-030;likableness_co;-3,5083588
sub-001;affect_co;7,813448
sub-002;affect_co;7,5361403
sub-003;affect_co;1,4832105
sub-004;affect_co;11,9309251
sub-028;likableness_co;-0,3552057
sub-019;likableness_co;2,1048836
sub-018;likableness_co;-9,3681019
sub-017;likableness_co;-4,2474687
sub-002;likableness_co;-1,7553729
sub-003;likableness_co;9,8754936
sub-004;likableness_co;-0,6646752
sub-005;likableness_co;3,7646669
sub-006;likableness_co;10,1090347
sub-007;likableness_co;5,3256602
sub-008;likableness_co;4,8438748
sub-009;likableness_co;4,9040447
sub-010;likableness_co;8,4571499
sub-011;likableness_co;11,8630706
sub-012;likableness_co;-1,40593
sub-013;likableness_co;-5,868163
sub-014;likableness_co;4,7770737
sub-015;likableness_co;5,6731544
sub-016;likableness_co;5,9458612
sub-005;affect_co;-3,2209088
sub-006;affect_co;3,2322153
sub-007;affect_co;4,0855007
sub-008;affect_co;-4,4132199
sub-028;affect_co;5,5703698
sub-030;likableness_ch;4,9134348
sub-029;likableness_ch;12,8720605
sub-028;likableness_ch;6,3306234
sub-027;likableness_ch;26,8728103
sub-026;likableness_ch;9,1972362
sub-025;likableness_ch;27,2194998
sub-024;likableness_ch;16,3800521
sub-023;likableness_ch;14,9308464
sub-022;likableness_ch;16,6401814
sub-021;likableness_ch;9,6962833
sub-020;likableness_ch;4,85965
sub-019;likableness_ch;1,3887968
sub-018;likableness_ch;7,4779562
sub-017;likableness_ch;10,1580545
sub-027;affect_co;5,3352748
sub-015;likableness_ch;6,910093
sub-026;affect_co;6,5766122
sub-024;affect_co;0,2549985
sub-009;affect_co;2,0637985
sub-010;affect_co;-0,1863575
sub-011;affect_co;-0,2585182
sub-012;affect_co;5,1320758
sub-013;affect_co;5,9851569
sub-014;affect_co;13,311678
sub-015;affect_co;4,6681593
sub-016;affect_co;9,9027713
sub-017;affect_co;8,0805549
sub-018;affect_co;3,5485805
sub-019;affect_co;10,8990555
sub-020;affect_co;3,0775355
sub-021;affect_co;-7,2833877
sub-022;affect_co;11,6720043
sub-023;affect_co;7,1514758
sub-025;affect_co;2,8019766
sub-014;likableness_ch;-0,6147063
