category;accuracy
semantic;0.665241322
semantic;0.592080702
semantic;0.703429099
semantic;0.634646966
semantic;0.644766543
semantic;0.625576985
semantic;0.612387683
semantic;0.651111739
semantic;0.664282551
semantic;0.670610772
semantic;0.655179247
semantic;0.624773674
semantic;0.635249808
semantic;0.636053153
semantic;0.625047312
semantic;0.624916093
semantic;0.587744716
semantic;0.631571742
semantic;0.624988544
semantic;0.647652441
semantic;0.62013929
semantic;0.612180493
semantic;0.665128975
semantic;0.612032752
semantic;0.690540502
semantic;0.644961298
semantic;0.694411653
semantic;0.690004103
semantic;0.627275712
semantic;0.637417767
social;0.622261489
social;0.588176781
social;0.655596642
social;0.62223596
social;0.588519071
social;0.627959396
social;0.621019906
social;0.62414394
social;0.613316347
social;0.626718041
social;0.620618704
social;0.61782472
social;0.618521752
social;0.645507114
social;0.623950267
social;0.598869506
social;0.570191581
social;0.610021221
social;0.626914474
social;0.628519486
social;0.609694454
social;0.60792666
social;0.629963464
social;0.609571212
social;0.652998074
social;0.604152434
social;0.682025288
social;0.630383207
social;0.606107303
social;0.645288304
