cateogry;accuracy
semantic;0.636366996
semantic;0.599305367
semantic;0.696630243
semantic;0.731399384
semantic;0.662699005
semantic;0.696972855
semantic;0.724037747
semantic;0.717603517
semantic;0.704430513
semantic;0.650960883
semantic;0.712083511
semantic;0.606906117
semantic;0.610327422
semantic;0.566028361
semantic;0.643939044
semantic;0.641953399
semantic;0.58120086
semantic;0.664078266
semantic;0.624191685
semantic;0.650146939
semantic;0.658954308
semantic;0.673735462
semantic;0.684300734
semantic;0.64706584
semantic;0.760194258
semantic;0.634875716
semantic;0.769968953
semantic;0.690145984
semantic;0.663522984
semantic;0.613251065
social;0.632308608
social;0.597091747
social;0.647129941
social;0.671578066
social;0.657441291
social;0.63108062
social;0.68535501
social;0.636221353
social;0.646881462
social;0.659423826
social;0.694410487
social;0.601080012
social;0.590427198
social;0.59818729
social;0.622874525
social;0.605172432
social;0.576244542
social;0.639068268
social;0.618386095
social;0.628789579
social;0.614816407
social;0.663936622
social;0.656826204
social;0.651768606
social;0.705664501
social;0.624431832
social;0.721273004
social;0.652337256
social;0.645829297
social;0.618940081
