ID;1_LTL;2_IFG;3_Prec;4_ATL;5_aPFC;6_Ins;7_ACC;8_PCC;9_V1;10_PM;1_LTL_2;2_IFG_2;3_Prec_2;4_ATL_2;5_aPFC_2;6_Ins_2;7_ACC_2;8_PCC_2;9_V1_2;10_PM_2
sub-001;0,598855847;0,553800403;0,605554435;0,547871304;0,58906082;0,551606183;0,54750336;0,52358871;0,553657594;0,537199261;0,599751717;0,507334914;0,646268917;0,615292712;0,628355548;0,539788991;0,680704898;0,489066856;0,518019153;0,500034224
sub-002;0,642983871;0,626167675;0,58734543;0,609875672;0,596554099;0,613193884;0,580740927;0,584252352;0,599385081;0,547219422;0,594977412;0,539353408;0,546594982;0,604420238;0,543021642;0,550726802;0,571460573;0,564760367;0,513509309;0,552315126
sub-003;0,595554435;0,572409274;0,581617944;0,550971102;0,574872312;0,608701277;0,550596438;0,581339046;0,63374496;0,578336694;0,671291629;0,662609518;0,614228644;0,564760367;0,603662634;0,574573439;0,657356071;0,571353233;0,518644527;0,633047404
sub-004;0,664872312;0,631651546;0,622093414;0,566419691;0,627138777;0,610383065;0,643481183;0,642357191;0,586965726;0,661281922;0,528466933;0,542985862;0,535426934;0,503568673;0,544361061;0,550018979;0,536332325;0,539865218;0,543737244;0,515428987
sub-005;0,546058468;0,558870968;0,562111895;0,526782594;0,531433132;0,563469422;0,560057124;0,583088038;0,52890961;0,56172547;0,618273347;0,562691346;0,571348566;0,559852275;0,560247411;0,570079152;0,644031885;0,550893257;0,536954587;0,555667563
sub-006;0,523449261;0,614361559;0,566659946;0,594919355;0,551367608;0,56500504;0,558141801;0,613101478;0,537699933;0,545295699;0,66130899;0,648134147;0,617657308;0,546428527;0,633901459;0,562910693;0,571371901;0,576645572;0,541563993;0,565491525
sub-007;0,637676411;0,564075941;0,616140793;0,542310148;0,580099126;0,60843582;0,605131048;0,61999496;0,589489247;0,605683804;0,585777268;0,562198203;0,585856606;0,55446193;0,582063919;0,519643257;0,65423076;0,581160083;0,474516814;0,550134097
sub-008;0,60139953;0,59921539;0,591935484;0,542293347;0,551236559;0,583785282;0,616659946;0,60171707;0,593850806;0,54202621;0,682974599;0,564092991;0,62060683;0,552343128;0,571749925;0,542159809;0,594660058;0,566375137;0,533381248;0,518848317
sub-009;0,596987567;0,608422379;0,597291667;0,515535954;0,576372648;0,601433132;0,589349798;0,573217406;0,51937332;0,564558132;0,659236858;0,572706653;0,632114011;0,512372125;0,571158776;0,517555568;0,609222546;0,56667849;0,513084615;0,498252999
sub-010;0,591354167;0,558652554;0,577138777;0,569786626;0,557333669;0,546925403;0,577155578;0,556313844;0,584569892;0,525737567;0,667371378;0,628469111;0,665840614;0,567633662;0,603692192;0,578391017;0,654011412;0,61831535;0,529123419;0,569526894
sub-011;0,557207661;0,562799059;0,553561828;0,551418011;0,51719254;0,563553427;0,540756048;0,585436828;0,568035954;0,554855511;0,666218638;0,61699771;0,670832711;0,630228557;0,667178477;0,606377253;0,687008413;0,627251033;0,582550839;0,605761213
sub-012;0,624966398;0,585215054;0,621466734;0,634630376;0,618029234;0,59094422;0,656528898;0,590539315;0,612315188;0,611586022;0,550088983;0,510466448;0,580609381;0,528356481;0,525000933;0,54626985;0,552648036;0,51982838;0,460727487;0,524086208
sub-013;0,631656586;0,663765121;0,62047043;0,604647177;0,588066196;0,627710013;0,593815524;0,572380712;0,585446909;0,630082325;0,524627576;0,495424818;0,508630775;0,457729739;0,450693511;0,477719907;0,522032743;0,511941209;0,500220903;0,501431203
sub-014;0,680877016;0,611478495;0,616426411;0,58328461;0,635477151;0,620732527;0,601838038;0,61124664;0,579946237;0,645912298;0,602850582;0,565270622;0,569780466;0,49909772;0,550953928;0,566491811;0,563540733;0,571872822;0,470003858;0,55073458
sub-015;0,586999328;0,650793011;0,611636425;0,563262769;0,640875336;0,596342406;0,581177755;0,604171707;0,55374664;0,626772513;0,503053751;0,480036278;0,522754567;0,527328193;0,519350794;0,505805705;0,5201364;0,526265681;0,491599462;0,487996565
sub-016;0,6496875;0,634438844;0,655176411;0,566357527;0,632316868;0,620540995;0,695297379;0,65358871;0,549042339;0,667750336;0,600135964;0,611302457;0,570371615;0,555919579;0,614449547;0,557182771;0,680846463;0,513540422;0,495886848;0,580100682
sub-017;0,561424731;0,571801075;0,579003696;0,588099798;0,588383737;0,582518481;0,572985551;0,585226815;0,579784946;0,596364247;0,495294143;0,536215651;0,535968302;0,523957089;0,538102661;0,537029259;0,50800229;0,529054971;0,487700991;0,504309165
sub-018;0,599638777;0,581207997;0,579828629;0,576313844;0,567903226;0,586043347;0,581611223;0,558400538;0,582515121;0,565525874;0,557587241;0,527998681;0,546406748;0,469619611;0,473793434;0,531539352;0,56756988;0,549457387;0,51037622;0,560942789
sub-019;0,597508401;0,584983199;0,567878024;0,63015121;0,607054772;0,601108871;0,581419691;0,589667339;0,560329301;0,63109039;0,580743168;0,59179143;0,542449161;0,553148957;0,563651185;0,554332811;0,542372934;0,512339456;0,515203417;0,562874913
sub-020;0,645322581;0,606972446;0,600325941;0,600712366;0,585453629;0,602293347;0,611493616;0,565268817;0,54499496;0,599826949;0,588093638;0,54518867;0,59637439;0,580060235;0,554356145;0,548606444;0,549981643;0,594246254;0,520452198;0,517518232
sub-021;0,545752688;0,566797715;0,614956317;0,549910954;0,540171371;0,60530914;0,593329973;0,581071909;0,560404906;0,571359207;0,693022576;0,648530839;0,657877215;0,658333022;0,709632305;0,601081803;0,72434258;0,582244375;0,556213598;0,582177482
sub-022;0,602757056;0,631454973;0,57015625;0,513886089;0,60594254;0,621814516;0,591224798;0,580641801;0,599406922;0,59312164;0,605002053;0,580007343;0,557504791;0,582521281;0,604474686;0,599589929;0,593371976;0,565395074;0,517703355;0,600794006
sub-023;0,629447245;0,611784274;0,589358199;0,534144825;0,572362231;0,627792339;0,60718582;0,551772513;0,566586022;0,593225806;0,594786066;0,590433343;0,582821523;0,539837216;0,592071448;0,528588274;0,585652815;0,588079637;0,527096401;0,554460374
sub-024;0,554109543;0,545374664;0,552716734;0,536004704;0,542587366;0,572118616;0,586947245;0,554168347;0,567412634;0,560803091;0,620865069;0,59968638;0,620483933;0,559934725;0,61404041;0,592228569;0,663046657;0,580455371;0,552444245;0,590053763
sub-025;0,622145497;0,661747312;0,605966062;0,577622648;0,594470766;0,575136089;0,582580645;0,595866935;0,544141465;0,628022513;0,617053714;0,582560173;0,627370818;0,592962839;0,584839207;0,552805157;0,650248283;0,592101006;0,549001581;0,579161066
sub-026;0,634831989;0,606223118;0,626310484;0,576806116;0,599768145;0,608271169;0,64124832;0,567708333;0,572553763;0,590036962;0,602178539;0,567546545;0,595792575;0,495527492;0,571149442;0,578072108;0,588356544;0,539267846;0,540783055;0,549640955
sub-027;0,656448253;0,56922379;0,615095766;0,544942876;0,604200269;0,58374664;0,591999328;0,576374328;0,546886761;0,573466062;0,605834329;0,625186679;0,579742881;0,507476478;0,580824062;0,610754866;0,597981382;0,555367321;0,519374129;0,589697518
sub-028;0,57546203;0,603244288;0,582708333;0,546377688;0,608765121;0,572825941;0,599912634;0,588618952;0,568294691;0,592627688;0,541154856;0,553136512;0,537127265;0,563679187;0,49216261;0,558329289;0,535633836;0,550859033;0,520340191;0,549015581
sub-029;0,583091398;0,61562836;0,577731855;0,562103495;0,567557124;0,629030578;0,560129368;0,583346774;0,596396169;0,560898858;0,722262669;0,677291791;0,686311479;0,569058642;0,698504704;0,598438745;0,715324447;0,645375971;0,523096812;0,617016378
sub-030;0,580824933;0,593870968;0,596271841;0,543842406;0,51765961;0,60077789;0,558728159;0,587777218;0,566396169;0,607538642;0,642829363;0,61621366;0,607660668;0,544099711;0,550964817;0,601223367;0,581267423;0,548401098;0,581105635;0,602499004
