id,semantic,social,intersection
sub-001,0.427255069,0.399476343,0.415397808
sub-002,0.377785179,0.38697044,0.360883754
sub-003,0.512037476,0.439716457,0.466202965
sub-004,0.480874378,0.429430458,0.417959405
sub-005,0.437345163,0.405658437,0.41044173
sub-006,0.422556655,0.400516346,0.344996746
sub-007,0.478739179,0.452818517,0.406949988
sub-008,0.490640715,0.430745039,0.445871056
sub-009,0.496570624,0.423816355,0.443763858
sub-010,0.477705508,0.435270459,0.456008666
sub-011,0.517024561,0.48677019,0.472998779
sub-012,0.404538024,0.400207392,0.373794782
sub-013,0.415607237,0.371489725,0.331036127
sub-014,0.354783947,0.365293278,0.35366647
sub-015,0.397579018,0.381165775,0.379933351
sub-016,0.430348374,0.375788797,0.392238069
sub-017,0.349760299,0.359849673,0.355620769
sub-018,0.438520498,0.423413677,0.40981247
sub-019,0.407739823,0.403589346,0.344666498
sub-020,0.452431499,0.407824567,0.426481369
sub-021,0.437370491,0.396120505,0.416317632
sub-022,0.418031456,0.40888938,0.393487977
sub-023,0.462855047,0.424442175,0.395792554
sub-024,0.434293117,0.423255534,0.391799027
sub-025,0.571399837,0.490642144,0.534301082
sub-026,0.444498497,0.405540554,0.401597699
sub-027,0.550524856,0.506204107,0.433656675
sub-028,0.4700339,0.397154377,0.391759656
sub-029,0.436712821,0.402401776,0.365413793
sub-030,0.384589458,0.394845085,0.368099601
