ID;semantic;social;intersection
sub-001;0,398127055;0,394275154;0,37515854
sub-002;0,397263592;0,389617173;0,371760144
sub-003;0,398372009;0,418982162;0,418289827
sub-004;0,39598643;0,435049553;0,451107872
sub-005;0,401331189;0,405244555;0,42852618
sub-006;0,393942425;0,369301419;0,376595943
sub-007;0,406850137;0,40678096;0,433992396
sub-008;0,371580851;0,398310997;0,406400715
sub-009;0,418877376;0,390567731;0,393518519
sub-010;0,436650146;0,456072499;0,41864569
sub-011;0,501545932;0,508274907;0,434776588
sub-012;0,322637011;0,381238161;0,407183547
sub-013;0,415290842;0,432627231;0,390061266
sub-014;0,406007087;0,403186942;0,423765568
sub-015;0,39302725;0,415635138;0,437805512
sub-016;0,373335674;0,390068977;0,361723836
sub-017;0,394405796;0,359769761;0,283569238
sub-018;0,445665812;0,41875558;0,449409525
sub-019;0,451251443;0,446154132;0,463011273
sub-020;0,44335508;0,42594339;0,418364334
sub-021;0,431224416;0,415113024;0,371268195
sub-022;0,411502221;0,406753516;0,34793531
sub-023;0,428774196;0,421974229;0,39579557
sub-024;0,472884959;0,472681738;0,527099051
sub-025;0,438945228;0,405792753;0,498863005
sub-026;0,400056748;0,374792923;0,356150113
sub-027;0,450397506;0,439018714;0,409258511
sub-028;0,406371797;0,432670778;0,359160325
sub-029;0,455841607;0,500541167;0,475931914
sub-030;0,429284517;0,405300577;0,445705277
