ID;semantic;social;intersection
sub-001;0,665241322;0,622261489;0,632968287
sub-002;0,592080702;0,588176781;0,557143369
sub-003;0,703429099;0,655596642;0,629092492
sub-004;0,634646966;0,62223596;0,601780525
sub-005;0,644766543;0,588519071;0,603843446
sub-006;0,625576985;0,627959396;0,582816355
sub-007;0,612387683;0,621019906;0,596458108
sub-008;0,651111739;0,62414394;0,609515792
sub-009;0,664282551;0,613316347;0,622196682
sub-010;0,670610772;0,626718041;0,642377617
sub-011;0,655179247;0,620618704;0,576770341
sub-012;0,624773674;0,61782472;0,582826254
sub-013;0,635249808;0,618521752;0,57936953
sub-014;0,636053153;0,645507114;0,59435506
sub-015;0,625047312;0,623950267;0,609638834
sub-016;0,624916093;0,598869506;0,608527308
sub-017;0,587744716;0,570191581;0,581468018
sub-018;0,631571742;0,610021221;0,601172336
sub-019;0,624988544;0,626914474;0,59388884
sub-020;0,647652441;0,628519486;0,631199261
sub-021;0,62013929;0,609694454;0,635700602
sub-022;0,612180493;0,60792666;0,574224874
sub-023;0,665128975;0,629963464;0,631262954
sub-024;0,612032752;0,609571212;0,585647201
sub-025;0,690540502;0,652998074;0,660632337
sub-026;0,644961298;0,604152434;0,606810416
sub-027;0,694411653;0,682025288;0,625625303
sub-028;0,690004103;0,630383207;0,638084677
sub-029;0,627275712;0,606107303;0,590294667
sub-030;0,637417767;0,645288304;0,640450698
