Afable,A,80,8
Agradecido/a,B,89,8.9
Animado/a,C,90,9
Bondadoso/a,D,89,8.9
Carinoso/a,E,99,9.9
Compasivo/a,F,100,10
Empatico/a,G,100,10
Entusiasta,H,89,8.9
Sensible,I,100,10
Afable,A,29,2.9
Agradecido/a,B,81,8.1
Animado/a,C,100,10
Bondadoso/a,D,80,8
Carinoso/a,E,100,10
Compasivo/a,F,80,8
Empatico/a,G,80,8
Entusiasta,H,100,10
Sensible,I,90,9
Afable,A,60,6
Agradecido/a,B,60,6
Animado/a,C,100,10
Bondadoso/a,D,5,0.5
Carinoso/a,E,90,9
Compasivo/a,F,100,10
Empatico/a,G,100,10
Entusiasta,H,100,10
Sensible,I,70,7
Afable,A,63,6.3
Agradecido/a,B,98,9.8
Animado/a,C,100,10
Bondadoso/a,D,50,5
Carinoso/a,E,51,5.1
Compasivo/a,F,57,5.7
Empatico/a,G,80,8
Entusiasta,H,44,4.4
Sensible,I,57,5.7
Afable,A,71,7.1
Agradecido/a,B,30,3
Animado/a,C,70,7
Bondadoso/a,D,48,4.8
Carinoso/a,E,59,5.9
Compasivo/a,F,83,8.3
Empatico/a,G,92,9.2
Entusiasta,H,80,8
Sensible,I,80,8
Afable,A,50,5
Agradecido/a,B,44,4.4
Animado/a,C,89,8.9
Bondadoso/a,D,70,7
Carinoso/a,E,83,8.3
Compasivo/a,F,72,7.2
Empatico/a,G,82,8.2
Entusiasta,H,91,9.1
Sensible,I,91,9.1
Afable,A,61,6.1
Agradecido/a,B,65,6.5
Animado/a,C,65,6.5
Bondadoso/a,D,77,7.7
Carinoso/a,E,47,4.7
Compasivo/a,F,70,7
Empatico/a,G,77,7.7
Entusiasta,H,60,6
Sensible,I,54,5.4
Afable,A,75,7.5
Agradecido/a,B,75,7.5
Animado/a,C,83,8.3
Bondadoso/a,D,85,8.5
Carinoso/a,E,80,8
Compasivo/a,F,100,10
Empatico/a,G,100,10
Entusiasta,H,100,10
Sensible,I,94,9.4
Afable,A,55,5.5
Agradecido/a,B,55,5.5
Animado/a,C,49,4.9
Bondadoso/a,D,85,8.5
Carinoso/a,E,86,8.6
Compasivo/a,F,90,9
Empatico/a,G,100,10
Entusiasta,H,49,4.9
Sensible,I,67,6.7
Afable,A,50,5
Agradecido/a,B,79,7.9
Animado/a,C,78,7.8
Bondadoso/a,D,65,6.5
Carinoso/a,E,86,8.6
Compasivo/a,F,84,8.4
Empatico/a,G,91,9.1
Entusiasta,H,79,7.9
Sensible,I,91,9.1
Afable,A,45,4.5
Agradecido/a,B,32,3.2
Animado/a,C,60,6
Bondadoso/a,D,52,5.2
Carinoso/a,E,52,5.2
Compasivo/a,F,60,6
Empatico/a,G,38,3.8
Entusiasta,H,78,7.8
Sensible,I,63,6.3
Afable,A,80,8
Agradecido/a,B,75,7.5
Animado/a,C,90,9
Bondadoso/a,D,90,9
Carinoso/a,E,100,10
Compasivo/a,F,100,10
Empatico/a,G,90,9
Entusiasta,H,100,10
Sensible,I,100,10
Afable,A,90,9
Agradecido/a,B,74,7.4
Animado/a,C,60,6
Bondadoso/a,D,93,9.3
Carinoso/a,E,90,9
Compasivo/a,F,100,10
Empatico/a,G,100,10
Entusiasta,H,80,8
Sensible,I,90,9
Afable,A,26,2.6
Agradecido/a,B,94,9.4
Animado/a,C,64,6.4
Bondadoso/a,D,9,0.9
Carinoso/a,E,89,8.9
Compasivo/a,F,91,9.1
Empatico/a,G,96,9.6
Entusiasta,H,92,9.2
Sensible,I,90,9
Afable,A,80,8
Agradecido/a,B,51,5.1
Animado/a,C,100,10
Bondadoso/a,D,61,6.1
Carinoso/a,E,51,5.1
Compasivo/a,F,70,7
Empatico/a,G,100,10
Entusiasta,H,79,7.9
Sensible,I,31,3.1
Afable,A,73,7.3
Agradecido/a,B,95,9.5
Animado/a,C,85,8.5
Bondadoso/a,D,70,7
Carinoso/a,E,82,8.2
Compasivo/a,F,95,9.5
Empatico/a,G,100,10
Entusiasta,H,86,8.6
Sensible,I,95,9.5
Afable,A,91,9.1
Agradecido/a,B,100,10
Animado/a,C,91,9.1
Bondadoso/a,D,62,6.2
Carinoso/a,E,69,6.9
Compasivo/a,F,60,6
Empatico/a,G,81,8.1
Entusiasta,H,79,7.9
Sensible,I,80,8
Afable,A,49,4.9
Agradecido/a,B,50,5
Animado/a,C,50,5
Bondadoso/a,D,40,4
Carinoso/a,E,20,2
Compasivo/a,F,68,6.8
Empatico/a,G,60,6
Entusiasta,H,70,7
Sensible,I,61,6.1
Afable,A,100,10
Agradecido/a,B,90,9
Animado/a,C,60,6
Bondadoso/a,D,100,10
Carinoso/a,E,80,8
Compasivo/a,F,100,10
Empatico/a,G,100,10
Entusiasta,H,20,2
Sensible,I,80,8
Afable,A,77,7.7
Agradecido/a,B,67,6.7
Animado/a,C,73,7.3
Bondadoso/a,D,91,9.1
Carinoso/a,E,90,9
Compasivo/a,F,72,7.2
Empatico/a,G,61,6.1
Entusiasta,H,70,7
Sensible,I,78,7.8
Afable,A,80,8
Agradecido/a,B,90,9
Animado/a,C,90,9
Bondadoso/a,D,100,10
Carinoso/a,E,100,10
Compasivo/a,F,100,10
Empatico/a,G,100,10
Entusiasta,H,90,9
Sensible,I,100,10
Afable,A,79,7.9
Agradecido/a,B,90,9
Animado/a,C,100,10
Bondadoso/a,D,90,9
Carinoso/a,E,89,8.9
Compasivo/a,F,100,10
Empatico/a,G,90,9
Entusiasta,H,79,7.9
Sensible,I,100,10
Afable,A,86,8.6
Agradecido/a,B,100,10
Animado/a,C,97,9.7
Bondadoso/a,D,85,8.5
Carinoso/a,E,99,9.9
Compasivo/a,F,96,9.6
Empatico/a,G,100,10
Entusiasta,H,100,10
Sensible,I,100,10
Afable,A,60,6
Agradecido/a,B,37,3.7
Animado/a,C,34,3.4
Bondadoso/a,D,58,5.8
Carinoso/a,E,63,6.3
Compasivo/a,F,76,7.6
Empatico/a,G,57,5.7
Entusiasta,H,56,5.6
Sensible,I,63,6.3
Afable,A,80,8
Agradecido/a,B,65,6.5
Animado/a,C,80,8
Bondadoso/a,D,75,7.5
Carinoso/a,E,90,9
Compasivo/a,F,85,8.5
Empatico/a,G,90,9
Entusiasta,H,70,7
Sensible,I,100,10
Afable,A,65,6.5
Agradecido/a,B,90,9
Animado/a,C,65,6.5
Bondadoso/a,D,60,6
Carinoso/a,E,90,9
Compasivo/a,F,100,10
Empatico/a,G,100,10
Entusiasta,H,100,10
Sensible,I,100,10
Afable,A,82,8.2
Agradecido/a,B,28,2.8
