Comprensivo/a,A,90,9
Concienzudo/a,B,50,5
Cooperativo/a,C,79,7.9
Generoso/a,D,77,7.7
Indulgente,E,90,9
Ingenioso/a,F,10,1
Inteligente,G,0,0
Leal,H,90,9
Sincero/a,I,80,8
Comprensivo/a,A,70,7
Concienzudo/a,B,30,3
Cooperativo/a,C,30,3
Generoso/a,D,70,7
Indulgente,E,20,2
Ingenioso/a,F,30,3
Inteligente,G,50,5
Leal,H,50,5
Sincero/a,I,70,7
Comprensivo/a,A,70,7
Concienzudo/a,B,0,0
Cooperativo/a,C,0,0
Generoso/a,D,15,1.5
Indulgente,E,40,4
Ingenioso/a,F,0,0
Inteligente,G,0,0
Leal,H,0,0
Sincero/a,I,0,0
Comprensivo/a,A,87,8.7
Concienzudo/a,B,50,5
Cooperativo/a,C,63,6.3
Generoso/a,D,38,3.8
Indulgente,E,34,3.4
Ingenioso/a,F,35,3.5
Inteligente,G,38,3.8
Leal,H,31,3.1
Sincero/a,I,92,9.2
Comprensivo/a,A,29,2.9
Concienzudo/a,B,49,4.9
Cooperativo/a,C,40,4
Generoso/a,D,50,5
Indulgente,E,70,7
Ingenioso/a,F,19,1.9
Inteligente,G,0,0
Leal,H,19,1.9
Sincero/a,I,41,4.1
Comprensivo/a,A,53,5.3
Concienzudo/a,B,27,2.7
Cooperativo/a,C,29,2.9
Generoso/a,D,81,8.1
Indulgente,E,57,5.7
Ingenioso/a,F,8,0.8
Inteligente,G,18,1.8
Leal,H,90,9
Sincero/a,I,53,5.3
Comprensivo/a,A,59,5.9
Concienzudo/a,B,35,3.5
Cooperativo/a,C,53,5.3
Generoso/a,D,68,6.8
Indulgente,E,59,5.9
Ingenioso/a,F,17,1.7
Inteligente,G,11,1.1
Leal,H,52,5.2
Sincero/a,I,65,6.5
Comprensivo/a,A,83,8.3
Concienzudo/a,B,69,6.9
Cooperativo/a,C,67,6.7
Generoso/a,D,80,8
Indulgente,E,70,7
Ingenioso/a,F,58,5.8
Inteligente,G,75,7.5
Leal,H,65,6.5
Sincero/a,I,81,8.1
Comprensivo/a,A,60,6
Concienzudo/a,B,5,0.5
Cooperativo/a,C,60,6
Generoso/a,D,100,10
Indulgente,E,79,7.9
Ingenioso/a,F,10,1
Inteligente,G,10,1
Leal,H,74,7.4
Sincero/a,I,10,1
Comprensivo/a,A,79,7.9
Concienzudo/a,B,35,3.5
Cooperativo/a,C,50,5
Generoso/a,D,60,6
Indulgente,E,20,2
Ingenioso/a,F,19,1.9
Inteligente,G,10,1
Leal,H,31,3.1
Sincero/a,I,20,2
Comprensivo/a,A,78,7.8
Concienzudo/a,B,19,1.9
Cooperativo/a,C,21,2.1
Generoso/a,D,31,3.1
Indulgente,E,39,3.9
Ingenioso/a,F,16,1.6
Inteligente,G,5,0.5
Leal,H,23,2.3
Sincero/a,I,27,2.7
Comprensivo/a,A,60,6
Concienzudo/a,B,74,7.4
Cooperativo/a,C,69,6.9
Generoso/a,D,70,7
Indulgente,E,69,6.9
Ingenioso/a,F,4,0.4
Inteligente,G,0,0
Leal,H,76,7.6
Sincero/a,I,84,8.4
Comprensivo/a,A,97,9.7
Concienzudo/a,B,21,2.1
