Condescendiente,A,5,0.5
Cruel,B,10,1
Despiadado,C,5,0.5
Envidioso/a,D,15,1.5
Exaltado/a,E,40,4
Insensible,F,30,3
Neurotico/a,G,10,1
Pesimista,H,51,5.1
Resentido/a,I,30,3
Condescendiente,A,20,2
Cruel,B,0,0
Despiadado,C,0,0
Envidioso/a,D,0,0
Exaltado/a,E,20,2
Insensible,F,10,1
Neurotico/a,G,10,1
Pesimista,H,20,2
Resentido/a,I,10,1
Condescendiente,A,25,2.5
Cruel,B,0,0
Despiadado,C,0,0
Envidioso/a,D,12,1.2
Exaltado/a,E,30,3
Insensible,F,16,1.6
Neurotico/a,G,32,3.2
Pesimista,H,37,3.7
Resentido/a,I,40,4
Condescendiente,A,5,0.5
Cruel,B,9,0.9
Despiadado,C,38,3.8
Envidioso/a,D,56,5.6
Exaltado/a,E,25,2.5
Insensible,F,24,2.4
Neurotico/a,G,41,4.1
Pesimista,H,34,3.4
Resentido/a,I,27,2.7
Condescendiente,A,19,1.9
Cruel,B,9,0.9
Despiadado,C,0,0
Envidioso/a,D,10,1
Exaltado/a,E,10,1
Insensible,F,8,0.8
Neurotico/a,G,10,1
Pesimista,H,19,1.9
Resentido/a,I,10,1
Condescendiente,A,19,1.9
Cruel,B,0,0
Despiadado,C,2,0.2
Envidioso/a,D,2,0.2
Exaltado/a,E,12,1.2
Insensible,F,21,2.1
Neurotico/a,G,4,0.4
Pesimista,H,29,2.9
Resentido/a,I,7,0.7
Condescendiente,A,6,0.6
Cruel,B,2,0.2
Despiadado,C,4,0.4
Envidioso/a,D,21,2.1
Exaltado/a,E,9,0.9
Insensible,F,11,1.1
Neurotico/a,G,4,0.4
Pesimista,H,21,2.1
Resentido/a,I,6,0.6
Condescendiente,A,19,1.9
Cruel,B,0,0
Despiadado,C,0,0
Envidioso/a,D,25,2.5
Exaltado/a,E,7,0.7
Insensible,F,30,3
Neurotico/a,G,13,1.3
Pesimista,H,31,3.1
Resentido/a,I,11,1.1
Condescendiente,A,37,3.7
Cruel,B,10,1
Despiadado,C,5,0.5
Envidioso/a,D,19,1.9
Exaltado/a,E,30,3
Insensible,F,25,2.5
Neurotico/a,G,20,2
Pesimista,H,11,1.1
Resentido/a,I,20,2
Condescendiente,A,25,2.5
Cruel,B,9,0.9
Despiadado,C,7,0.7
Envidioso/a,D,15,1.5
Exaltado/a,E,15,1.5
Insensible,F,13,1.3
Neurotico/a,G,13,1.3
Pesimista,H,30,3
Resentido/a,I,15,1.5
Condescendiente,A,12,1.2
Cruel,B,6,0.6
Despiadado,C,5,0.5
Envidioso/a,D,14,1.4
Exaltado/a,E,14,1.4
Insensible,F,31,3.1
Neurotico/a,G,9,0.9
Pesimista,H,10,1
Resentido/a,I,8,0.8
Condescendiente,A,4,0.4
Cruel,B,30,3
Despiadado,C,10,1
Envidioso/a,D,15,1.5
Exaltado/a,E,5,0.5
Insensible,F,50,5
Neurotico/a,G,9,0.9
Pesimista,H,4,0.4
Resentido/a,I,0,0
Condescendiente,A,0,0
Cruel,B,0,0
Despiadado,C,0,0
Envidioso/a,D,10,1
Exaltado/a,E,0,0
Insensible,F,85,8.5
Neurotico/a,G,50,5
Pesimista,H,28,2.8
Resentido/a,I,0,0
Condescendiente,A,0,0
Cruel,B,4,0.4
Despiadado,C,3,0.3
Envidioso/a,D,10,1
Exaltado/a,E,9,0.9
Insensible,F,20,2
Neurotico/a,G,12,1.2
Pesimista,H,29,2.9
Resentido/a,I,16,1.6
Condescendiente,A,0,0
Cruel,B,0,0
Despiadado,C,1,0.1
Envidioso/a,D,71,7.1
Exaltado/a,E,30,3
Insensible,F,50,5
