Afable,A,80,8
Agradecido/a,B,91,9.1
Animado/a,C,90,9
Bondadoso/a,D,91,9.1
Carinoso/a,E,50,5
Compasivo/a,F,80,8
Empatico/a,G,80,8
Entusiasta,H,60,6
Sensible,I,71,7.1
Afable,A,89,8.9
Agradecido/a,B,100,10
Animado/a,C,100,10
Bondadoso/a,D,100,10
Carinoso/a,E,100,10
Compasivo/a,F,80,8
Empatico/a,G,80,8
Entusiasta,H,80,8
Sensible,I,20,2
Afable,A,100,10
Agradecido/a,B,100,10
Animado/a,C,100,10
Bondadoso/a,D,100,10
Carinoso/a,E,80,8
Compasivo/a,F,95,9.5
Empatico/a,G,100,10
Entusiasta,H,80,8
Sensible,I,75,7.5
Afable,A,73,7.3
Agradecido/a,B,90,9
Animado/a,C,85,8.5
Bondadoso/a,D,93,9.3
Carinoso/a,E,95,9.5
Compasivo/a,F,54,5.4
Empatico/a,G,60,6
Entusiasta,H,62,6.2
Sensible,I,83,8.3
Afable,A,80,8
Agradecido/a,B,90,9
Animado/a,C,90,9
Bondadoso/a,D,79,7.9
Carinoso/a,E,95,9.5
Compasivo/a,F,90,9
Empatico/a,G,89,8.9
Entusiasta,H,59,5.9
Sensible,I,70,7
Afable,A,93,9.3
Agradecido/a,B,97,9.7
Animado/a,C,95,9.5
Bondadoso/a,D,84,8.4
Carinoso/a,E,96,9.6
Compasivo/a,F,79,7.9
Empatico/a,G,82,8.2
Entusiasta,H,84,8.4
Sensible,I,72,7.2
Afable,A,84,8.4
Agradecido/a,B,94,9.4
Animado/a,C,88,8.8
Bondadoso/a,D,90,9
Carinoso/a,E,81,8.1
Compasivo/a,F,80,8
Empatico/a,G,93,9.3
Entusiasta,H,43,4.3
Sensible,I,54,5.4
Afable,A,90,9
Agradecido/a,B,90,9
Animado/a,C,90,9
Bondadoso/a,D,100,10
Carinoso/a,E,90,9
Compasivo/a,F,82,8.2
Empatico/a,G,100,10
Entusiasta,H,75,7.5
Sensible,I,79,7.9
Afable,A,99,9.9
Agradecido/a,B,69,6.9
Animado/a,C,100,10
Bondadoso/a,D,81,8.1
Carinoso/a,E,90,9
Compasivo/a,F,84,8.4
Empatico/a,G,65,6.5
Entusiasta,H,90,9
Sensible,I,60,6
Afable,A,89,8.9
Agradecido/a,B,86,8.6
Animado/a,C,70,7
Bondadoso/a,D,85,8.5
Carinoso/a,E,76,7.6
Compasivo/a,F,85,8.5
Empatico/a,G,86,8.6
Entusiasta,H,84,8.4
Sensible,I,70,7
Afable,A,91,9.1
Agradecido/a,B,89,8.9
Animado/a,C,97,9.7
Bondadoso/a,D,84,8.4
Carinoso/a,E,90,9
Compasivo/a,F,76,7.6
Empatico/a,G,85,8.5
Entusiasta,H,56,5.6
Sensible,I,61,6.1
Afable,A,100,10
Agradecido/a,B,100,10
Animado/a,C,90,9
Bondadoso/a,D,100,10
Carinoso/a,E,100,10
Compasivo/a,F,90,9
Empatico/a,G,100,10
Entusiasta,H,70,7
Sensible,I,90,9
Afable,A,100,10
Agradecido/a,B,91,9.1
Animado/a,C,91,9.1
Bondadoso/a,D,100,10
Carinoso/a,E,79,7.9
Compasivo/a,F,85,8.5
Empatico/a,G,100,10
Entusiasta,H,85,8.5
Sensible,I,80,8
Afable,A,99,9.9
Agradecido/a,B,88,8.8
Animado/a,C,91,9.1
Bondadoso/a,D,96,9.6
Carinoso/a,E,90,9
Compasivo/a,F,63,6.3
Empatico/a,G,78,7.8
Entusiasta,H,69,6.9
Sensible,I,90,9
Afable,A,100,10
Agradecido/a,B,100,10
Animado/a,C,100,10
Bondadoso/a,D,100,10
Carinoso/a,E,70,7
Compasivo/a,F,99,9.9
Empatico/a,G,99,9.9
Entusiasta,H,70,7
Sensible,I,80,8
Afable,A,70,7
Agradecido/a,B,75,7.5
Animado/a,C,84,8.4
Bondadoso/a,D,80,8
Carinoso/a,E,75,7.5
Compasivo/a,F,67,6.7
Empatico/a,G,75,7.5
Entusiasta,H,45,4.5
Sensible,I,55,5.5
Afable,A,88,8.8
Agradecido/a,B,100,10
Animado/a,C,90,9
Bondadoso/a,D,59,5.9
Carinoso/a,E,77,7.7
Compasivo/a,F,69,6.9
Empatico/a,G,80,8
Entusiasta,H,19,1.9
Sensible,I,80,8
Afable,A,100,10
Agradecido/a,B,60,6
Animado/a,C,80,8
Bondadoso/a,D,90,9
Carinoso/a,E,80,8
Compasivo/a,F,90,9
Empatico/a,G,80,8
Entusiasta,H,70,7
Sensible,I,60,6
Afable,A,100,10
Agradecido/a,B,100,10
Animado/a,C,80,8
Bondadoso/a,D,70,7
Carinoso/a,E,80,8
Compasivo/a,F,70,7
Empatico/a,G,100,10
Entusiasta,H,20,2
Sensible,I,60,6
Afable,A,100,10
Agradecido/a,B,99,9.9
Animado/a,C,94,9.4
Bondadoso/a,D,96,9.6
Carinoso/a,E,84,8.4
Compasivo/a,F,84,8.4
Empatico/a,G,93,9.3
Entusiasta,H,78,7.8
Sensible,I,71,7.1
Afable,A,100,10
