Aburrido/a,A,49,4.9
Codicioso/a,B,20,2
Egoista,C,26,2.6
Farsante,D,50,5
Hostil,E,40,4
Irresponsable,F,40,4
Maleducado/a,G,30,3
Prejuicioso/a,H,20,2
Vago/a,I,40,4
Aburrido/a,A,40,4
Codicioso/a,B,0,0
Egoista,C,0,0
Farsante,D,0,0
Hostil,E,60,6
Irresponsable,F,10,1
Maleducado/a,G,0,0
Prejuicioso/a,H,10,1
Vago/a,I,0,0
Aburrido/a,A,20,2
Codicioso/a,B,10,1
Egoista,C,32,3.2
Farsante,D,0,0
Hostil,E,0,0
Irresponsable,F,15,1.5
Maleducado/a,G,20,2
Prejuicioso/a,H,45,4.5
Vago/a,I,30,3
Aburrido/a,A,35,3.5
Codicioso/a,B,24,2.4
Egoista,C,61,6.1
Farsante,D,39,3.9
Hostil,E,53,5.3
Irresponsable,F,37,3.7
Maleducado/a,G,14,1.4
Prejuicioso/a,H,19,1.9
Vago/a,I,19,1.9
Aburrido/a,A,19,1.9
Codicioso/a,B,30,3
Egoista,C,3,0.3
Farsante,D,11,1.1
Hostil,E,0,0
Irresponsable,F,0,0
Maleducado/a,G,9,0.9
Prejuicioso/a,H,9,0.9
Vago/a,I,20,2
Aburrido/a,A,46,4.6
Codicioso/a,B,24,2.4
Egoista,C,2,0.2
Farsante,D,0,0
Hostil,E,2,0.2
Irresponsable,F,7,0.7
Maleducado/a,G,1,0.1
Prejuicioso/a,H,24,2.4
Vago/a,I,13,1.3
Aburrido/a,A,34,3.4
Codicioso/a,B,13,1.3
Egoista,C,33,3.3
Farsante,D,5,0.5
Hostil,E,6,0.6
Irresponsable,F,20,2
Maleducado/a,G,1,0.1
Prejuicioso/a,H,19,1.9
Vago/a,I,19,1.9
Aburrido/a,A,15,1.5
Codicioso/a,B,10,1
Egoista,C,11,1.1
Farsante,D,25,2.5
Hostil,E,0,0
Irresponsable,F,21,2.1
Maleducado/a,G,17,1.7
Prejuicioso/a,H,15,1.5
Vago/a,I,29,2.9
Aburrido/a,A,45,4.5
Codicioso/a,B,19,1.9
Egoista,C,41,4.1
Farsante,D,10,1
Hostil,E,10,1
Irresponsable,F,30,3
Maleducado/a,G,4,0.4
Prejuicioso/a,H,26,2.6
Vago/a,I,50,5
Aburrido/a,A,27,2.7
Codicioso/a,B,6,0.6
Egoista,C,7,0.7
Farsante,D,6,0.6
Hostil,E,5,0.5
Irresponsable,F,15,1.5
Maleducado/a,G,10,1
Prejuicioso/a,H,86,8.6
Vago/a,I,10,1
Aburrido/a,A,25,2.5
Codicioso/a,B,23,2.3
Egoista,C,13,1.3
Farsante,D,9,0.9
Hostil,E,13,1.3
Irresponsable,F,6,0.6
Maleducado/a,G,10,1
Prejuicioso/a,H,12,1.2
Vago/a,I,16,1.6
Aburrido/a,A,30,3
Codicioso/a,B,20,2
Egoista,C,49,4.9
Farsante,D,30,3
Hostil,E,5,0.5
Irresponsable,F,10,1
Maleducado/a,G,5,0.5
Prejuicioso/a,H,25,2.5
Vago/a,I,20,2
Aburrido/a,A,25,2.5
Codicioso/a,B,10,1
Egoista,C,0,0
Farsante,D,0,0
Hostil,E,0,0
Irresponsable,F,11,1.1
Maleducado/a,G,20,2
Prejuicioso/a,H,30,3
Vago/a,I,0,0
Aburrido/a,A,8,0.8
Codicioso/a,B,11,1.1
Egoista,C,19,1.9
Farsante,D,10,1
Hostil,E,7,0.7
Irresponsable,F,9,0.9
Maleducado/a,G,7,0.7
Prejuicioso/a,H,10,1
Vago/a,I,10,1
Aburrido/a,A,50,5
Codicioso/a,B,20,2
Egoista,C,30,3
Farsante,D,1,0.1
Hostil,E,0,0
Irresponsable,F,19,1.9
Maleducado/a,G,10,1
Prejuicioso/a,H,1,0.1
Vago/a,I,0,0
Aburrido/a,A,35,3.5
Codicioso/a,B,25,2.5
Egoista,C,0,0
Farsante,D,79,7.9
Hostil,E,5,0.5
Irresponsable,F,10,1
Maleducado/a,G,0,0
Prejuicioso/a,H,16,1.6
Vago/a,I,34,3.4
Aburrido/a,A,20,2
Codicioso/a,B,20,2
Egoista,C,19,1.9
Farsante,D,19,1.9
Hostil,E,17,1.7
Irresponsable,F,22,2.2
Maleducado/a,G,5,0.5
Prejuicioso/a,H,9,0.9
Vago/a,I,20,2
Aburrido/a,A,58,5.8
Codicioso/a,B,35,3.5
Egoista,C,70,7
Farsante,D,0,0
Hostil,E,10,1
Irresponsable,F,0,0
Maleducado/a,G,19,1.9
Prejuicioso/a,H,40,4
Vago/a,I,30,3
Aburrido/a,A,10,1
Codicioso/a,B,10,1
Egoista,C,50,5
Farsante,D,60,6
Hostil,E,10,1
Irresponsable,F,30,3
Maleducado/a,G,30,3
Prejuicioso/a,H,80,8
Vago/a,I,40,4
Aburrido/a,A,3,0.3
Codicioso/a,B,16,1.6
Egoista,C,24,2.4
Farsante,D,8,0.8
Hostil,E,10,1
Irresponsable,F,3,0.3
Maleducado/a,G,0,0
Prejuicioso/a,H,32,3.2
Vago/a,I,4,0.4
