Comprensivo/a,A,75,7.5
Concienzudo/a,B,60,6
Cooperativo/a,C,79,7.9
Generoso/a,D,84,8.4
Indulgente,E,80,8
Ingenioso/a,F,84,8.4
Inteligente,G,90,9
Leal,H,90,9
Sincero/a,I,80,8
Comprensivo/a,A,80,8
Concienzudo/a,B,70,7
Cooperativo/a,C,80,8
Generoso/a,D,100,10
Indulgente,E,70,7
Ingenioso/a,F,70,7
Inteligente,G,100,10
Leal,H,100,10
Sincero/a,I,100,10
Comprensivo/a,A,100,10
Concienzudo/a,B,85,8.5
Cooperativo/a,C,100,10
Generoso/a,D,74,7.4
Indulgente,E,100,10
Ingenioso/a,F,100,10
Inteligente,G,100,10
Leal,H,100,10
Sincero/a,I,95,9.5
Comprensivo/a,A,76,7.6
Concienzudo/a,B,72,7.2
Cooperativo/a,C,74,7.4
Generoso/a,D,83,8.3
Indulgente,E,74,7.4
Ingenioso/a,F,67,6.7
Inteligente,G,67,6.7
Leal,H,95,9.5
Sincero/a,I,95,9.5
Comprensivo/a,A,88,8.8
Concienzudo/a,B,70,7
Cooperativo/a,C,90,9
Generoso/a,D,90,9
Indulgente,E,99,9.9
Ingenioso/a,F,89,8.9
Inteligente,G,100,10
Leal,H,90,9
Sincero/a,I,77,7.7
Comprensivo/a,A,87,8.7
Concienzudo/a,B,91,9.1
Cooperativo/a,C,92,9.2
Generoso/a,D,91,9.1
Indulgente,E,69,6.9
Ingenioso/a,F,92,9.2
Inteligente,G,99,9.9
Leal,H,95,9.5
Sincero/a,I,85,8.5
Comprensivo/a,A,81,8.1
Concienzudo/a,B,71,7.1
Cooperativo/a,C,92,9.2
Generoso/a,D,81,8.1
Indulgente,E,75,7.5
Ingenioso/a,F,91,9.1
Inteligente,G,90,9
Leal,H,91,9.1
Sincero/a,I,89,8.9
Comprensivo/a,A,80,8
Concienzudo/a,B,100,10
Cooperativo/a,C,82,8.2
Generoso/a,D,100,10
Indulgente,E,81,8.1
Ingenioso/a,F,77,7.7
Inteligente,G,95,9.5
Leal,H,85,8.5
