Subject,Aburrido/a,Afable,Agradecido/a,Animado/a,Bondadoso/a,Carinoso/a,Codicioso/a,Compasivo/a,Comprensivo/a,Concienzudo/a,Condescendiente,Cooperativo/a,Cruel,Despiadado,Egoista,Empatico/a,Entusiasta,Envidioso/a,Exaltado/a,Farsante,Generoso/a,Hostil,Indulgente,Ingenioso/a,Insensible,Inteligente,Irresponsable,Leal,Maleducado/a,Neurotico/a,Pesimista,Prejuicioso/a,Resentido/a,Sensible,Sincero/a,Vago/a,2Aburrido/a,2Afable,2Agradecido/a,2Animado/a,2Bondadoso/a,2Carinoso/a,2Codicioso/a,2Compasivo/a,2Comprensivo/a,2Concienzudo/a,2Condescendiente,2Cooperativo/a,2Cruel,2Despiadado,2Egoista,2Empatico/a,2Entusiasta,2Envidioso/a,2Exaltado/a,2Farsante,2Generoso/a,2Hostil,2Indulgente,2Ingenioso/a,2Insensible,2Inteligente,2Irresponsable,2Leal,2Maleducado/a,2Neurotico/a,2Pesimista,2Prejuicioso/a,2Resentido/a,2Sensible,2Sincero/a,2Vago/a
sub-001,10,80,89,90,89,99,40,100,90,50,0,79,10,0,25,100,89,50,21,59,77,40,90,10,0,0,30,90,31,99,91,1,30,100,80,40,49,90,100,98,80,99,40,90,85,80,1,81,0,1,10,94,99,39,90,39,90,30,80,77,30,50,39,80,41,20,80,30,79,100,89,50
sub-002,30,29,81,100,80,100,0,80,70,30,30,30,0,0,0,80,100,0,40,0,70,60,20,30,0,50,9,50,0,69,20,10,10,90,70,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub-003,85,60,60,100,5,90,5,100,70,0,15,0,100,80,26,100,100,100,100,0,15,65,40,0,100,0,0,0,15,40,100,19,80,70,0,0,80,70,10,100,10,100,0,100,20,0,40,0,85,80,50,100,100,90,100,10,15,85,70,0,50,0,0,0,30,90,100,60,90,100,10,0
sub-004,33,63,98,100,50,51,23,57,87,50,46,63,37,19,40,80,44,66,58,49,38,59,34,35,52,38,25,31,60,32,66,20,49,57,92,29,24,64,84,81,32,61,29,53,67,43,39,37,22,37,34,53,88,41,54,16,28,59,30,29,80,47,19,41,9,16,24,23,76,85,55,26
sub-005,10,71,30,70,48,59,20,83,29,49,11,40,9,19,20,92,80,50,90,10,50,80,70,19,0,0,5,19,50,81,70,29,81,80,41,11,49,49,60,80,60,71,0,70,80,30,63,20,1,0,20,91,86,10,80,10,50,70,50,10,0,50,1,51,49,89,90,20,69,91,80,0
sub-006,1,50,44,89,70,83,2,72,53,27,8,29,88,89,72,82,91,87,98,26,81,30,57,8,17,18,29,90,39,81,49,8,75,91,53,19,22,52,54,69,46,92,19,69,48,21,19,51,39,30,41,83,78,56,76,16,60,8,54,32,24,22,71,48,8,81,60,34,48,98,62,10
sub-007,9,61,65,65,77,47,64,70,59,35,66,53,87,83,57,77,60,59,78,74,68,90,59,17,52,11,64,52,58,78,61,66,71,54,65,37,46,58,56,44,53,48,60,47,64,37,61,37,79,83,58,59,47,56,54,77,60,67,41,35,55,39,39,57,56,76,60,69,63,39,65,47
sub-008,65,75,75,83,85,80,88,100,83,69,64,67,85,75,76,100,100,15,85,60,80,80,70,58,68,75,54,65,68,83,58,75,67,94,81,58,65,72,74,80,85,87,67,90,89,67,70,59,80,77,66,92,75,66,78,65,67,67,71,66,98,70,67,69,64,71,71,63,70,94,65,56
sub-009,6,55,55,49,85,86,5,90,60,5,10,60,79,4,19,100,49,59,91,20,100,50,79,10,10,10,26,74,2,60,70,34,90,67,10,5,5,76,61,60,74,90,20,91,79,10,16,60,5,21,20,100,59,61,80,6,80,30,51,17,18,5,30,76,17,89,60,60,70,89,30,7
sub-010,69,50,79,78,65,86,73,84,79,35,18,50,80,12,90,91,79,74,86,15,60,96,20,19,15,10,10,31,20,94,79,85,80,91,20,12,59,69,80,79,86,91,79,80,17,38,25,30,80,49,81,91,92,84,91,29,80,92,54,21,11,25,19,30,21,89,89,29,90,86,29,20
sub-011,7,45,32,60,52,52,16,60,78,19,34,21,22,15,29,38,78,31,62,15,31,70,39,16,15,5,12,23,25,69,38,23,40,63,27,20,56,67,45,64,61,78,37,66,71,12,36,52,40,72,52,90,76,31,88,33,74,35,72,21,48,38,18,66,34,96,75,63,72,98,50,5
sub-012,5,80,75,90,90,100,49,100,60,74,11,69,50,30,49,90,100,70,90,75,70,70,69,4,20,0,20,76,31,89,59,50,80,100,84,9,30,75,84,90,79,100,30,100,74,50,31,79,2,44,60,100,90,60,70,62,80,4,69,33,2,40,34,65,32,73,75,50,60,100,59,29
sub-013,0,90,74,60,93,90,50,100,97,21,62,70,31,30,50,100,80,50,12,15,80,31,92,37,40,20,41,90,30,50,90,40,10,90,80,25,5,60,70,100,80,92,20,91,90,20,50,30,61,50,30,40,40,90,50,30,80,20,87,40,81,0,20,50,50,75,70,60,90,100,50,15
sub-014,50,26,94,64,9,89,51,91,36,12,91,39,75,87,31,96,92,100,97,21,48,77,40,9,87,10,46,24,58,95,62,35,85,90,41,19,63,52,85,88,64,91,44,94,56,33,76,53,71,55,18,86,92,83,82,44,75,72,78,11,76,13,27,51,36,94,86,77,85,83,54,32
sub-015,90,80,51,100,61,51,1,70,91,71,100,29,49,40,70,100,79,30,50,51,80,80,70,60,50,49,80,80,20,70,100,41,50,31,100,40,50,70,60,89,60,70,19,60,90,60,70,50,79,80,20,90,90,10,40,79,59,63,80,61,80,100,81,79,30,29,11,31,70,60,100,10
sub-016,45,73,95,85,70,82,14,95,90,24,50,60,55,74,64,100,86,97,65,15,85,63,87,54,74,15,76,60,86,85,76,29,84,95,16,14,66,85,71,56,64,98,26,80,83,26,49,75,64,84,85,96,78,85,75,14,91,80,64,62,85,36,76,72,75,94,89,34,65,96,33,84
sub-017,37,91,100,91,62,69,60,60,61,71,20,80,70,20,60,81,79,41,29,43,80,37,64,63,19,73,40,66,21,79,50,10,57,80,80,22,50,90,80,80,91,91,60,90,90,90,30,90,70,20,50,90,80,70,60,70,90,30,80,50,70,90,10,80,20,50,60,50,30,80,50,20
sub-018,8,49,50,50,40,20,10,68,40,49,69,60,9,30,30,60,70,40,100,38,60,70,50,50,61,40,21,70,6,100,50,31,80,61,52,40,31,41,50,42,50,30,10,39,50,39,40,49,91,90,50,28,61,49,90,9,21,68,39,30,59,31,31,30,59,79,39,10,51,66,11,39
sub-019,0,100,90,60,100,80,0,100,100,60,0,70,0,10,0,100,20,0,0,0,90,0,90,90,0,50,10,90,0,0,0,0,70,80,90,5,0,100,80,80,90,100,0,100,90,50,0,60,0,0,0,100,50,0,0,0,100,0,20,90,0,70,0,100,0,0,0,0,0,100,80,0
sub-020,58,77,67,73,91,90,44,72,68,33,97,27,54,64,57,61,70,37,84,36,54,75,57,38,74,19,31,74,47,85,64,64,63,78,81,44,35,60,67,58,64,91,37,77,70,57,89,66,83,66,52,66,96,75,87,55,76,78,57,53,14,45,42,71,76,93,68,64,60,67,64,54
sub-021,50,80,90,90,100,100,5,100,90,10,15,40,100,60,10,100,90,50,65,10,65,50,95,0,90,0,5,70,10,80,80,5,95,100,30,0,5,90,80,90,90,100,0,100,100,50,0,85,100,90,10,100,95,10,95,10,85,50,95,0,95,0,5,50,10,70,90,50,90,100,50,10
sub-022,80,79,90,100,90,89,78,100,60,50,99,58,30,82,81,90,79,90,100,80,70,90,88,20,40,21,69,90,21,100,100,100,100,100,90,30,80,81,100,90,69,90,69,91,81,80,80,90,90,90,80,100,90,100,90,70,90,90,90,70,100,78,80,70,71,100,100,90,89,100,70,71
sub-023,59,86,100,97,85,99,61,96,100,39,75,90,80,91,69,100,100,100,100,60,85,49,56,81,100,80,9,80,20,100,100,54,80,100,54,54,52,100,95,90,100,80,59,100,100,69,100,74,100,71,70,100,100,68,81,50,89,80,70,60,100,81,64,86,65,96,91,70,70,100,60,54
sub-024,56,60,37,34,58,63,49,76,49,54,43,60,83,88,63,57,56,67,88,58,52,57,63,54,18,50,63,54,69,54,84,76,59,63,81,36,46,65,55,57,38,57,24,59,65,57,56,75,33,42,48,58,65,58,61,28,49,75,42,83,42,62,32,80,37,44,62,36,28,55,52,42
sub-025,15,80,65,80,75,90,10,85,60,20,75,60,80,65,40,90,70,70,90,40,60,85,60,5,80,30,15,20,15,70,60,55,80,100,15,0,10,75,60,70,80,95,5,85,80,15,10,20,70,25,20,90,65,35,70,10,20,40,65,5,80,10,15,20,30,70,60,20,90,100,10,0
sub-026,15,65,90,65,60,90,15,100,70,30,70,55,85,65,25,100,100,100,100,15,70,95,65,0,100,5,10,60,20,100,80,75,100,100,10,20,70,70,100,80,70,95,35,100,80,5,85,55,100,65,5,95,100,100,100,10,60,85,30,10,100,5,25,75,20,100,90,65,100,100,10,15
sub-027,8,82,28,1,57,95,6,90,93,10,84,18,97,96,14,89,50,96,99,100,24,99,87,16,75,3,9,35,0,100,65,68,90,87,3,2,0,69,70,60,50,94,13,89,97,0,92,50,91,98,64,98,100,99,100,71,12,98,84,50,1,0,7,10,2,97,67,33,99,98,20,0
sub-028,100,90,100,100,100,100,80,100,100,60,100,100,100,90,100,100,75,80,80,60,100,100,100,10,100,5,0,100,80,100,60,90,0,100,10,0,75,100,75,100,100,100,90,100,100,75,90,50,100,100,100,90,50,75,100,90,100,100,90,0,75,0,75,100,100,50,10,100,10,75,75,10
sub-029,17,100,1,100,100,100,2,100,7,81,20,100,0,50,50,80,50,6,80,20,100,15,50,100,21,100,21,100,4,9,50,49,39,86,51,60,1,90,81,89,80,77,20,49,49,72,31,97,20,11,28,80,81,11,29,3,79,7,50,100,37,86,39,71,19,30,23,29,33,67,95,23
sub-030,50,91,85,84,90,78,50,66,86,55,65,94,0,0,71,89,100,81,50,19,82,86,88,70,27,87,64,92,54,51,74,30,34,90,69,30,31,86,81,87,95,88,7,88,86,86,4,81,0,11,0,84,74,1,8,3,87,11,55,53,11,60,6,52,6,11,54,6,4,86,70,2
