Concept,Pearson_corcoef
Aburrido/a,0.6217571419132526
Afable,0.6940191045335198
Agradecido/a,0.5285419694790793
Animado/a,0.592174513512727
Bondadoso/a,0.7061763502633622
Carinoso/a,0.8506312870000694
Codicioso/a,0.8279281792624302
Compasivo/a,0.635830348045416
Comprensivo/a,0.4991709006108456
Concienzudo/a,0.7601756111224462
Condescendiente,0.730832866104022
Cooperativo/a,0.5029925969218477
Cruel,0.6064594814858093
Despiadado,0.6159064626720326
Egoista,0.6248908263182267
Empatico/a,0.5003343658485592
Entusiasta,0.4332147465574663
Envidioso/a,0.6075132293309742
Exaltado/a,0.5922113025950826
Farsante,0.7554222865502619
Generoso/a,0.6948510839578601
Hostil,0.6934844083399886
Indulgente,0.3596332099596114
Ingenioso/a,0.7622204494495971
Insensible,0.6168799012540868
Inteligente,0.7173427360229397
Irresponsable,0.483133286686715
Leal,0.6492105754799635
Maleducado/a,0.5178859035016463
Neurotico/a,0.6014366087889476
Pesimista,0.5118154548710505
Prejuicioso/a,0.4788172574414807
Resentido/a,0.45807987857232063
Sensible,0.6344993680172419
Sincero/a,0.6433005315624861
Vago/a,0.558092606938574
