Subject,Aburrido/a,Afable,Agradecido/a,Animado/a,Bondadoso/a,Carinoso/a,Codicioso/a,Compasivo/a,Comprensivo/a,Concienzudo/a,Condescendiente,Cooperativo/a,Cruel,Despiadado,Egoista,Empatico/a,Entusiasta,Envidioso/a,Exaltado/a,Farsante,Generoso/a,Hostil,Indulgente,Ingenioso/a,Insensible,Inteligente,Irresponsable,Leal,Maleducado/a,Neurotico/a,Pesimista,Prejuicioso/a,Resentido/a,Sensible,Sincero/a,Vago/a,2Aburrido/a,2Afable,2Agradecido/a,2Animado/a,2Bondadoso/a,2Carinoso/a,2Codicioso/a,2Compasivo/a,2Comprensivo/a,2Concienzudo/a,2Condescendiente,2Cooperativo/a,2Cruel,2Despiadado,2Egoista,2Empatico/a,2Entusiasta,2Envidioso/a,2Exaltado/a,2Farsante,2Generoso/a,2Hostil,2Indulgente,2Ingenioso/a,2Insensible,2Inteligente,2Irresponsable,2Leal,2Maleducado/a,2Neurotico/a,2Pesimista,2Prejuicioso/a,2Resentido/a,2Sensible,2Sincero/a,2Vago/a
sub-001,49,80,91,90,91,50,20,80,75,60,5,79,10,5,26,80,60,15,40,50,84,40,80,84,30,90,40,90,30,10,51,20,30,71,80,40,50,90,90,89,80,85,40,80,87,80,30,79,9,9,90,76,79,39,50,40,99,40,80,79,40,85,49,79,40,10,50,30,50,79,90,50
sub-002,40,89,100,100,100,100,0,80,80,70,20,80,0,0,0,80,80,0,20,0,100,60,70,70,10,100,10,100,0,10,20,10,10,20,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub-003,20,100,100,100,100,80,10,95,100,85,25,100,0,0,32,100,80,12,30,0,74,0,100,100,16,100,15,100,20,32,37,45,40,75,95,30,25,100,100,91,100,80,15,95,100,80,20,95,10,0,30,94,65,20,30,40,75,5,80,94,5,100,25,100,25,40,40,40,30,70,100,30
sub-004,35,73,90,85,93,95,24,54,76,72,5,74,9,38,61,60,62,56,25,39,83,53,74,67,24,67,37,95,14,41,34,19,27,83,95,19,23,88,88,85,86,91,17,88,92,86,10,85,18,12,22,91,86,18,20,20,86,13,85,87,33,94,11,87,14,16,17,24,21,90,94,22
sub-005,19,80,90,90,79,95,30,90,88,70,19,90,9,0,3,89,59,10,10,11,90,0,99,89,8,100,0,90,9,10,19,9,10,70,77,20,19,81,80,90,80,80,19,90,90,80,11,80,0,10,11,90,91,19,20,10,90,10,70,90,10,89,9,91,9,11,9,10,20,90,89,10
sub-006,46,93,97,95,84,96,24,79,87,91,19,92,0,2,2,82,84,2,12,0,91,2,69,92,21,99,7,95,1,4,29,24,7,72,85,13,43,93,90,88,90,90,6,81,91,89,12,80,2,16,4,83,76,9,12,3,98,4,77,93,13,99,28,94,1,7,19,20,20,81,82,6
sub-007,34,84,94,88,90,81,13,80,81,71,6,92,2,4,33,93,43,21,9,5,81,6,75,91,11,90,20,91,1,4,21,19,6,54,89,19,26,86,91,89,90,93,10,88,85,83,11,83,3,1,15,80,87,19,15,6,87,10,62,91,12,86,24,82,13,8,11,7,8,59,74,14
sub-008,15,90,90,90,100,90,10,82,80,100,19,82,0,0,11,100,75,25,7,25,100,0,81,77,30,95,21,85,17,13,31,15,11,79,83,29,33,84,82,87,91,85,15,88,76,76,19,81,3,0,24,78,75,30,7,24,83,11,70,73,15,70,35,79,22,22,24,23,20,85,70,31
sub-009,45,99,69,100,81,90,19,84,90,86,37,80,10,5,41,65,90,19,30,10,93,10,70,90,25,99,30,85,4,20,11,26,20,60,70,50,3,100,70,90,100,91,20,95,90,88,11,77,20,20,19,95,80,30,19,20,90,10,50,90,21,90,30,90,0,29,10,10,20,59,71,31
sub-010,27,89,86,70,85,76,6,85,89,59,25,85,9,7,7,86,84,15,15,6,90,5,74,89,13,89,15,90,10,13,30,86,15,70,96,10,29,80,86,80,89,69,9,76,86,69,10,79,10,13,9,90,77,19,14,9,89,10,86,90,13,88,10,91,10,11,19,84,11,85,90,10
sub-011,25,91,89,97,84,90,23,76,93,96,12,98,6,5,13,85,56,14,14,9,90,13,85,95,31,85,6,96,10,9,10,12,8,61,67,16,11,87,95,90,97,98,11,79,85,88,11,93,15,5,6,93,93,17,6,16,91,5,93,84,10,95,11,89,8,15,5,7,9,92,89,16
sub-012,30,100,100,90,100,100,20,90,100,100,4,100,30,10,49,100,70,15,5,30,100,5,85,100,50,90,10,100,5,9,4,25,0,90,50,20,30,100,100,100,100,90,19,85,90,100,5,100,6,15,25,100,65,20,6,24,100,4,85,100,15,100,25,97,5,5,14,30,18,82,60,20
sub-013,25,100,91,91,100,79,10,85,93,97,0,100,0,0,0,100,85,10,0,0,100,0,86,100,85,100,11,100,20,50,28,30,0,80,100,0,5,90,70,100,90,90,20,80,100,70,0,75,30,10,15,85,70,10,30,0,90,25,90,80,0,80,11,89,10,10,14,60,9,80,60,40
sub-014,8,99,88,91,96,90,11,63,90,82,0,85,4,3,19,78,69,10,9,10,71,7,79,87,20,93,9,90,7,12,29,10,16,90,79,10,15,85,77,78,76,88,12,70,80,82,17,80,20,20,20,91,75,17,14,14,86,17,88,91,11,83,8,86,5,11,16,16,18,91,56,22
sub-015,50,100,100,100,100,70,20,99,100,99,0,100,0,1,30,99,70,71,30,1,100,0,60,99,50,100,19,100,10,71,70,1,50,80,99,0,60,71,100,100,99,100,20,80,100,89,0,80,1,0,30,100,90,20,19,0,90,10,80,80,30,100,30,100,51,60,40,1,70,81,100,20
sub-016,35,70,75,84,80,75,25,67,89,46,15,90,16,0,0,75,45,4,14,79,90,5,75,60,13,100,10,97,0,20,3,16,16,55,50,34,15,80,72,72,72,66,30,95,63,64,0,96,4,0,0,84,57,9,16,55,75,9,36,45,18,86,10,90,18,7,16,25,5,84,40,25
sub-017,20,88,100,90,59,77,20,69,50,70,20,80,10,21,19,80,19,11,5,19,80,17,21,55,13,64,22,68,5,72,11,9,14,80,20,20,10,80,70,80,80,81,30,70,90,90,0,80,10,10,10,80,60,10,10,30,80,20,70,20,20,90,10,70,0,40,20,10,11,80,20,5
