,Concept,Pearson_corcoef
0,Aburrido/a,0.7860524168342929
1,Afable,0.586074229967915
2,Agradecido/a,0.722544641560598
3,Animado/a,0.6443734777571314
4,Bondadoso/a,0.4166119115092406
5,Carinoso/a,0.33765238929785824
6,Codicioso/a,0.5852225022997118
7,Compasivo/a,-0.008210676376060055
8,Comprensivo/a,0.21488771174021265
9,Concienzudo/a,0.617366831780531
10,Condescendiente,0.44028021420876085
11,Cooperativo/a,0.6996953043554299
12,Cruel,0.22911720506113833
13,Despiadado,0.12352843511293032
14,Egoista,0.42342711023587676
15,Empatico/a,0.27931763962407924
16,Entusiasta,0.37952388818288063
17,Envidioso/a,0.531597489008241
18,Exaltado/a,0.4203709079827535
19,Farsante,0.8038003203474886
20,Generoso/a,0.4261128396327986
21,Hostil,0.6054061703956687
22,Indulgente,0.0576013176857672
23,Ingenioso/a,0.813973142465472
24,Insensible,0.1279017548038463
25,Inteligente,0.4244520419522579
26,Irresponsable,0.405783538748143
27,Leal,0.5820091113523254
28,Maleducado/a,0.5533462083551941
29,Neurotico/a,0.7162985099165822
30,Pesimista,0.8074358817643036
31,Prejuicioso/a,0.6797520141231852
32,Resentido/a,0.7985312838684594
33,Sensible,0.6261557644112289
34,Sincero/a,0.7274168209897952
35,Vago/a,0.5515008403666063
