roi;accuracy;category
7_ACC;0.02103789085187105;social
1_LTL;0.04035305715596025;semantic
4_ATL;0.01899494168763257;intersection
2_IFG;0.024798888071736053;semantic
6_Ins;0.02585161825817482;social
8_PCC;0.00955911563953062;social
5_aPFC;0.024798888071736053;intersection
3_Prec;0.028055791016989615;semantic
9_V1;0.04235836800517293;control
7_ACC;0.01049108434355001;social
1_LTL;0.012577219215611161;semantic
4_ATL;0.01604737835112002;intersection
2_IFG;0.015798836807028593;semantic
6_Ins;0.026000888757266635;social
8_PCC;0.01561552736987581;social
5_aPFC;0.03389489508682276;intersection
3_Prec;0.031701720367110726;semantic
9_V1;0.02234893184462469;control
7_ACC;0.06766768364646722;social
1_LTL;0.03715869270807163;semantic
4_ATL;0.023617383424208733;intersection
2_IFG;0.03476261391218552;semantic
6_Ins;0.0337326793279382;social
8_PCC;0.026142064038742002;social
5_aPFC;0.07441619048657663;intersection
3_Prec;0.05771773101714626;semantic
9_V1;0.021969340150255378;control
7_ACC;0.04189130951497139;social
1_LTL;0.082938599914896;semantic
4_ATL;0.015385460186252474;intersection
2_IFG;0.01958976691569685;semantic
6_Ins;0.04378083821928188;social
8_PCC;0.03071626592433319;social
5_aPFC;0.04378083821928188;intersection
3_Prec;0.04132776923570909;semantic
9_V1;0.028090432973276704;control
7_ACC;0.031169106986574945;social
1_LTL;0.05527282463154586;semantic
4_ATL;0.032740249165557365;intersection
2_IFG;0.013529298080677522;semantic
6_Ins;0.036040140134611154;social
8_PCC;0.024260533876763923;social
5_aPFC;0.029792991669280545;intersection
3_Prec;0.02384269886724177;semantic
9_V1;0.019281004788870657;control
7_ACC;0.03345812720787677;social
1_LTL;0.04378865600555029;semantic
4_ATL;0.028218509288551904;intersection
2_IFG;0.025179629850455642;semantic
6_Ins;0.044095319940992986;social
8_PCC;0.038553563957261776;social
5_aPFC;0.044095319940992986;intersection
3_Prec;0.03146200164519346;semantic
9_V1;0.01412243165785704;control
7_ACC;0.04075660016533053;social
1_LTL;0.061342458772044514;semantic
4_ATL;0.006129009260334458;intersection
2_IFG;0.04442678311400759;semantic
6_Ins;0.030331416417795184;social
8_PCC;0.01914157979124353;social
5_aPFC;0.016230785356709975;intersection
3_Prec;0.018249691655337675;semantic
9_V1;0.0171716419997105;control
7_ACC;0.028268338476296378;social
1_LTL;0.046344775093417764;semantic
4_ATL;0.03643902171685923;intersection
2_IFG;0.029154667937689345;semantic
6_Ins;0.02810366866428447;social
8_PCC;0.021212687570740543;social
5_aPFC;0.03643902171685923;intersection
3_Prec;0.047929153291359855;semantic
9_V1;0.01045126921574761;control
7_ACC;0.05973548981119401;social
1_LTL;0.034049229693245225;semantic
4_ATL;0.01872701132308158;intersection
2_IFG;0.018336927636842207;semantic
6_Ins;0.023422622373390864;social
8_PCC;0.014026776614386182;social
