roi;rsa;category
1_LTL;0.03795427531078194;semantic
2_IFG;0.022953707755521267;semantic
3_Prec;0.07211194730748349;semantic
4_ATL;0.01957150796078514;intersection
5_aPFC;-0.016816192470789536;intersection
6_Ins;-0.044105060146538415;social
7_ACC;-0.07029125932637376;social
8_PCC;0.006860885782366477;social
9_V1;0.04482708689217065;control
1_LTL;-0.005229017043523431;semantic
2_IFG;-0.010610761305495637;semantic
3_Prec;0.0047085971864738695;semantic
4_ATL;-0.05581744190893222;intersection
5_aPFC;-0.010226723038140552;intersection
6_Ins;-0.018269468454616147;social
7_ACC;-0.005314321543659678;social
8_PCC;-0.03261853026172132;social
9_V1;0.03601995719568532;control
1_LTL;0.031419813857565516;semantic
2_IFG;0.014048175676996863;semantic
3_Prec;0.0027587020761148696;semantic
4_ATL;0.08260417905457486;intersection
5_aPFC;0.14462630069377838;intersection
6_Ins;-0.017015399511889802;social
7_ACC;0.12824568076839205;social
8_PCC;-0.0093332323598714;social
9_V1;-0.010279258866180419;control
1_LTL;0.0572214295887655;semantic
2_IFG;0.09653062657614421;semantic
3_Prec;0.09277455295396189;semantic
4_ATL;0.002955029709568205;intersection
5_aPFC;0.1019694131185547;intersection
6_Ins;0.037357661763792044;social
7_ACC;0.05186648354692936;social
8_PCC;0.0037343336412091165;social
9_V1;0.03853997119261278;control
1_LTL;0.14045830369037163;semantic
2_IFG;0.092385068433081;semantic
3_Prec;0.01634720020312583;semantic
4_ATL;0.03826768422456249;intersection
5_aPFC;0.05426334928029828;intersection
6_Ins;0.04764359451913236;social
7_ACC;0.0761651167546384;social
8_PCC;0.05598232015767579;social
9_V1;-0.023658339414923107;control
1_LTL;0.02662760382220007;semantic
2_IFG;-0.07303301624047014;semantic
3_Prec;0.00816746315713459;semantic
4_ATL;-0.05496513091873193;intersection
5_aPFC;-0.044246076387764254;intersection
6_Ins;-0.008947606652715216;social
7_ACC;-0.011201557157971099;social
8_PCC;0.005075395894569402;social
9_V1;-0.026358661637822987;control
1_LTL;0.06841588360498495;semantic
2_IFG;0.11931302672255376;semantic
3_Prec;0.008276507202531508;semantic
4_ATL;0.04193899349538301;intersection
5_aPFC;0.06641781971229048;intersection
6_Ins;0.01611735066826423;social
7_ACC;0.09061289820460851;social
8_PCC;0.016829563455878497;social
9_V1;-0.01960477217362817;control
1_LTL;0.0401563954506668;semantic
2_IFG;-0.012537517674542363;semantic
3_Prec;-0.009014655966629362;semantic
4_ATL;-0.0017083166584120639;intersection
5_aPFC;0.017780789808454687;intersection
6_Ins;0.005021409088055598;social
7_ACC;0.009503757682365643;social
8_PCC;-0.016756634859264662;social
9_V1;-0.04232679481230869;control
1_LTL;0.06430243079075731;semantic
2_IFG;0.0314325004611364;semantic
3_Prec;-0.05373377951312886;semantic
4_ATL;0.015188635915192974;intersection
5_aPFC;0.0420847762561872;intersection
6_Ins;-0.016819829909412203;social
7_ACC;-0.008497450747979196;social
8_PCC;-0.08416398554306538;social
9_V1;-0.0727605288246554;control
1_LTL;0.0856220772727659;semantic
2_IFG;0.07337217359395903;semantic
3_Prec;0.013472141755432081;semantic
4_ATL;0.027841453674342653;intersection
5_aPFC;0.08168858035606917;intersection
6_Ins;0.056047759907878913;social
7_ACC;0.06735960498119048;social
8_PCC;0.04179792190493185;social
9_V1;-0.052275513185051393;control
1_LTL;0.16278458047995795;semantic
2_IFG;0.08266279531850815;semantic
3_Prec;0.17508427421738915;semantic
4_ATL;0.1025016550339946;intersection
5_aPFC;0.21747284440121492;intersection
6_Ins;0.08184053935692433;social
7_ACC;0.1494592203923374;social
8_PCC;0.10730295125511893;social
9_V1;0.017984410610543452;control
1_LTL;0.03078551822052919;semantic
2_IFG;0.024555213705408314;semantic
3_Prec;0.010761075138095322;semantic
4_ATL;0.06570192097098045;intersection
5_aPFC;0.08961263779230275;intersection
6_Ins;0.055901292323165014;social
7_ACC;0.027818778533357524;social
8_PCC;-0.007264441385944632;social
9_V1;0.010538972187162664;control
1_LTL;0.03970899851307054;semantic
2_IFG;0.021514404871157595;semantic
3_Prec;0.07039782197004928;semantic
4_ATL;0.03899421844717481;intersection
5_aPFC;0.0670033125286006;intersection
6_Ins;0.029926508165135;social
7_ACC;0.044221437607064394;social
8_PCC;0.05444448663667864;social
9_V1;0.0096797653089232;control
1_LTL;-0.05918387143275788;semantic
2_IFG;-0.06459952521187;semantic
3_Prec;-0.033107153190233544;semantic
4_ATL;-0.027333509660704604;intersection
5_aPFC;-0.013676724985275432;intersection
6_Ins;-0.049457895321896095;social
7_ACC;-0.021384314618738545;social
8_PCC;-0.03405560167035789;social
9_V1;-0.03483538536358769;control
1_LTL;0.02700427045814459;semantic
2_IFG;0.02900785374272201;semantic
3_Prec;-0.06389030639476213;semantic
4_ATL;-0.029660269679922604;intersection
5_aPFC;-0.02656011219570084;intersection
6_Ins;-0.008609111682404384;social
7_ACC;0.014664397340301717;social
8_PCC;-0.04751324823200443;social
9_V1;-0.0857875726846644;control
1_LTL;-0.013037099354394626;semantic
2_IFG;-0.0049759111578815615;semantic
3_Prec;0.014539149385016091;semantic
4_ATL;-0.04317103476830959;intersection
5_aPFC;-0.06425005388503371;intersection
6_Ins;-0.034409800122392385;social
7_ACC;-0.0773084133050406;social
8_PCC;-0.043787072764318105;social
9_V1;-0.032551008110441954;control
1_LTL;-0.024390542384329982;semantic
2_IFG;0.0006368431927703112;semantic
3_Prec;0.001630956856420696;semantic
4_ATL;-0.03860344751015369;intersection
5_aPFC;-0.029437464698037638;intersection
6_Ins;-0.0019803327752879055;social
7_ACC;-0.03200921699752335;social
8_PCC;-0.05318626878743735;social
9_V1;-0.021324168806299636;control
1_LTL;0.04401766510654268;semantic
2_IFG;0.1140303548036947;semantic
3_Prec;-0.03237779815189456;semantic
4_ATL;0.07896279725669675;intersection
5_aPFC;0.09752596197672755;intersection
6_Ins;0.026845739524812753;social
7_ACC;0.07584942007329824;social
8_PCC;0.002440469421012623;social
9_V1;-0.013569254735641592;control
1_LTL;0.020745962839257174;semantic
2_IFG;-0.010506389258233868;semantic
3_Prec;0.0341517587225919;semantic
4_ATL;-0.008786534472544443;intersection
5_aPFC;-0.06467023571582868;intersection
6_Ins;0.00602173561264182;social
7_ACC;-0.03226055441942781;social
8_PCC;0.008536997738272503;social
9_V1;0.03153126303475864;control
1_LTL;-0.01767997996178752;semantic
2_IFG;-0.0015926336112330871;semantic
3_Prec;0.035874280854436995;semantic
4_ATL;-0.00578153931714763;intersection
5_aPFC;0.019209169300313734;intersection
6_Ins;-0.01580071933183902;social
7_ACC;0.05813995717776718;social
8_PCC;0.1066776572751402;social
9_V1;-0.03306723172062652;control
1_LTL;0.006244302801364012;semantic
2_IFG;0.04219915310442255;semantic
3_Prec;-0.007164781062331725;semantic
4_ATL;-0.05743136462279878;intersection
5_aPFC;0.0160957957763003;intersection
6_Ins;0.01966046542123768;social
7_ACC;0.0006085810650329293;social
8_PCC;0.025704019496552266;social
